0,2,4,5,7,8,10,11,12,13,14,15,16,17,18,24,26,28,30,31,41,43,44,46,47,49,50,51,52,53,54,58,60,62,63,72,77,80,85,251,252,253,254,255,1000,1001,1002,1003,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,2000,2001,2002,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,ERODED_SUBCORTICALWM
997,172639,16072,2012,8246,36653,5127,2843,3351,1143,1484,2077,15751,1473,470,1095,137,2239,110,1534,174522,12794,1842,8244,35494,5034,3155,2985,1284,1683,554,249,2339,90,2298,,3285,90,269,804,242,305,290,501,341,1042,982,3113,2093,811,4578,6764,4435,1685,6008,4694,4672,3064,4048,1617,2071,2873,1520,2111,1402,5417,1940,7657,5252,995,8244,12518,6063,5834,5744,441,662,914,4146,340,1083,1635,2671,2103,679,6132,8851,4384,1297,6522,4880,4573,2934,5809,1167,2391,2309,1760,2528,1542,5134,2186,7802,6051,1518,9933,13004,6663,6195,6189,544,965,590,4183,271677
505,213538,13345,1548,13108,46440,6298,3589,4264,1227,1561,907,20907,2371,758,1488,380,3216,106,2523,211960,13238,1851,14118,48972,5304,3707,4402,1301,2498,859,307,3400,104,2993,,3999,144,188,1121,407,436,367,721,340,2170,1725,4871,2197,1183,7599,7604,6139,1847,9855,5636,4799,3722,8409,1569,2239,3289,1736,2535,1488,6526,2227,9226,5982,2166,10490,16409,9136,8704,7980,721,1516,887,5204,337,1949,1250,4264,2060,1149,7428,9256,6306,1911,9330,5420,4629,4036,8004,1358,2713,2960,1967,2769,1663,5974,1907,9585,6386,1359,10750,16466,9360,8434,7785,693,1340,713,5414,354948
2057,220413,15499,605,10744,45719,6601,3633,4326,1442,1877,2273,18351,3911,1387,1495,494,3394,113,1835,224055,17027,378,11340,48216,6456,3633,3847,1387,3975,1261,474,3376,100,2818,,2997,75,250,813,294,295,312,680,492,2213,1998,5763,2216,1794,8460,10178,9654,2850,10236,7333,5442,4893,9520,1932,3124,4184,1958,3381,1919,8564,2789,14041,8505,2712,13118,20425,12336,9753,10762,576,2294,1080,5879,477,1727,1488,5989,2762,1853,8496,12062,9480,2445,10084,6750,5722,4544,10226,1900,3923,3866,1887,3894,2069,6735,3594,12715,9129,1669,13841,19525,12057,10442,8685,927,1983,782,6376,354823
5120,218185,10985,836,13291,51826,6635,3953,4624,1470,2165,1665,20613,3953,1776,1339,351,3832,250,2241,219680,10540,692,12771,53599,6261,3768,4031,1418,3884,1720,484,3888,196,2780,,4020,45,365,855,303,347,337,643,628,2317,2047,6007,2960,1870,8066,11647,8776,2246,9419,6914,5704,4237,9283,2304,3246,4384,2349,3399,2379,9225,2528,11563,8855,2851,14141,19933,11873,10445,9626,817,1861,1219,5890,486,2262,1702,3874,2955,1497,8230,13564,10032,2422,10223,7135,5579,5923,10521,2383,3291,3752,2724,3753,2321,8262,3420,10369,7418,2816,15878,16980,12218,8677,8464,1379,918,656,5682,344657
4171,209333,15565,942,11262,41763,6495,2989,4083,1640,1648,870,20930,3517,1355,1796,280,3440,52,1591,213534,15693,415,11582,42841,6363,3231,4229,1399,3941,1610,542,3550,61,2268,,1457,14,247,796,332,296,326,681,440,1259,1555,5948,2531,1332,7149,7284,5940,2236,9913,6477,6060,4464,5930,1772,2792,3718,1675,2223,1428,9238,2885,13418,7597,2158,11597,18246,11307,9023,7986,515,1586,1033,5819,631,2386,1661,5223,2834,1198,8237,10725,8592,2601,10763,6378,6906,4070,9458,2033,3852,2895,2335,3352,1762,7336,3255,12319,8661,1642,12146,18661,11662,9214,8612,982,1783,947,6678,327342
2216,275457,27437,1630,15993,51919,7334,5057,5607,1922,1566,1415,25804,3512,1418,1376,580,3950,49,2268,288472,26761,1113,16138,55968,6590,6041,5401,1839,3730,1671,678,3845,133,3663,,7137,75,307,1223,458,541,567,1158,539,2538,1259,7341,2890,2261,7924,11383,7415,3042,9627,7175,5508,5325,8207,1663,3558,5508,2012,3861,2601,9564,2576,13927,8543,2512,15673,21998,9669,10611,9331,754,1999,1319,7240,480,2461,1970,5871,3582,2565,10033,15210,7822,3160,10815,7827,7345,4911,11691,1963,3972,4409,2534,4252,2888,7757,3042,14722,9242,2226,17070,21705,12646,10253,8210,930,2187,850,7133,469603
4292,219000,10817,390,11772,42381,6457,2904,4728,1377,1127,1749,19556,4073,1431,1173,464,3445,37,1565,219293,12849,220,12169,45529,6414,3515,4649,1467,4064,1811,478,3424,33,2000,,2360,39,238,972,470,457,481,1103,510,1781,2149,4736,2321,1808,8165,9608,8389,2186,9810,6252,4943,5117,9667,1890,2961,3757,1949,2332,1503,8003,2379,12501,8149,2456,12515,18379,11024,9653,9980,643,2195,894,5620,911,1722,1378,4861,2938,1570,8013,10248,9284,2316,9706,6125,5760,4275,10003,1703,3088,3460,2365,3624,1571,7760,2862,12875,8673,1457,11179,17221,12470,9184,8999,695,2378,605,5755,353426
4887,195124,27515,1921,10586,50098,5266,3055,4675,1444,2167,1776,18406,2979,1166,1277,452,3385,71,2106,194833,17178,1127,9959,53110,5365,3115,4592,1468,3019,1281,534,3044,70,2988,,3504,154,151,764,253,305,285,560,421,1834,1191,5113,2204,1884,9059,8009,10288,2095,7500,6235,4828,4866,8949,2099,2955,3516,1859,2663,1409,7828,2617,9876,8420,1897,13502,20277,10041,9449,8566,932,3022,1049,6781,360,2536,934,4548,2155,1548,8531,10173,9573,1948,7475,5930,4537,4417,10040,2000,3229,3728,1670,2818,1430,8329,2928,11110,8416,1066,12800,19014,10963,8941,7663,1426,1747,661,6002,289078
172,204955,8639,416,12198,43112,6394,2636,3806,1435,1419,1209,18514,3833,1299,815,285,3223,72,1399,208587,8459,346,12417,44223,6018,2705,3682,1458,3887,1716,372,3055,62,2009,,2405,74,182,802,277,312,299,729,454,1830,1757,3965,2771,2045,7683,10607,8227,1942,9355,5999,5139,4066,8013,2270,2708,2733,1446,3100,1734,7690,2862,10244,6658,1971,12843,17080,8225,10682,7069,557,1785,1116,5967,386,1897,1838,3677,2208,2188,8281,10509,8602,1395,8980,5711,3915,4276,9676,2060,3151,2756,2036,3417,1639,5486,2633,8033,7607,1814,13819,16591,10644,9671,8477,968,1974,743,5878,339778
