pattern,1.0,2.0,4.0,7.0,8.0,9.0,10.0,13.0,14.0,16.0,18.0,19.0,22.0,26.0,72.0,AD,AD-AD,AD-MCI,APOE4_BIN,Age@AV45,CSF_ABETA_closest_AV45,CSF_ABETA_slope,CSF_TAU_closest_AV45,CSF_TAU_slope,FAQTOTAL_AV45_6MTHS,FAQTOTAL_slope,FDG_PONS_AV45_6MTHS,FDG_postAV45_slope,FSX_HC/ICV_BL_3months,FSX_HC/ICV_slope,Gender,Handedness,MCI,MCI-AD,MCI-MCI,MCI-N,MMSE_AV45_3MTHS,MMSEslope_postAV45,N,N-AD,N-MCI,N-N,NPITOTAL_AV45_6MTHS,NPITOTAL_slope,SMC,SMC-AD,SMC-SMC,UW_EF_BL_3months,UW_EF_slope,UW_MEM_BL_3months,UW_MEM_slope,WMH_percentOfICV_AV45_6MTHS,WMH_percentOfICV_slope,below_threshold,cortical_summary,cortical_summary_change,count_post,count_prior,neg-neg,neg-pos,pos-neg,pos-pos
1.0,0.673076923077,0.0,0.0,0.0,0.0,0.0192307692308,0.0,0.0,0.0384615384615,0.0192307692308,0.25,0.0,0.0,0.0,0.0,0.0245901639344,0.0188679245283,,0.177215189873,72.4669423077,226.989393939,-2.47617807692,58.046875,-2.3030444,1.60759493671,0.325458441558,1.31201936709,-0.00983431818182,0.00490894736842,-2.67123287671e-05,1.26582278481,1.16455696203,0.459016393443,,0.415094339623,0.0377358490566,29.0266666667,-0.198358441558,0.401639344262,,0.0188679245283,0.452830188679,2.63492063492,0.205922222222,0.114754098361,,0.0566037735849,0.895897435897,0.023231038961,0.764551282051,-0.0436294805195,0.00241796875,0.000224576271186,0.99999260391,0.937476893267,0.0144410934373,43.0,79.0,0.981132075472,0.0188679245283,0.0,0.0
2.0,0.0,0.5,0.0,0.0833333333333,0.416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,,,0.538461538462,74.4718576923,130.977777778,1.15410571429,132.423529412,8.91,3.62962962963,2.641,1.27968653846,-0.0205163636364,0.00477333333333,-8.94117647059e-05,1.66666666667,1.07407407407,0.5,0.307692307692,0.384615384615,0.0769230769231,27.64,-0.960408,0.25,,,0.230769230769,4.94736842105,3.45678333333,0.0833333333333,,,0.0806666666667,-0.1706668,0.305407407407,-0.1137056,0.00536636363636,0.000522,0.0229805262639,1.83014980713,0.0602976742578,9.0,27.0,0.0,0.0,0.0,1.0
4.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303797468354,,,0.7,72.531964,133.469767442,-0.896087857143,137.409302326,0.295198571429,8.08,3.1392125,1.15342686275,-0.031005,0.0046114893617,-0.000240769230769,1.49019607843,1.11764705882,0.481012658228,0.3,0.4,,25.8444444444,-2.11541304348,0.151898734177,0.05,,0.2,6.43902439024,8.62784102564,0.0632911392405,,0.05,-0.31274,-0.103467446809,-0.08548,-0.214941458333,0.00475340909091,0.00022,0.000868059551611,2.30391180687,0.0672765905836,28.0,51.0,0.0,0.0,0.0,1.0
7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.125,77.3364714286,156.9,-5.43833,68.5571428571,5.76196,1.5,0.7333125,1.22270625,-0.03793,0.004425,-4e-05,1.375,1.0,0.461538461538,,0.25,,27.4285714286,-0.7935125,0.384615384615,,,0.5,2.28571428571,0.796275,0.153846153846,,0.25,0.22275,-0.13309,0.541125,-0.14303625,0.0101133333333,0.00208714285714,0.00120079355906,2.03432412136,0.104642205839,5.0,8.0,0.0,0.0,0.0,1.0
8.0,0.0,0.0,0.0617283950617,0.0,0.888888888889,0.0,0.037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0123456790123,0.0,0.4,0.158536585366,0.0121951219512,0.757575757576,75.1888902062,129.195180723,-1.1608102439,124.81863354,2.0500845,7.87939698492,2.37287058824,1.14052832487,-0.0360867567568,0.00409632183908,-0.000120065359477,1.52763819095,1.06030150754,0.5,0.390243902439,0.30487804878,0.0121951219512,25.2192513369,-1.78163743316,0.08,0.0243902439024,0.0243902439024,0.0731707317073,4.32075471698,2.11553625731,0.02,,,-0.279648241206,-0.202424731183,-0.195638190955,-0.181694148936,0.00554036144578,0.000217,0.0023053573729,2.06325103872,0.0472328823878,100.0,200.0,0.0,0.0,0.0,1.0
9.0,0.0,0.0,0.0,0.0,0.0,0.842105263158,0.0,0.0,0.0526315789474,0.0,0.0,0.0,0.0,0.105263157895,0.0,0.051724137931,,,0.289473684211,71.3192842105,224.2,-3.34238333333,52.2590909091,-0.301844166667,1.4358974359,0.606968571429,1.24655435897,-0.0128133333333,0.00503257142857,-7.75862068966e-05,1.4,1.075,0.620689655172,0.130434782609,0.521739130435,0.0869565217391,28.1,-0.125862857143,0.258620689655,,0.0434782608696,0.217391304348,2.33333333333,-0.301020588235,0.0689655172414,,,0.857526315789,-0.0849268571429,1.08007894737,0.00193114285714,0.00397966666667,-5.33333333333e-05,0.963864372216,1.11851197601,0.0182378055018,19.0,40.0,0.826086956522,0.130434782609,0.0,0.0434782608696
10.0,0.0,0.0,0.0,0.0,0.142857142857,0.0,0.857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325581395349,0.0952380952381,,0.475409836066,75.8529568966,130.225,-3.76236727273,110.104081633,1.46702,8.06451612903,3.42395084746,1.13478229508,-0.0319885714286,0.00428130434783,-0.000136097560976,1.54838709677,1.08064516129,0.43023255814,0.238095238095,0.285714285714,,25.3448275862,-1.81233157895,0.209302325581,0.047619047619,0.047619047619,0.285714285714,4.24489795918,2.55813636364,0.0348837209302,,,-0.429266666667,-0.254800877193,-0.041737704918,-0.182342586207,0.00906530612245,0.000600638297872,0.0178255990094,2.04863839143,0.0354769899925,24.0,62.0,0.0,0.0,0.0,1.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.75,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0714285714286,,,0.15,76.7279789474,162.027272727,-12.4193675,76.1454545455,0.42432,4.5,0.4097625,1.26837894737,-0.00477555555556,0.00453235294118,-7.15384615385e-05,1.55,1.05,0.5,0.111111111111,0.555555555556,,27.1052631579,-0.255725,0.392857142857,,,0.333333333333,6.21428571429,-0.573825,0.0357142857143,,,0.202,-0.099616875,0.351,0.01151125,0.00525363636364,0.000154,0.629823149084,1.23076016662,0.0629986264566,8.0,20.0,0.333333333333,0.333333333333,0.0,0.333333333333
14.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0322580645161,,,0.529411764706,73.70653125,169.8875,-1.60256666667,77.0933333333,5.24773666667,1.82352941176,0.357082352941,1.34029294118,-0.017985,0.005101875,-2.0625e-05,1.47058823529,1.05882352941,0.58064516129,,0.363636363636,0.272727272727,28.125,0.0338,0.322580645161,,0.0909090909091,0.272727272727,3.69230769231,-0.438426666667,0.0645161290323,,,0.520235294118,0.126511176471,0.587176470588,-0.0609605882353,0.00675266666667,0.000396428571429,0.36739586456,1.33338823242,0.0643192777261,14.0,17.0,0.0909090909091,0.272727272727,0.0,0.636363636364
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142857142857,0.0428571428571,0.742857142857,0.157142857143,0.0428571428571,0.0,0.0,0.0,0.0104712041885,,,0.214285714286,71.341895,214.905825243,-3.3970909375,57.3431372549,1.36420258065,1.28571428571,0.234018032787,1.34139544,-0.00894316666667,0.00514122641509,-5.46464646465e-05,1.69841269841,1.0873015873,0.460732984293,0.0289855072464,0.463768115942,0.0289855072464,28.8166666667,-0.103700826446,0.376963350785,,,0.391304347826,2.40217391304,0.909262711864,0.151832460733,,0.0869565217391,0.644838709677,0.0532698360656,0.826451612903,-0.0123059349593,0.00402927272727,0.000304903846154,0.973268556249,1.09246025749,0.0139730745168,65.0,126.0,0.914285714286,0.0714285714286,0.0,0.0142857142857
