0,2,4,5,7,8,10,11,12,13,14,15,16,17,18,24,26,28,30,31,41,43,44,46,47,49,50,51,52,53,54,58,60,62,63,72,77,80,85,251,252,253,254,255,1000,1001,1002,1003,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,2000,2001,2002,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,ERODED_SUBCORTICALWM
1155,227788,21655,855,13790,49525,7439,4108,5715,1359,1527,1616,21245,4236,1571,1401,613,3682,123,1653,227645,24999,568,13454,48780,6701,3968,5258,1275,4446,1495,709,3833,225,2051,4,3752,29,251,900,390,370,408,860,456,2239,1433,6132,2362,2044,10359,10419,11268,2043,10009,6573,5135,4732,10241,1817,3119,4056,1660,2974,1701,9043,3523,13312,8664,2590,14885,19572,12703,12120,9272,826,2787,1286,6644,445,1978,1983,5592,2291,1596,9396,16399,10500,2313,9839,6718,5629,4683,11315,1855,3720,3221,2312,3130,1501,7413,3340,13233,8786,2675,13731,20189,11907,12063,10133,775,1757,829,6604,357027
4352,215777,24584,565,12889,47736,7264,2908,4096,1259,2172,2231,20850,3206,1214,2584,450,3523,76,1863,220441,23496,494,13006,48073,6868,3247,3958,1075,3515,1430,591,3421,34,2558,2,2278,69,216,1030,295,331,252,721,567,1979,2020,5843,1974,1848,8192,10529,9483,2375,9023,6088,5163,3735,8750,1937,2597,3313,1844,2236,1770,8206,1949,11465,7217,2377,11777,16980,9524,10039,9630,381,2080,725,6548,352,1474,1917,5932,2051,1468,7325,11934,9197,1922,9502,6061,5689,4095,10369,1700,3140,3404,1977,3113,1948,7327,2260,10910,7820,1518,12636,17131,9742,9684,8804,756,2031,791,6280,347226
5047,214917,11817,203,14094,49865,8099,3500,3702,1204,866,1409,22630,3918,1364,1379,508,3789,38,1577,214477,13648,252,13845,51142,6530,3881,3875,1501,4013,1415,716,3827,73,2184,,3443,39,265,861,298,389,363,744,530,2526,1339,6039,2245,2051,8248,9498,10634,2497,9683,8058,5705,5271,9945,2132,3288,4249,2230,3270,1710,8639,2914,11521,7630,3222,13186,19572,11502,13332,8691,541,2258,1356,7457,541,2092,1377,5197,2366,2069,9172,11365,10342,2205,7844,7432,5272,4563,10408,2119,3682,3010,2188,4124,1802,8613,2124,13399,8484,2189,12732,20471,10533,11748,9238,924,1810,1387,7967,339762
2301,240942,7280,149,14336,45921,8617,3528,4878,1206,1333,1484,21095,4827,1678,1290,422,3883,56,1680,239994,6993,454,14905,48768,6824,3717,4286,1506,5036,1847,601,4151,29,1831,,1744,26,302,1111,605,506,501,916,569,2060,818,5584,2237,1951,9873,8984,9860,2480,10615,7020,5653,4822,10553,1902,2847,5026,2169,2865,1707,8929,2529,12417,7667,1748,13446,21338,11981,11702,11551,675,2192,1243,6572,814,1985,1594,4849,2291,1814,8858,14824,9648,2333,10559,6115,4741,3857,11032,2035,3316,3586,2923,3100,2018,7585,2643,11760,8233,1575,13588,18845,10878,11078,9781,789,2228,945,6569,401463
4158,203203,17473,1242,10082,45133,5848,2948,3513,1160,2180,3015,20902,3198,1106,1209,259,3760,44,1921,207398,19378,1076,11128,47256,5727,2953,3476,1351,3120,1181,275,3464,40,2828,,2534,56,284,827,323,287,273,579,474,1992,1413,3509,1819,1755,7471,8541,9167,1945,8737,5352,4387,3818,7790,1599,2320,3121,1589,2569,1316,6138,2228,10262,6284,1991,11013,17386,7457,9659,6998,630,1840,965,5269,458,2216,2226,3418,2722,1538,7569,11684,7298,1610,8270,5621,4799,4318,8393,1481,3090,2498,1735,3241,1420,5567,2943,8599,6771,2100,12640,14946,8558,9035,7354,878,1678,593,5167,323645
4543,214436,11694,178,11859,39035,6625,2899,5097,1379,1318,1131,18824,3649,1705,1186,465,3341,73,1408,215166,8992,67,12568,41203,6338,3003,4688,1462,3842,1587,522,3412,59,1791,,3170,24,212,806,279,367,331,657,816,2085,2318,4732,2843,1928,9713,9980,11041,2281,10808,6658,4889,4108,11704,1963,3374,4749,1928,3895,1721,7462,3151,11805,9743,2269,13694,19603,12516,10946,11912,871,1928,1381,6231,543,2001,2511,5017,2702,1242,10027,11929,8785,1899,12192,6095,5439,3983,11023,2264,3771,3332,2373,3397,2060,6940,3428,12007,9254,2203,12450,18573,11797,11422,10903,936,2599,998,6796,341335
4021,228805,29150,1163,17138,46373,7217,3431,5470,1793,2862,2277,22372,3876,1391,1664,481,4421,93,2135,228706,26093,678,16382,46085,6548,3273,4729,1542,4151,1689,538,4450,33,2861,,2819,52,210,960,382,421,478,785,870,2706,1034,5143,2451,1636,9689,10522,11222,1492,8594,6007,5635,3991,9745,2259,3235,3915,1826,3202,1560,6904,2264,11516,7234,2081,13220,19095,12935,10088,8334,604,2421,845,5880,702,1809,1977,5191,2451,1246,9194,11318,10765,1503,9677,5822,5938,4382,10238,2175,3773,3219,1812,3742,1863,6762,1965,10505,7970,2162,11899,18329,11899,9442,8668,889,2382,787,6091,384010
4150,230809,11588,711,11957,47517,7537,3275,4225,1351,2043,2199,23392,4264,1380,1876,465,3931,79,1451,231473,10638,608,12670,51061,6353,3416,4240,1359,4257,1500,542,3852,126,2215,,3875,15,307,812,287,296,297,745,431,1931,2052,4030,2579,2474,9232,9681,8919,2647,11276,7067,5763,4682,8498,2064,2800,3272,1892,3037,1802,7529,2785,9759,8476,2484,12491,17818,10790,9962,10533,658,2578,747,6101,655,2166,1765,5406,2592,2001,9904,11030,9651,2451,11919,6513,5881,4026,8353,2187,3489,2796,1912,3183,2161,7538,3448,9876,8388,1777,13417,17853,11153,9154,8964,737,2403,694,6197,373003
4557,187864,8815,218,13473,44290,7808,4912,8016,1684,908,1382,20173,4118,1144,1286,357,3246,119,1731,189698,5411,213,13994,42363,6895,5396,8319,1701,4044,1169,555,3479,68,1658,17,6546,484,250,718,279,321,319,586,589,1765,1258,5358,1823,1618,6634,8559,6362,1991,7467,5765,3773,3236,7464,1322,2610,3010,1522,1857,1678,7043,2077,9296,6872,2415,10212,17355,8338,8553,7176,447,1835,1027,5483,322,1375,2302,5080,1971,1102,5776,8659,6069,1937,7760,5331,4502,3929,8504,1297,2991,2434,1508,2707,1591,5995,2368,9732,6960,1828,11258,15135,8000,9299,7572,674,2054,774,5166,297628
