GROUP1,GROUP2,MEAN1_APOE4_BIN,MEAN1_Age@AV45,MEAN1_CORTICAL_SUMMARY_change,MEAN1_CORTICAL_SUMMARY_post,MEAN1_CORTICAL_SUMMARY_prior,MEAN1_CSF_ABETA_closest_AV45,MEAN1_CSF_ABETA_slope,MEAN1_CSF_TAU_closest_AV45,MEAN1_CSF_TAU_slope,MEAN1_FAQTOTAL_AV45_6MTHS,MEAN1_FAQTOTAL_slope,MEAN1_FSX_HC/ICV_BL_3months,MEAN1_FSX_HC/ICV_slope,MEAN1_Gender,MEAN1_Handedness,MEAN1_NPITOTAL_AV45_6MTHS,MEAN1_NPITOTAL_slope,MEAN1_UW_EF_BL_3months,MEAN1_UW_EF_slope,MEAN1_UW_MEM_BL_3months,MEAN1_UW_MEM_slope,MEAN1_WMH_percentOfICV_AV45_6MTHS,MEAN1_WMH_percentOfICV_slope,MEAN2_APOE4_BIN,MEAN2_Age@AV45,MEAN2_CORTICAL_SUMMARY_change,MEAN2_CORTICAL_SUMMARY_post,MEAN2_CORTICAL_SUMMARY_prior,MEAN2_CSF_ABETA_closest_AV45,MEAN2_CSF_ABETA_slope,MEAN2_CSF_TAU_closest_AV45,MEAN2_CSF_TAU_slope,MEAN2_FAQTOTAL_AV45_6MTHS,MEAN2_FAQTOTAL_slope,MEAN2_FSX_HC/ICV_BL_3months,MEAN2_FSX_HC/ICV_slope,MEAN2_Gender,MEAN2_Handedness,MEAN2_NPITOTAL_AV45_6MTHS,MEAN2_NPITOTAL_slope,MEAN2_UW_EF_BL_3months,MEAN2_UW_EF_slope,MEAN2_UW_MEM_BL_3months,MEAN2_UW_MEM_slope,MEAN2_WMH_percentOfICV_AV45_6MTHS,MEAN2_WMH_percentOfICV_slope,PVALUE_APOE4_BIN,PVALUE_Age@AV45,PVALUE_CORTICAL_SUMMARY_change,PVALUE_CORTICAL_SUMMARY_post,PVALUE_CORTICAL_SUMMARY_prior,PVALUE_CSF_ABETA_closest_AV45,PVALUE_CSF_ABETA_slope,PVALUE_CSF_TAU_closest_AV45,PVALUE_CSF_TAU_slope,PVALUE_FAQTOTAL_AV45_6MTHS,PVALUE_FAQTOTAL_slope,PVALUE_FSX_HC/ICV_BL_3months,PVALUE_FSX_HC/ICV_slope,PVALUE_Gender,PVALUE_Handedness,PVALUE_NPITOTAL_AV45_6MTHS,PVALUE_NPITOTAL_slope,PVALUE_UW_EF_BL_3months,PVALUE_UW_EF_slope,PVALUE_UW_MEM_BL_3months,PVALUE_UW_MEM_slope,PVALUE_WMH_percentOfICV_AV45_6MTHS,PVALUE_WMH_percentOfICV_slope
11.0,16.0,0.201631147541,73.2761751731,0.0120164580345,0.696136914917,0.66270282237,220.928169231,-2.69219926477,58.5036125,7.70238694969,1.85757489879,0.379627100844,0.00487593423256,-6.01015025907e-05,1.43856854839,1.12489516129,2.38802659574,0.144363077632,0.613983378049,-0.0311417437021,0.618967365854,0.0162246237021,0.0035488524878,5.88629648241e-05,0.208827067669,71.7921114496,0.0100654168172,0.773379537892,0.758690829006,214.019835514,-3.32150383697,57.4978707547,1.43045555125,1.31953383459,0.284439433333,0.00512597558559,-5.44527184466e-05,1.70642857143,1.08166917293,2.66590625,0.773836816,0.646950492308,0.0396877037209,0.815483853846,-0.0129112448462,0.0040411800885,0.000310605648148,0.999492561329,0.690724551359,0.999492561329,0.0,0.0,0.902757799498,0.999492561329,0.999492561329,0.998714591944,0.920794185994,0.999278163288,0.125279057552,0.999492561329,0.0,0.939143446821,0.999492561329,0.458859655767,0.999492561329,0.628074571241,0.0430924260176,0.950198820564,0.991016483562,0.793559141106
8.0,24.0,0.234176470588,71.4322868485,0.00775523938529,0.811360711307,0.81404224686,224.16518,-4.594718223,52.650715,-0.791917017,1.78837142857,1.00209019355,0.00500930516129,-8.97708e-05,1.38725,1.08138888889,2.81527272727,0.00526081290323,0.847993058824,-0.1154274,1.05582264706,-0.120911009032,0.00430518,-6.96696296296e-05,0.186777777778,72.26350052,0.00721496483287,0.615611722908,0.594558868087,226.837845588,-3.27884212556,58.0446393939,-2.10074025923,1.56495061728,0.306322549367,0.00493062641026,-2.61632e-05,1.25883950617,1.16183950617,2.594296875,0.227586728378,0.887015775,0.0227512488608,0.7655428,-0.0436609649367,0.002353655,0.000214440655738,0.999691275349,0.999787288474,0.999787288474,0.0,0.0,0.999787288474,0.999787288474,0.998612790187,0.999691275349,0.999787288474,0.927587685641,0.999787288474,0.925931587615,0.933010635145,0.988112723284,0.999787288474,0.999787288474,0.999787288474,0.629165660305,0.629165660305,0.996151377307,0.163051038377,0.988112723284
6.0,8.0,0.3128125,71.0914113438,-0.0265859091166,0.782201243667,0.804653601635,233.836353846,8.29649534,70.3768384615,1.97484144667,2.673375,0.55346204,0.00443536333333,-0.000110883333333,1.3774375,1.06375,6.9195,2.22405143846,0.752215375,-0.018625828,0.64477975,0.050013916,0.00423844538462,-0.00020117,0.236764705882,71.4813951667,0.00767398584552,0.811578706721,0.813520253751,223.71262,-4.541300736,52.63242,-0.717932005,1.8136,1.01554554194,0.00500810193548,-8.93604e-05,1.38841666667,1.084,2.79586363636,-0.0484854709677,0.857401617647,-0.121094617419,1.06225979412,-0.120112857097,0.00433340037037,-6.64355555556e-05,0.999847710273,0.999971293496,0.474343625645,0.999569288408,0.999971293496,0.99924400974,0.496221544281,0.451260516998,0.999847710273,0.999847710273,0.999847710273,0.198419595582,0.999971293496,0.999971293496,0.999971293496,0.950417945315,0.977916559045,0.999971293496,0.999847710273,0.854782051049,0.652765318662,0.999971293496,0.999971293496
16.0,63.0,0.20837593985,71.7991796677,0.0100019013913,0.774135971601,0.758369529684,213.74714486,,57.7410783019,,1.31394736842,0.284938713953,0.0051247736036,-5.36633980583e-05,1.70533834586,1.08298496241,2.63688541667,0.7986599288,0.650216230769,0.0385659433333,0.816430769231,-0.0110079442308,0.00405907769912,0.000302333796296,0.170333333333,70.5687435167,-0.0198554939072,0.501557986713,0.528468400061,249.67326,,60.07396,,0.0,0.0,0.005179105,0.000240778333333,1.16316666667,1.0,0.0,0.07403936,0.2092,0.220475154,0.42698,-0.068019474,0.00343205166667,5.35366666667e-05,0.999134511452,0.999134511452,0.83755850028,0.0,0.0,0.556094725494,,0.999134511452,,0.897405116712,0.999134511452,0.999134511452,0.228657959874,0.0840490992938,0.998522322275,0.910526893239,0.999134511452,0.88727920402,0.897405116712,0.821972693654,0.998047849045,0.999134511452,0.999134511452
6.0,11.0,0.310375,71.0767502125,-0.0264712818155,0.782084086975,0.803318121743,234.323176923,8.27310083667,70.4169538462,1.87678318333,2.7230625,0.557830486667,0.00444399333333,-0.000110786666667,1.3739375,1.061375,6.6453,2.09852285385,0.7564341875,-0.0263326006667,0.64152475,0.047437752,0.00424451692308,-0.000180852727273,0.200971311475,73.2591303535,0.0120140276543,0.69639820769,0.662650041624,220.841926154,-2.71305970954,58.4692307292,7.64275006385,1.86715384615,0.374239174262,0.00487683851163,-5.95494818653e-05,1.44009677419,1.12450403226,2.39153191489,0.140472071053,0.615913004065,-0.0315894509787,0.617151987805,0.0157603694468,0.0035356277561,6.06569346734e-05,0.984237836076,0.984237836076,0.0616873317453,0.523713034937,0.0,0.984237836076,0.84714117011,0.88904285632,0.998317923742,0.998317923742,0.998317923742,0.478447061139,0.984237836076,0.998317923742,0.998317923742,0.269774460642,0.336738418947,0.998317923742,0.998317923742,0.998317923742,0.998317923742,0.998317923742,0.984237836076
11.0,63.0,0.200045081967,73.2590809955,0.0121856054486,0.696010493452,0.66264634314,220.635982564,,58.5111260417,,1.841048583,0.37209611308,0.00487844888372,-5.96850777202e-05,1.43989112903,1.12494354839,2.38739893617,0.138572360526,0.617158105691,-0.0321969249787,0.614561626016,0.015981922383,0.00353973556098,6.10608040201e-05,0.169166666667,70.6836959167,-0.0203364261835,0.501558336093,0.528582057576,249.41668,,60.10922,,0.0,0.0,0.00518074166667,0.000226715,1.17316666667,1.0,0.0,0.07369492,0.192365666667,0.220987202,0.420518333333,-0.077422258,0.00346874166667,5.60383333333e-05,0.999684613166,0.984055487,0.394416901945,0.00796967283613,0.00711577619443,0.847795260713,,0.999815983697,,0.959459188176,0.985644158332,0.981006647914,0.0500722784985,0.947252067013,0.982458773531,0.959459188176,0.999815983697,0.959459188176,0.806949747491,0.984055487,0.959459188176,0.999815983697,0.999815983697
8.0,11.0,0.238294117647,71.4477470152,0.0080407470053,0.812323166319,0.814196021242,224.0775,-4.525690666,52.3639,-0.737363804,1.80382857143,1.0117860871,0.00500973096774,-9.10968e-05,1.38883333333,1.08380555556,2.78004545455,-0.00283099032258,0.850955382353,-0.113804493871,1.0526355,-0.116044719677,0.00435775703704,-7.66837037037e-05,0.20106147541,73.2760136445,0.0120442411715,0.69592686539,0.662694595829,220.897669231,-2.70216334077,58.5738307292,7.54088631031,1.85993927126,0.373981139241,0.00487449176744,-5.99832124352e-05,1.43806048387,1.12460080645,2.3894893617,0.133040283772,0.615591430894,-0.0322483118723,0.61618448374,0.0158648778298,0.0035467997561,5.96065829146e-05,0.998754247115,0.969293307535,0.998754247115,0.000439907612319,0.0,0.998754247115,0.998754247115,0.998599042448,0.998599042448,0.998754247115,0.766407025147,0.998599042448,0.998599042448,0.998754247115,0.998599042448,0.998754247115,0.998754247115,0.920002649697,0.977632355652,0.00815813775599,0.0350043849553,0.998599042448,0.998599042448
6.0,63.0,0.3118125,71.0895231062,-0.0253868542869,0.784088735096,0.804721793501,234.214584615,,70.3499538462,,2.6599375,0.56955784,0.00444327933333,-0.000111705833333,1.3759375,1.0625,6.8325,2.18090310769,0.754094625,-0.017652258,0.6394651875,0.0523898873333,0.00421113384615,-0.000193858181818,0.174333333333,70.8130694167,-0.0202457545905,0.501249841292,0.528702306379,249.48308,,60.09952,,0.0,0.0,0.00518911333333,0.000224896666667,1.16316666667,1.0,0.0,0.0759144,0.1942935,0.220205686,0.424823166667,-0.07642624,0.00353756,6.33966666667e-05,0.991301135297,0.991301135297,0.991301135297,0.0,0.0,0.991240367373,,0.991301135297,,0.991301135297,0.991301135297,0.561837891478,0.458859655767,0.991301135297,0.991301135297,0.978684015463,0.991301135297,0.207567979542,0.991301135297,0.991301135297,0.987416280551,0.991301135297,0.991301135297
8.0,63.0,0.239558823529,71.4155744939,0.00795975135522,0.813033336609,0.814799761806,224.26082,,52.221585,,1.74342857143,1.00592769032,0.00500065645161,-9.21704e-05,1.39580555556,1.08741666667,2.8115,0.00635971290323,0.842731117647,-0.117399216452,1.06468532353,-0.118625604839,0.00434908888889,-6.61540740741e-05,0.167,70.7920908667,-0.0197204181056,0.50117364812,0.528248178396,249.49286,,60.0827,,0.0,0.0,0.005166995,0.000213981666667,1.1675,1.0,0.0,0.07360748,0.195893666667,0.221750144,0.417879,-0.080398244,0.00356997333333,6.29633333333e-05,0.998410782085,0.998410782085,0.705724382791,0.0,0.0,0.844642195168,,0.996635805603,,0.967559133777,0.995036740159,0.996635805603,0.426959826245,0.978729592298,0.996635805603,0.967559133777,0.998410782085,0.869601501928,0.725360862196,0.844642195168,0.998410782085,0.998410782085,0.998410782085
6.0,24.0,0.3124375,71.1167155437,-0.0266351360558,0.784584008225,0.805192527888,234.588823077,8.46220863667,70.6468153846,2.18422962667,2.6406875,0.561491813333,0.00443877,-0.00011013,1.376875,1.0585,7.025,2.18995174615,0.758504,-0.017542778,0.635849,0.046478138,0.00417958769231,-0.00017128,0.185987654321,72.2657990988,0.00705448121707,0.615181332169,0.594747091467,226.839423529,-3.11303122926,57.7813287879,-2.12621930423,1.5890617284,0.316884081013,0.00493025910256,-2.79998666667e-05,1.25966666667,1.1622962963,2.574421875,0.232887440541,0.8866436125,0.0250029034177,0.7659654375,-0.0410204002532,0.00234843772727,0.000214436229508,0.956680772206,0.975004660537,0.0876760857912,0.0,0.0,0.975004660537,0.484565732256,0.836770004327,0.946951242781,0.975004660537,0.975004660537,0.394959029548,0.767046743395,0.975004660537,0.975004660537,0.669973623696,0.724392824357,0.975004660537,0.975004660537,0.975004660537,0.975004660537,0.505340166577,0.848972829385
