"","(Intercept)","CTX_BANKSSTS","CTX_PRECENTRAL","PALLIDUM","CAUDATE","CEREBGM","CTX_LINGUAL","HEMIWM","THALAMUS_PROPER","ORBITOFR","CTX_ISTHMUSCINGULATE","AMYGDALA","CTX_PARAHIPPOCAMPAL","CTX_INFERIORTEMPORAL","CTX_LATERALOCCIPITAL","CTX_POSTCENTRAL","CTX_CUNEUS","CTX_INSULA","CTX_ENTORHINAL","PARSFR","CTX_SUPERIORTEMPORAL","CTX_INFERIORPARIETAL","PUTAMEN","MIDDLEFR","CTX_PERICALCARINE","CTX_SUPRAMARGINAL","CTX_ROSTRALANTERIORCINGULATE","CTX_PARACENTRAL","CTX_TRANSVERSETEMPORAL","CTX_MIDDLETEMPORAL","CTX_TEMPORALPOLE","CTX_POSTERIORCINGULATE","CTX_SUPERIORPARIETAL","HIPPOCAMPUS","CEREBWM","BRAIN_STEM","ACCUMBENS_AREA","CTX_FUSIFORM","CTX_PRECUNEUS","CTX_SUPERIORFRONTAL","CTX_CAUDALANTERIORCINGULATE"
"AVLT_AV1451_1",6.0759822267133e-17,0,0,0,0,0,0,0,0,0,0,-0.256176035549867,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145690236155671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AVLT_retroslope_AV1451_BL",0.00233435060512238,0,0,0,0,0,0,0,0,0,0,-0.0657935942020589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAS_AV1451_1",3.56227692883195e-17,0,0,0,0,0,0,0,0,0,0.139842899966571,0.0285983992779468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321401477399031,0,0,0,0,0,0,0,0,0,0,0
"ADAS_retroslope_AV1451_BL",-0.00493748243071951,0,0,0,0,0,0,0,0,0,0,0.0879892954932186,0,0,0,0,0,0,0.010773718121865,0,0,0,0,0,0,0,0,0,0,0.215079930369912,0,0,0,0,0,0,0,0,0,0,0
"AV1451_BL_closest_AV45_wcereb",-4.580110864583e-16,0,0,0,0,0,0.0192701429106389,0,0,0,0,0.134581574896348,0,0,0,0,0,0,0.253949299799416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73693766982797e-05,0,0,0,0,0,0,0
"AV1451_BL_closest_AV45_wcereb_retroSlope",-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
