"","shrink.r2","adj.r2","target","lm_type"
"full.AVLT_AV1451_1",0.305286017112123,0.446307546275791,"AVLT_AV1451_1","full"
"full.AVLT_retroslope_AV1451_BL",0.11511650249378,0.191478836788709,"AVLT_retroslope_AV1451_BL","full"
"full.ADAS_AV1451_1",0.293407991163614,0.651584187221887,"ADAS_AV1451_1","full"
"full.ADAS_retroslope_AV1451_BL",0.186220139956883,0.346780091775543,"ADAS_retroslope_AV1451_BL","full"
"full.AV1451_BL_closest_AV45_wcereb",0.502801423835209,0.641519785712917,"AV1451_BL_closest_AV45_wcereb","full"
"braak.AVLT_AV1451_1",0.0843753128466146,0.165480644374581,"AVLT_AV1451_1","braak"
"braak.AVLT_retroslope_AV1451_BL",0.169524675285118,0.244728590961858,"AVLT_retroslope_AV1451_BL","braak"
"braak.ADAS_AV1451_1",0.265500515597161,0.525099682564664,"ADAS_AV1451_1","braak"
"braak.ADAS_retroslope_AV1451_BL",0.288981400860822,0.428534341027693,"ADAS_retroslope_AV1451_BL","braak"
"braak.AV1451_BL_closest_AV45_wcereb",0.421601067763505,0.572337687311931,"AV1451_BL_closest_AV45_wcereb","braak"
"braak.AV1451_BL_closest_AV45_wcereb_retroSlope",0.0526106644270212,0.118020479966841,"AV1451_BL_closest_AV45_wcereb_retroSlope","braak"
"pattern.AVLT_AV1451_1",0.363485007816762,0.440082406792126,"AVLT_AV1451_1","pattern"
"pattern.AVLT_retroslope_AV1451_BL",0.112710845427176,0.191478836788709,"AVLT_retroslope_AV1451_BL","pattern"
"pattern.ADAS_AV1451_1",0.368812880137761,0.638757718806615,"ADAS_AV1451_1","pattern"
"pattern.ADAS_retroslope_AV1451_BL",0.358407451466577,0.462896245469128,"ADAS_retroslope_AV1451_BL","pattern"
"pattern.AV1451_BL_closest_AV45_wcereb",0.607250716596795,0.70887570478117,"AV1451_BL_closest_AV45_wcereb","pattern"
"region.AVLT_AV1451_1",0.219390761852441,0.273888310762454,"AVLT_AV1451_1","region"
"region.AVLT_retroslope_AV1451_BL",0.12879936154237,0.213268401435818,"AVLT_retroslope_AV1451_BL","region"
"region.ADAS_AV1451_1",0.240875098646121,0.633685312544876,"ADAS_AV1451_1","region"
"region.ADAS_retroslope_AV1451_BL",0.282433830287724,0.395484407570354,"ADAS_retroslope_AV1451_BL","region"
"region.AV1451_BL_closest_AV45_wcereb",0.516673502347916,0.620545024366969,"AV1451_BL_closest_AV45_wcereb","region"
"onlyregion.AVLT_AV1451_1",0.278388070901492,0.346702730015432,"AVLT_AV1451_1","onlyregion"
"onlyregion.AVLT_retroslope_AV1451_BL",0.0661361690459178,0.115084697736912,"AVLT_retroslope_AV1451_BL","onlyregion"
"onlyregion.ADAS_AV1451_1",0.218345754473546,0.633685312544876,"ADAS_AV1451_1","onlyregion"
"onlyregion.ADAS_retroslope_AV1451_BL",0.289985725818923,0.395484407570354,"ADAS_retroslope_AV1451_BL","onlyregion"
"onlyregion.AV1451_BL_closest_AV45_wcereb",0.360571715796107,0.529188184254821,"AV1451_BL_closest_AV45_wcereb","onlyregion"
