"","(Intercept)","APOE4_BIN1","Age.AV1451","Gender1","Edu..Yrs.","NSFA_0","NSFA_1","NSFA_2","NSFA_3","NSFA_4","NSFA_5","NSFA_6","NSFA_7","NSFA_8","NSFA_9","NSFA_10","NSFA_11"
"AVLT_AV1451_1",8.95251087407722e-17,0,0,0,0,0,-0.0372119534442304,0,-0.129688657494476,0,0,0,0.0500201665467806,-0.0758432487056364,0,0,0
"AVLT_retroslope_AV1451_BL",0.0992347003817196,-0.173660725668009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAS_AV1451_1",-2.14571650214332e-17,0,0,0,0,0.300219518221045,0,0,0,-0.085671245238646,0,0,0,0.028843936600132,0,0,0
"ADAS_retroslope_AV1451_BL",-0.0801880677390908,0.13757177369444,0,0,0,0.236454398555973,0,0,0,-0.0661818975054833,0,0,0,0,0,0,0
"AV1451_BL_closest_AV45_wcereb",-0.197867357128914,0.132617632978539,0,0.401807914342428,0,0.358798570546574,0.126097588108561,0,0.272210550654127,0,0,0,0,0,0,0,0
"AV1451_BL_closest_AV45_wcereb_retroSlope",-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
