"","Sum Sq","Mean Sq","NumDF","DenDF","F.value","Pr(>F)"
"group",1.35502548090842,0.104232729300648,13,325.60429605478,0.852407889027664,0.604135198852666
"UW_EF_postAV45_",0.00339893134954979,0.00339893134954979,1,236.114379967034,0.0277962202089404,0.867731493795006
"factor(APOE4_BIN)",0.00742648663773077,0.00742648663773077,1,324.887999413984,0.0607332825325998,0.805496322302337
"CORTICAL_SUMMARY_prior",0.00645258840117772,0.00645258840117772,1,331.070875751075,0.052768811626792,0.818455382238222
"Age.AV45",6.08303895707521,6.08303895707521,1,326.06958248995,49.7466624069422,1.05242481396317e-11
"factor(Gender)",0.110843571486948,0.110843571486948,1,322.227440965621,0.9064708889177,0.341766143402549
"Edu..Yrs.",1.25256698523778,1.25256698523778,1,322.190583587138,10.2434042254868,0.00150838464820824
"group:UW_EF_postAV45_",1.86444096328413,0.143418535637241,13,246.343027979473,1.17286664208283,0.299858682681279
"UW_EF_postAV45_:factor(APOE4_BIN)",0.120279961152263,0.120279961152263,1,240.148271388288,0.983641016272346,0.322299792508081
"UW_EF_postAV45_:CORTICAL_SUMMARY_prior",0.00946399951431071,0.00946399951431071,1,231.84229502788,0.0773959187472057,0.781105849489744
