"","Sum Sq","Mean Sq","NumDF","DenDF","F.value","Pr(>F)"
"group",343.408739881877,26.4160569139906,13,332.32472760326,0.822618686727549,0.636043952549633
"TIMEpostAV45_AVLT.",14.3766783108271,14.3766783108271,1,465.279761082041,0.4477021029317,0.503760070783235
"factor(APOE4_BIN)",18.3278352988353,18.3278352988353,1,328.386730916446,0.570744523044304,0.45050474007586
"Age.AV45",554.766662104445,554.766662104445,1,329.372681245957,17.2759100461691,4.12572952983581e-05
"factor(Gender)",953.9189016724,953.9189016724,1,325.015296590985,29.7058534017139,9.95676248116695e-08
"Edu..Yrs.",565.865559836162,565.865559836162,1,324.976882178803,17.6215392483591,3.48310088805759e-05
"group:TIMEpostAV45_AVLT.",1032.29737134154,79.4074901031956,13,233.091119514567,2.47281740184416,0.00358929262401109
"TIMEpostAV45_AVLT.:factor(APOE4_BIN)",3.05397292874029,3.05397292874029,1,220.236838809441,0.0951033384021548,0.758078380943944
