"","Sum Sq","Mean Sq","NumDF","DenDF","F.value","Pr(>F)"
"group",1.72845381340799e-05,1.32957985646768e-06,13,845.169431238824,1.05753987700628,0.393427049085575
"WMH_postAV45.",3.82411387908884e-08,3.82411387908884e-08,1,636.321802960835,0.0304167734015902,0.861603402832952
"factor(diag_prior)",5.21003641209258e-06,1.30250910302315e-06,4,847.844304265252,1.03600796139479,0.387546019824565
"factor(APOE4_BIN)",8.88934128502837e-07,8.88934128502837e-07,1,845.705475015028,0.707052896710629,0.40066159502903
"CORTICAL_SUMMARY_prior",7.43105721757497e-07,7.43105721757497e-07,1,846.469848575245,0.591061852935939,0.442223247324326
"Age.AV45",8.96340874512029e-05,8.96340874512029e-05,1,841.849357583682,71.2944178250037,1.11022302462516e-16
"factor(Gender)",2.34368380881534e-08,2.34368380881534e-08,1,840.248828649046,0.0186415210403455,0.891431888658308
"Edu..Yrs.",3.46632231683065e-06,3.46632231683065e-06,1,844.26074831568,2.75709206842539,0.0971954050238232
"group:WMH_postAV45.",1.82357241470048e-05,1.40274801130806e-06,13,491.094898505116,1.11573739037433,0.342677746402612
"WMH_postAV45.:factor(diag_prior)",7.22101062649468e-06,1.80525265662367e-06,4,644.783025402207,1.43588718132589,0.220486969901105
"WMH_postAV45.:factor(APOE4_BIN)",1.4197141434073e-08,1.4197141434073e-08,1,493.682384488695,0.0112923215051696,0.915414999754267
"WMH_postAV45.:CORTICAL_SUMMARY_prior",1.2555229286901e-06,1.2555229286901e-06,1,636.601207523875,0.998635438952118,0.318020606281646
