"","Sum Sq","Mean Sq","NumDF","DenDF","F.value","Pr(>F)"
"group",6.83314059141672,0.525626199339748,13,967.602345666718,6.78078357776026,1.34448008282106e-12
"UW_MEM_postAV45_",3.07129884260514,3.07129884260514,1,1151.12889752562,39.6209564524958,4.37597957869684e-10
"factor(diag_prior)",43.5158595425091,10.8789648856273,4,991.081011144538,140.342902488791,0
"factor(APOE4_BIN)",0.086879216697924,0.086879216697924,1,966.460802845254,1.1207758794633,0.290015969432304
"Age.AV45",2.59949415261859,2.59949415261859,1,965.730992505149,33.5344913984524,9.46385680933304e-09
"factor(Gender)",3.77548124387205,3.77548124387205,1,962.61541122072,48.705184879953,5.53268542091701e-12
"Edu..Yrs.",2.00203602717376,2.00203602717376,1,964.126711876857,25.8270478758414,4.48386958007418e-07
"group:UW_MEM_postAV45_",9.53159730291202,0.733199792531694,13,627.943881479954,9.45856412534455,0
"UW_MEM_postAV45_:factor(diag_prior)",2.37063109056808,0.592657772642021,4,894.543838512096,7.64551709372736,4.66059421977416e-06
"UW_MEM_postAV45_:factor(APOE4_BIN)",0.0923647963691502,0.0923647963691502,1,642.525371119228,1.19154200298581,0.275427880886197
