FACTOR,BRAAK1,BRAAK2,BRAAK3,BRAAK4,BRAAK5,BRAAK6,BASALGANGLIA,CEREBELLUM_GRAY,CEREBELLUM_WHITE,CEREBRAL_WHITE,CINGULATE,FRONTAL,LIMBIC,MEDIAL_OCCIPITAL,MEDIAL_TEMPORAL,OCCIPITAL,PARIETAL,SENSORY,TEMPORAL,THALAMUS,BRAAK1_CUM,BRAAK2_CUM,BRAAK3_CUM,BRAAK4_CUM,BRAAK5_CUM,BRAAK6_CUM,BASALGANGLIA_NEG_ASYM,BASALGANGLIA_POS_ASYM,CEREBELLUM_GRAY_NEG_ASYM,CEREBELLUM_GRAY_POS_ASYM,CEREBELLUM_WHITE_NEG_ASYM,CEREBELLUM_WHITE_POS_ASYM,CEREBRAL_WHITE_NEG_ASYM,CEREBRAL_WHITE_POS_ASYM,CINGULATE_NEG_ASYM,CINGULATE_POS_ASYM,FRONTAL_NEG_ASYM,FRONTAL_POS_ASYM,LIMBIC_NEG_ASYM,LIMBIC_POS_ASYM,MEDIAL_OCCIPITAL_NEG_ASYM,MEDIAL_OCCIPITAL_POS_ASYM,MEDIAL_TEMPORAL_NEG_ASYM,MEDIAL_TEMPORAL_POS_ASYM,OCCIPITAL_NEG_ASYM,OCCIPITAL_POS_ASYM,PARIETAL_NEG_ASYM,PARIETAL_POS_ASYM,SENSORY_NEG_ASYM,SENSORY_POS_ASYM,TEMPORAL_NEG_ASYM,TEMPORAL_POS_ASYM,THALAMUS_NEG_ASYM,THALAMUS_POS_ASYM,varperc
NSFA_14,0.0,1.493154,0.0,0.0,-0.31411,0.0,0.0,0.0,0.0,0.0,0.0,-0.31411,1.493154,0.0,1.493154,0.0,0.0,0.0,0.0,0.0,0.0,1.493154,1.493154,1.493154,1.179044,1.179044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0250128252009,0.0,0.0,0.0,0.0250128252009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0418661021555
NSFA_9,0.0,0.0,0.0,-1.347338,0.23243,0.0,0.23243,0.0,0.0,0.0,0.0,0.0,-1.347338,0.0,-1.347338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.347338,-1.114908,-1.114908,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106255445924,0.0,0.0,0.0,0.106255445924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0335148699015
NSFA_15,0.0,0.0,-1.137364,0.0,-0.667277,0.234924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.90244,0.0,-0.399752,-0.267525,0.0,0.0,0.0,0.0,0.0,-1.137364,-1.137364,-1.804641,-1.569717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0324439274745
NSFA_13,0.0,0.0,0.0,0.0,1.231185,0.0,1.231185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.231185,1.231185,0.0,0.0343742004654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0261656477804
NSFA_17,0.0,0.0,-0.859323,-0.775779,0.0,0.32912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.859323,0.0,0.0,0.0,0.32912,-0.775779,0.0,0.0,0.0,-0.859323,-1.635102,-1.635102,-1.305982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11761235298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0362384132594,0.0,0.0,0.0,0.0251714159384
NSFA_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.162598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00199036984409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0233041286931
NSFA_26,0.0,0.0,0.0,-0.170137,-0.345434,-0.344361,0.0,0.0,0.0,0.0,0.0,-0.78297,-0.170137,0.292247,-0.170137,0.437536,0.0,-0.636608,0.0,0.0,0.0,0.0,0.0,-0.170137,-0.515571,-0.859932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0694560455701,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,-0.0179596650333,0.0,0.0,0.44290992259,0.0,0.0,0.0,0.0,0.0,0.0226011075002
NSFA_28,0.0,0.0,0.0,0.0,0.84172,0.0,0.84172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84172,0.84172,0.0,-0.0712493465761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122773999859
NSFA_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.78886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0386887407144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122769284828
NSFA_25,0.0,0.0,0.0,0.0,-0.768549,0.0,0.0,0.0,0.0,0.0,0.0,-0.768549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.768549,-0.768549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00307202273375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101840196504
NSFA_22,0.0,0.0,0.0,0.0,0.224109,0.0,0.0,0.0,0.0,0.0,0.0,0.115774,0.0,0.0,0.0,-0.425477,0.533812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224109,0.224109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.624191201875,0.0,0.0,0.173124620653,0.0,0.0,0.0,0.0,0.0,0.0,0.00985976016072
NSFA_24,0.0,0.0,0.0,0.0,-0.747286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.747286,0.0,0.0,0.0,0.0,0.0,-0.747286,-0.747286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.120202974497,0.0,0.0,0.0,0.00976732889779
NSFA_23,0.0,0.0,0.0,0.0,-0.199688,0.0,0.0,0.0,0.0,0.0,0.0,0.164178,0.0,0.0,0.0,0.280188,-0.492198,0.0,-0.151856,0.0,0.0,0.0,0.0,0.0,-0.199688,-0.199688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.232670591916,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.00883471815745
NSFA_21,0.0,0.0,0.0,-0.697684,-0.245839,0.099105,0.0,0.0,0.0,0.0,-0.500635,-0.271255,-0.197049,0.0,-0.197049,0.0,0.025416,0.099105,0.0,0.0,0.0,0.0,0.0,-0.697684,-0.943523,-0.844418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00193554186184,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00855839753793
NSFA_27,0.0,0.0,0.0,0.45179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45179,0.0,0.0,0.0,0.45179,0.45179,0.45179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0475309325129,0.0035271609789
