FACTOR,BRAAK1,BRAAK2,BRAAK3,BRAAK4,BRAAK5,BRAAK6,BASALGANGLIA,CEREBELLUM_GRAY,CEREBELLUM_WHITE,CEREBRAL_WHITE,CINGULATE,FRONTAL,LIMBIC,MEDIAL_OCCIPITAL,MEDIAL_TEMPORAL,OCCIPITAL,PARIETAL,SENSORY,TEMPORAL,THALAMUS,BASALGANGLIA_NEG_ASYM,BASALGANGLIA_POS_ASYM,CEREBELLUM_GRAY_NEG_ASYM,CEREBELLUM_GRAY_POS_ASYM,CEREBELLUM_WHITE_NEG_ASYM,CEREBELLUM_WHITE_POS_ASYM,CEREBRAL_WHITE_NEG_ASYM,CEREBRAL_WHITE_POS_ASYM,CINGULATE_NEG_ASYM,CINGULATE_POS_ASYM,FRONTAL_NEG_ASYM,FRONTAL_POS_ASYM,LIMBIC_NEG_ASYM,LIMBIC_POS_ASYM,MEDIAL_OCCIPITAL_NEG_ASYM,MEDIAL_OCCIPITAL_POS_ASYM,MEDIAL_TEMPORAL_NEG_ASYM,MEDIAL_TEMPORAL_POS_ASYM,OCCIPITAL_NEG_ASYM,OCCIPITAL_POS_ASYM,PARIETAL_NEG_ASYM,PARIETAL_POS_ASYM,SENSORY_NEG_ASYM,SENSORY_POS_ASYM,TEMPORAL_NEG_ASYM,TEMPORAL_POS_ASYM,THALAMUS_NEG_ASYM,THALAMUS_POS_ASYM,varperc
NSFA_1,0.0,-0.083824,-0.055694,0.174186,-0.498069,0.170101,-0.78483,0.0,0.0,0.136875,0.364893,0.211553,-0.579468,0.323678,-0.579468,0.0,-0.041471,0.131743,0.19197,-0.111368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0210299134758
NSFA_19,0.0,0.0,0.0,-0.107238,0.282949,0.0,0.0,0.0,0.0,0.038218,0.0,0.282949,-0.107238,0.0,-0.107238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0181302775951
NSFA_26,0.144221,-0.109555,0.0,0.626554,-0.40126,0.0,0.0,0.0,0.0,0.0,0.0,-0.149693,0.034666,0.0,0.034666,-0.124771,0.0,0.0,0.499758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0165318942099
NSFA_4,-0.07456,0.0,0.0,-0.121601,-0.194194,0.667162,0.0,0.0,0.0,0.054167,-0.103241,0.0,-0.07456,0.0,-0.07456,-0.295539,0.253536,0.667162,-0.152191,-0.01836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144630403376
NSFA_23,0.0,0.0,0.0,0.0,-0.038788,0.0,0.524834,0.0,0.0,0.0,0.0,-0.563622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0130329962989
NSFA_2,0.0,0.0,0.654043,-0.340048,-0.130769,-0.120123,0.0,0.0,0.0,0.0,0.0,0.033814,0.0,0.482582,0.0,0.0,-0.164583,0.051338,-0.269394,-0.070654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123597646216
NSFA_27,0.0,0.0,-0.061723,0.128991,-0.082659,0.0,-0.264543,0.0,0.0,0.0,0.128991,0.181884,-0.061723,0.0,-0.061723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116869505578
NSFA_13,-0.294186,0.0,0.0,0.217214,0.477701,0.0,0.588843,-0.11855,0.0,0.0,0.161764,-0.111142,-0.294186,0.0,-0.294186,0.0,0.0,0.0,0.05545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112346638117
NSFA_11,0.0,0.0,0.0,-0.436791,0.136253,0.161321,-0.214398,0.0,0.0,-0.057765,-0.385727,0.103349,0.0,0.161321,0.0,-0.081641,0.230843,0.0,0.047036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105854821595
NSFA_21,0.4529,0.0,-0.091342,-0.23257,0.0,0.0,0.0,-0.153747,0.0,0.0,-0.126003,0.0,0.4529,-0.091342,0.4529,0.0,0.0,0.0,0.0,-0.106567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00911493767141
NSFA_20,0.0,0.27046,0.131124,0.081422,-0.571728,0.0,-0.505854,0.0,0.0,0.0,0.0,-0.065874,0.401584,0.0,0.401584,0.0,0.0,0.0,0.133714,-0.052292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00853067355503
NSFA_15,0.0,0.0,0.065673,0.364495,-0.567178,-0.0932,0.165175,0.0,0.0,0.0,0.194618,-0.391823,0.131952,-0.109059,0.131952,0.121575,-0.358845,0.015859,-0.080233,0.080571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00791244292255
NSFA_25,0.0,0.0,0.0,0.112158,-0.008617,0.0,0.128015,0.0,0.0,0.0,0.0,-0.326831,0.0,0.0,0.0,0.0,0.0,0.0,0.302357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00758355361383
NSFA_22,0.083461,0.0,0.0,0.0,0.081766,-0.033318,0.081766,0.088711,0.0,0.0,0.0,0.0,0.083461,-0.033318,0.083461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00687641395207
NSFA_28,0.0,0.0,0.0,0.212435,-0.19399,0.0,0.146542,0.0,0.0,0.0,-0.060652,-0.340532,0.185438,0.0,0.185438,0.0,0.0,0.0,0.087649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00555934400886
