,NSFA_0_REGIONS,NSFA_0,NSFA_1_REGIONS,NSFA_1,NSFA_2_REGIONS,NSFA_2,NSFA_3_REGIONS,NSFA_3,NSFA_4_REGIONS,NSFA_4,NSFA_5_REGIONS,NSFA_5,NSFA_6_REGIONS,NSFA_6,NSFA_7_REGIONS,NSFA_7,NSFA_8_REGIONS,NSFA_8,NSFA_9_REGIONS,NSFA_9,NSFA_10_REGIONS,NSFA_10,NSFA_11_REGIONS,NSFA_11,NSFA_12_REGIONS,NSFA_12,NSFA_13_REGIONS,NSFA_13
NEG_1,CTX_ROSTRALMIDDLEFRONTAL,-0.181672,CTX_ROSTRALMIDDLEFRONTAL,-0.550492,CTX_INFERIORTEMPORAL,-0.523169,CTX_SUPRAMARGINAL,-0.22094,CTX_LINGUAL,-0.518004,CTX_SUPERIORPARIETAL,-0.243038,CTX_LATERALOCCIPITAL,-0.401892,CTX_ENTORHINAL,-0.453365,CTX_FUSIFORM,-0.408456,CTX_PRECUNEUS,-0.450807,CTX_LATERALORBITOFRONTAL,-0.259892,CTX_TEMPORALPOLE,-0.319412,,,,
NEG_2,CTX_SUPRAMARGINAL,-0.167251,CTX_PARSTRIANGULARIS,-0.50175,CTX_MIDDLETEMPORAL,-0.486609,CEREBELLUM_WHITE_MATTER,-0.216393,CTX_CUNEUS,-0.203824,CTX_POSTCENTRAL,-0.235977,CTX_FUSIFORM,-0.210835,CTX_PARAHIPPOCAMPAL,-0.327069,CTX_INFERIORTEMPORAL,-0.329751,CTX_ISTHMUSCINGULATE,-0.353825,CTX_MEDIALORBITOFRONTAL,-0.245796,,,,,,
NEG_3,CTX_POSTERIORCINGULATE,-0.162497,CTX_PARSORBITALIS,-0.465248,CTX_INFERIORPARIETAL,-0.449898,CEREBRAL_WHITE_MATTER,-0.213325,CTX_TRANSVERSETEMPORAL,-0.185963,CTX_LATERALOCCIPITAL,-0.226926,CTX_FRONTALPOLE,-0.147294,CTX_PARSORBITALIS,-0.101411,CEREBRAL_WHITE_MATTER,-0.281147,,,CTX_ROSTRALANTERIORCINGULATE,-0.228318,,,,,,
NEG_4,CTX_PARACENTRAL,-0.156781,CTX_FRONTALPOLE,-0.453404,CTX_SUPRAMARGINAL,-0.397833,CTX_FRONTALPOLE,-0.076594,CTX_LATERALOCCIPITAL,-0.133098,CTX_CUNEUS,-0.19142,,,,,CTX_PARSORBITALIS,-0.212682,,,CTX_INSULA,-0.202122,,,,,,
NEG_5,CTX_INFERIORPARIETAL,-0.079565,CTX_PRECENTRAL,-0.408554,CTX_POSTERIORCINGULATE,-0.389765,CTX_LINGUAL,-0.045588,CTX_PARACENTRAL,-0.128081,CTX_PRECENTRAL,-0.161422,,,,,CTX_LATERALORBITOFRONTAL,-0.148046,,,CTX_TEMPORALPOLE,-0.184923,,,,,,
NEG_6,CTX_PRECUNEUS,-0.043514,CTX_POSTCENTRAL,-0.405874,CTX_FUSIFORM,-0.366355,,,,,CTX_FRONTALPOLE,-0.123002,,,,,CTX_PARACENTRAL,-0.099075,,,CTX_ENTORHINAL,-0.1388,,,,,,
NEG_7,,,CTX_SUPERIORPARIETAL,-0.354271,CTX_SUPERIORPARIETAL,-0.33904,,,,,BRAIN_STEM,-0.117629,,,,,,,,,CTX_PARAHIPPOCAMPAL,-0.110247,,,,,,
NEG_8,,,CTX_SUPRAMARGINAL,-0.312322,CTX_PARAHIPPOCAMPAL,-0.31626,,,,,CTX_POSTERIORCINGULATE,-0.095653,,,,,,,,,CTX_PARSORBITALIS,-0.085477,,,,,,
NEG_9,,,CTX_PARACENTRAL,-0.295377,CTX_ISTHMUSCINGULATE,-0.302516,,,,,CTX_INFERIORPARIETAL,-0.090929,,,,,,,,,CTX_SUPERIORFRONTAL,-0.051128,,,,,,
NEG_10,,,CTX_SUPERIORFRONTAL,-0.280364,CTX_ENTORHINAL,-0.30198,,,,,ACCUMBENS_AREA,-0.087926,,,,,,,,,CTX_ROSTRALMIDDLEFRONTAL,-0.008075,,,,,,
