FACTOR,varperc
NSFA_0,0.805035741
NSFA_1,0.241795597
NSFA_3,0.196390726
NSFA_5,0.169052638
NSFA_2,0.134952166
NSFA_7,0.134808112
NSFA_8,0.120180546
NSFA_6,0.110242921
NSFA_4,0.077823144
NSFA_9,0.051175538
NSFA_11,0.016761427
NSFA_10,0.014870512
