,NSFA_0_REGIONS,NSFA_0,NSFA_1_REGIONS,NSFA_1,NSFA_2_REGIONS,NSFA_2,NSFA_3_REGIONS,NSFA_3,NSFA_4_REGIONS,NSFA_4,NSFA_5_REGIONS,NSFA_5,NSFA_6_REGIONS,NSFA_6,NSFA_7_REGIONS,NSFA_7,NSFA_8_REGIONS,NSFA_8,NSFA_9_REGIONS,NSFA_9,NSFA_10_REGIONS,NSFA_10,NSFA_11_REGIONS,NSFA_11,NSFA_12_REGIONS,NSFA_12,NSFA_13_REGIONS,NSFA_13,NSFA_14_REGIONS,NSFA_14,NSFA_15_REGIONS,NSFA_15,NSFA_16_REGIONS,NSFA_16,NSFA_17_REGIONS,NSFA_17,NSFA_18_REGIONS,NSFA_18,NSFA_19_REGIONS,NSFA_19,NSFA_20_REGIONS,NSFA_20,NSFA_21_REGIONS,NSFA_21,NSFA_22_REGIONS,NSFA_22,NSFA_23_REGIONS,NSFA_23,NSFA_24_REGIONS,NSFA_24,NSFA_25_REGIONS,NSFA_25,NSFA_26_REGIONS,NSFA_26,NSFA_27_REGIONS,NSFA_27,NSFA_28_REGIONS,NSFA_28
POS_1,CTX_FUSIFORM,0.593721,CTX_ROSTRALANTERIORCINGULATE,0.194406,CTX_FUSIFORM,0.384972,CTX_CUNEUS,0.505734,CTX_POSTCENTRAL,0.369641,CEREBELLUM_WHITE_MATTER,0.335067,CTX_PRECUNEUS,0.843387,CTX_FRONTALPOLE,0.596221,CTX_ROSTRALANTERIORCINGULATE,0.694654,CTX_POSTERIORCINGULATE,0.380143,CTX_PARACENTRAL,0.392439,CTX_SUPERIORPARIETAL,0.230843,CTX_INFERIORPARIETAL,0.29225,CAUDATE,0.372419,CTX_ISTHMUSCINGULATE,0.491236,PALLIDUM,0.165175,CAUDATE,0.288393,CTX_PARSOPERCULARIS,0.359503,CTX_TRANSVERSETEMPORAL,0.297247,CTX_PARSORBITALIS,0.567554,HIPPOCAMPUS,0.27046,CTX_ENTORHINAL,0.4529,CTX_CUNEUS,0.281116,ACCUMBENS_AREA,0.524834,CTX_SUPERIORTEMPORAL,0.559348,CTX_TEMPORALPOLE,0.202075,CTX_TEMPORALPOLE,0.626554,CTX_FRONTALPOLE,0.262465,CTX_INSULA,0.185438
POS_2,CTX_LINGUAL,0.557064,CTX_CAUDALANTERIORCINGULATE,0.170487,CTX_LINGUAL,0.269071,CTX_PERICALCARINE,0.46045,CTX_PRECENTRAL,0.297521,CEREBRAL_WHITE_MATTER,0.318152,CTX_BANKSSTS,0.759584,CTX_PARSORBITALIS,0.538174,CTX_MEDIALORBITOFRONTAL,0.63196,CTX_CAUDALANTERIORCINGULATE,0.30548,CTX_TRANSVERSETEMPORAL,0.279743,CTX_CUNEUS,0.161321,CTX_ISTHMUSCINGULATE,0.292005,PUTAMEN,0.216424,CTX_POSTERIORCINGULATE,0.343442,CTX_LATERALOCCIPITAL,0.121575,CTX_SUPERIORTEMPORAL,0.277941,CTX_SUPERIORTEMPORAL,0.347123,CTX_LATERALORBITOFRONTAL,0.223887,CTX_LATERALORBITOFRONTAL,0.233417,CTX_TEMPORALPOLE,0.225645,,,CEREBELLUM_CORTEX,0.088711,,,CTX_TRANSVERSETEMPORAL,0.472712,CTX_SUPERIORTEMPORAL,0.190199,CTX_ENTORHINAL,0.144221,CTX_PARSORBITALIS,0.256657,PUTAMEN,0.146542
POS_3,CTX_CUNEUS,0.424451,CTX_PARSOPERCULARIS,0.155806,CTX_POSTCENTRAL,0.051338,CTX_LINGUAL,0.383475,CTX_SUPRAMARGINAL,0.253536,PALLIDUM,0.268258,CTX_INFERIORPARIETAL,0.746388,CTX_MIDDLETEMPORAL,0.463829,CTX_CAUDALANTERIORCINGULATE,0.590929,CTX_SUPERIORPARIETAL,0.179677,PUTAMEN,0.226467,CTX_PARSORBITALIS,0.103349,CTX_PRECUNEUS,0.280468,CTX_POSTERIORCINGULATE,0.161764,CTX_PARAHIPPOCAMPAL,0.182568,CTX_CAUDALANTERIORCINGULATE,0.097621,CTX_TEMPORALPOLE,0.206606,CTX_INSULA,0.24106,CTX_MEDIALORBITOFRONTAL,0.119647,CEREBRAL_WHITE_MATTER,0.038218,AMYGDALA,0.131124,,,CTX_ENTORHINAL,0.083461,,,CTX_BANKSSTS,0.23945,ACCUMBENS_AREA,0.128015,,,CTX_CAUDALANTERIORCINGULATE,0.128991,CTX_MIDDLETEMPORAL,0.087649
POS_4,CTX_PERICALCARINE,0.394232,CTX_LINGUAL,0.154732,CTX_ROSTRALMIDDLEFRONTAL,0.033814,CEREBELLUM_CORTEX,0.104265,CEREBRAL_WHITE_MATTER,0.054167,BRAIN_STEM,0.238865,CTX_ROSTRALMIDDLEFRONTAL,0.740531,CTX_INFERIORTEMPORAL,0.458494,CTX_INSULA,0.559777,CTX_PRECUNEUS,0.116258,CTX_POSTCENTRAL,0.210313,CTX_TRANSVERSETEMPORAL,0.0981,CTX_BANKSSTS,0.250147,CTX_TEMPORALPOLE,0.05545,CTX_PARSTRIANGULARIS,0.173082,CTX_POSTERIORCINGULATE,0.096997,CTX_MEDIALORBITOFRONTAL,0.198108,CTX_PARSTRIANGULARIS,0.208534,CTX_FRONTALPOLE,0.119228,,,,,,,PUTAMEN,0.081766,,,CTX_MIDDLETEMPORAL,0.147627,CTX_MEDIALORBITOFRONTAL,0.08046,,,,,,
POS_5,CTX_PARAHIPPOCAMPAL,0.351565,CEREBRAL_WHITE_MATTER,0.136875,,,CTX_PARACENTRAL,0.05031,,,THALAMUS_PROPER,0.118151,CTX_SUPERIORFRONTAL,0.67628,CTX_LATERALORBITOFRONTAL,0.408531,CAUDATE,0.48961,CTX_INFERIORPARIETAL,0.08802,ACCUMBENS_AREA,0.139224,,,CTX_SUPRAMARGINAL,0.129666,CTX_PARSOPERCULARIS,0.02437,CTX_CUNEUS,0.133274,THALAMUS_PROPER,0.080571,CTX_ROSTRALMIDDLEFRONTAL,0.184887,CTX_CAUDALANTERIORCINGULATE,0.196213,,,,,,,,,,,,,CTX_PARACENTRAL,0.127965,,,,,,,,
POS_6,CTX_INSULA,0.313209,CTX_PARACENTRAL,0.131743,,,,,,,CTX_BANKSSTS,0.072176,CTX_POSTERIORCINGULATE,0.666579,CTX_LATERALOCCIPITAL,0.252128,CTX_LATERALORBITOFRONTAL,0.426776,CTX_ROSTRALANTERIORCINGULATE,0.085935,THALAMUS_PROPER,0.093007,,,CTX_FRONTALPOLE,0.102758,,,CTX_POSTCENTRAL,0.13149,CTX_INSULA,0.066279,CTX_LINGUAL,0.162087,CTX_SUPRAMARGINAL,0.1891,,,,,,,,,,,,,CTX_PRECUNEUS,0.055298,,,,,,,,
POS_7,AMYGDALA,0.304776,CTX_FUSIFORM,0.130588,,,,,,,PUTAMEN,0.042465,CTX_SUPRAMARGINAL,0.664559,CTX_TEMPORALPOLE,0.216828,PUTAMEN,0.418848,CTX_LATERALOCCIPITAL,0.084466,CTX_INSULA,0.074479,,,CTX_SUPERIORPARIETAL,0.084056,,,CTX_CAUDALANTERIORCINGULATE,0.130396,CTX_PARAHIPPOCAMPAL,0.065673,CTX_TRANSVERSETEMPORAL,0.15974,CTX_ROSTRALANTERIORCINGULATE,0.164173,,,,,,,,,,,,,,,,,,,,,,
POS_8,CTX_ISTHMUSCINGULATE,0.274319,CTX_TRANSVERSETEMPORAL,0.116679,,,,,,,,,CTX_CAUDALMIDDLEFRONTAL,0.649619,CTX_PARSTRIANGULARIS,0.215022,ACCUMBENS_AREA,0.384911,CTX_SUPRAMARGINAL,0.083293,,,,,CTX_MIDDLETEMPORAL,0.08395,,,CTX_PRECENTRAL,0.092751,CTX_MIDDLETEMPORAL,0.050905,CTX_ROSTRALANTERIORCINGULATE,0.153258,CTX_BANKSSTS,0.143086,,,,,,,,,,,,,,,,,,,,,,
POS_9,CTX_INFERIORTEMPORAL,0.253178,CTX_TEMPORALPOLE,0.075291,,,,,,,,,CTX_SUPERIORPARIETAL,0.619411,CTX_ROSTRALMIDDLEFRONTAL,0.203182,CTX_SUPERIORFRONTAL,0.351795,CTX_FRONTALPOLE,0.051219,,,,,CTX_FUSIFORM,0.07989,,,,,BRAIN_STEM,0.045762,CTX_FRONTALPOLE,0.148855,,,,,,,,,,,,,,,,,,,,,,,,
POS_10,CTX_TRANSVERSETEMPORAL,0.23987,CTX_SUPRAMARGINAL,0.074587,,,,,,,,,ACCUMBENS_AREA,0.605792,CTX_FUSIFORM,0.150055,CTX_PARSOPERCULARIS,0.350227,,,,,,,,,,,,,CTX_PARACENTRAL,0.035333,CTX_LATERALOCCIPITAL,0.115389,,,,,,,,,,,,,,,,,,,,,,,,
