FACTOR,BRAAK1,BRAAK2,BRAAK3,BRAAK4,BRAAK5,BRAAK6
NSFA_1,0.0,-0.085231,-0.061178,0.1746,-0.526335,0.177434
NSFA_0,0.132116,0.179576,1.811819,0.654199,-3.091727,-0.233247
NSFA_3,0.0,0.0,-0.060099,-1.001792,-1.139873,0.835699
NSFA_2,0.0,0.0,0.658857,-0.337889,-0.130596,-0.128571
NSFA_5,-0.445445,-0.09835,-0.61247,-0.43627,-0.2048,-0.348046
NSFA_4,-0.074338,0.0,0.0,-0.108211,-0.188189,0.666412
NSFA_7,0.066803,-0.117418,-0.018381,0.092425,0.214729,-0.70832
NSFA_6,-0.657284,-0.890737,0.043108,1.396735,7.428534,0.503682
NSFA_9,0.0,-0.040048,0.0,0.768121,-1.02768,-0.031559
NSFA_8,0.0,0.079305,-0.296999,2.023316,1.753414,-2.222322
NSFA_28,0.0,0.0,0.0,0.221392,-0.182744,0.0
NSFA_20,0.0,0.2686,0.13182,0.080691,-0.588115,0.0
NSFA_21,0.453592,0.0,-0.093318,-0.236052,0.0,0.0
NSFA_22,0.080621,0.0,0.0,0.0,0.090366,-0.036193
NSFA_23,0.0,0.0,0.0,0.0,-0.024283,0.0
NSFA_24,0.0,0.0,-0.043862,-0.123172,0.421107,-0.02215
NSFA_25,0.0,0.0,0.0,0.107546,-0.008313,0.0
NSFA_26,0.142812,-0.110345,0.0,0.62704,-0.399775,0.0
NSFA_27,0.0,0.0,-0.06646,0.128975,-0.074831,0.0
NSFA_15,0.0,0.0,0.065586,0.360573,-0.559379,-0.131516
NSFA_14,0.0,0.0,-0.431236,0.60685,-0.645549,0.321946
NSFA_17,0.0,0.0,0.0,0.401908,0.695222,-0.353977
NSFA_16,-0.038566,-0.034136,-0.058017,-0.220432,0.498097,-0.001078
NSFA_11,0.0,0.0,0.0,-0.434914,0.134386,0.166227
NSFA_10,0.0,0.0,0.0,-0.258836,-0.531775,0.597177
NSFA_13,-0.301543,0.0,0.0,0.222297,0.466521,0.0
NSFA_12,0.0,0.0,0.079867,-0.129476,0.740675,-1.285727
NSFA_19,0.0,0.0,0.0,-0.108083,0.288805,0.0
NSFA_18,0.0,0.0,0.0,-0.176631,0.608337,-0.625883
