"","APOE4_BIN1","Age.AV1451","Gender1","Edu..Yrs.","NSFA_0","NSFA_1","NSFA_2","NSFA_3","NSFA_4","NSFA_5","NSFA_6","NSFA_7","NSFA_8","NSFA_9","NSFA_10","NSFA_11","AV1451_PVC_Braak1_CerebGray_BL","AV1451_PVC_Braak2_CerebGray_BL","AV1451_PVC_Braak3_CerebGray_BL","AV1451_PVC_Braak4_CerebGray_BL","AV1451_PVC_Braak5_CerebGray_BL","AV1451_PVC_Braak6_CerebGray_BL"
"AVLT_AV1451_1",-0.111392415020769,-0.137397569923396,0.656344802965203,0.229936235750283,0.116636726451618,0,0.253897686664256,-0.302009501353715,-0.420509941641786,-0.222762680745296,-0.301959679942482,0.18979892028319,-0.119694205563897,0.0221008359215957,-0.141695162790655,0.070629427625409,-0.237005539607741,-0.406601214726168,1.54410824037396,0,-1.70182581643067,0.484771048801129
"AVLT_retroslope_AV1451_BL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112980663866112,0,0,0,0,0
"ADAS_AV1451_1",0.113265188551419,0,-0.192769011475621,-0.126235153979165,0.359486703963885,0,0,0.239372558455722,-0.316224907773499,0.0325042918086772,0,0,0.159232613534117,0.130169948048171,0.0163429159427713,0,0.0428043249356965,0.143403389820182,0,-0.00553013931020884,-0.00886863282862893,0
"ADAS_retroslope_AV1451_BL",0.301292910948682,0,0,-0.0844524491906981,0.190318347813427,0,0,0.0840986602519334,-0.215772202382582,0,0,0,0,0.0268164133482055,0,0,0.17226555365142,0,0,0.0565677228738544,0,0
"AV1451_BL_closest_AV45_wcereb",0.486994083693221,0.202447361644074,0,0,0.17158180270941,0,0,0.0364590074280293,0.0528877526843553,0,0,0,0,0,0,0,0.366346968841054,0.0704327843240076,0.0503706216232855,0,0,0
"AV1451_BL_closest_AV45_wcereb_retroSlope",0.386608486608423,0.194436038725079,0,0.0499664966602731,0,0,0,0,0,0.0794648505970285,0.0530588354517804,0.214824355915475,0.146649758969387,0,0.175070130035564,0,-0.159979163086433,0.135736351568553,0,0,0,0
