Rank,0.5,0.50_val,0.55,0.55_val,0.6,0.60_val,0.65,0.65_val,0.7,0.70_val,0.75,0.75_val,0.81,0.81_val,0.85,0.85_val,0.9,0.90_val,0.95,0.95_val,1.01,1.01_val,1.05,1.05_val,1.1,1.10_val,1.16,1.16_val,1.2,1.20_val,1.25,1.25_val,1.3,1.30_val,1.35,1.35_val
10,ctx-lh-precuneus,0.01666451,ctx-rh-posteriorcingulate,0.016103211,ctx-lh-supramarginal,0.01256904,ctx-lh-inferiorparietal,0.011876092,ctx-lh-parsopercularis,0.013746889,ctx-rh-caudalanteriorcingulate,0.018036127,ctx-lh-medialorbitofrontal,0.025562127,ctx-rh-precuneus,0.029353208,ctx-lh-parsopercularis,0.033178647,ctx-lh-parsopercularis,0.035683795,ctx-rh-middletemporal,0.038255251,ctx-rh-middletemporal,0.040875128,ctx-lh-superiorparietal,0.043017385,ctx-lh-inferiorparietal,0.044903019,ctx-rh-precuneus,0.045415964,ctx-lh-inferiorparietal,0.044809961,ctx-lh-parsopercularis,0.044507028,ctx-lh-parsopercularis,0.044394287
11,ctx-rh-parsorbitalis,0.015987483,ctx-rh-parsorbitalis,0.015980487,ctx-lh-inferiorparietal,0.012526992,ctx-rh-middletemporal,0.011749215,ctx-rh-inferiorparietal,0.013033773,ctx-rh-frontalpole,0.017989318,ctx-rh-frontalpole,0.02524526,ctx-lh-rostralanteriorcingulate,0.029092932,ctx-lh-inferiorparietal,0.032734951,ctx-rh-middletemporal,0.03557533,ctx-rh-inferiorparietal,0.037770209,ctx-lh-superiorparietal,0.040378196,ctx-lh-caudalmiddlefrontal,0.04300368,ctx-lh-superiorparietal,0.044479524,ctx-lh-inferiorparietal,0.045151807,ctx-lh-parsopercularis,0.044749905,ctx-lh-inferiorparietal,0.044455149,ctx-lh-inferiorparietal,0.044320341
12,ctx-lh-parsorbitalis,0.015893298,ctx-lh-parsorbitalis,0.015744891,ctx-rh-middletemporal,0.012401051,ctx-rh-precuneus,0.011742979,ctx-rh-precuneus,0.012911862,ctx-lh-lateralorbitofrontal,0.017456734,ctx-rh-precuneus,0.024023807,ctx-rh-middletemporal,0.028180129,ctx-rh-middletemporal,0.032326304,ctx-rh-inferiorparietal,0.03514415,ctx-lh-parsopercularis,0.03776095,ctx-rh-inferiorparietal,0.040173961,ctx-rh-inferiorparietal,0.04223264,ctx-lh-parsopercularis,0.043947718,ctx-lh-parsopercularis,0.044670447,ctx-lh-superiorfrontal,0.04441933,ctx-lh-superiorfrontal,0.044076551,ctx-lh-superiorfrontal,0.04393145
13,ctx-rh-caudalmiddlefrontal,0.015228025,ctx-rh-caudalmiddlefrontal,0.014985749,ctx-rh-precuneus,0.012354949,ctx-lh-supramarginal,0.011691769,ctx-lh-supramarginal,0.012740271,ctx-lh-inferiorparietal,0.017433975,ctx-rh-middletemporal,0.023996208,ctx-lh-inferiorparietal,0.028156284,ctx-lh-rostralanteriorcingulate,0.031871802,ctx-lh-supramarginal,0.034846815,ctx-lh-supramarginal,0.037113632,ctx-lh-caudalmiddlefrontal,0.040015027,ctx-rh-medialorbitofrontal,0.041971624,ctx-rh-inferiorparietal,0.043796321,ctx-lh-superiorfrontal,0.044490783,ctx-lh-middletemporal,0.043796044,ctx-lh-middletemporal,0.043716628,ctx-lh-middletemporal,0.04367484
14,ctx-rh-supramarginal,0.01512345,ctx-rh-parstriangularis,0.014849499,ctx-rh-lateralorbitofrontal,0.012264936,ctx-lh-parsopercularis,0.011670231,ctx-rh-caudalanteriorcingulate,0.01272961,ctx-rh-middletemporal,0.017113369,ctx-lh-inferiorparietal,0.023709487,ctx-lh-parstriangularis,0.027487516,ctx-rh-inferiorparietal,0.031818332,ctx-rh-parsopercularis,0.034251443,ctx-lh-superiorparietal,0.037099747,ctx-lh-parsopercularis,0.039837933,ctx-lh-parsopercularis,0.041889938,ctx-rh-caudalmiddlefrontal,0.043755236,ctx-lh-superiorparietal,0.044068667,ctx-rh-inferiorparietal,0.043673256,ctx-rh-inferiorparietal,0.043306767,ctx-rh-inferiorparietal,0.043170155
15,ctx-lh-isthmuscingulate,0.014951402,ctx-rh-supramarginal,0.014808359,ctx-rh-caudalmiddlefrontal,0.011951951,ctx-lh-rostralanteriorcingulate,0.011350312,ctx-lh-parsorbitalis,0.012612862,ctx-lh-medialorbitofrontal,0.017019337,ctx-lh-lateralorbitofrontal,0.023683023,ctx-rh-inferiorparietal,0.027470467,ctx-lh-supramarginal,0.031729829,ctx-lh-middletemporal,0.03409472,ctx-lh-caudalmiddlefrontal,0.036966766,ctx-lh-middletemporal,0.038991602,ctx-lh-superiorfrontal,0.041209393,ctx-lh-superiorfrontal,0.043747865,ctx-rh-inferiorparietal,0.044046472,ctx-rh-precuneus,0.043341632,ctx-lh-superiortemporal,0.042998686,ctx-lh-superiortemporal,0.043019421
16,ctx-rh-precuneus,0.014940214,ctx-lh-isthmuscingulate,0.014695747,ctx-rh-supramarginal,0.011945918,ctx-lh-isthmuscingulate,0.010717535,ctx-lh-rostralmiddlefrontal,0.012590523,ctx-rh-posteriorcingulate,0.016862899,ctx-lh-middletemporal,0.023159805,ctx-lh-supramarginal,0.027366105,ctx-lh-middletemporal,0.030991666,ctx-lh-caudalmiddlefrontal,0.033860354,ctx-lh-middletemporal,0.036613057,ctx-lh-supramarginal,0.03896885,ctx-lh-middletemporal,0.041134113,ctx-lh-middletemporal,0.043023806,ctx-lh-middletemporal,0.043634097,ctx-lh-superiortemporal,0.042856854,ctx-rh-precuneus,0.04208966,ctx-lh-lateralorbitofrontal,0.041868857
17,ctx-rh-parstriangularis,0.014533378,ctx-rh-precuneus,0.014602806,ctx-lh-medialorbitofrontal,0.011684709,ctx-lh-superiorparietal,0.010481708,ctx-rh-middletemporal,0.012554764,ctx-lh-middletemporal,0.016809296,ctx-rh-inferiorparietal,0.023145897,ctx-lh-middletemporal,0.027047514,ctx-rh-supramarginal,0.030099992,ctx-lh-rostralanteriorcingulate,0.033657938,ctx-lh-superiorfrontal,0.035347307,ctx-lh-superiorfrontal,0.038390362,ctx-lh-supramarginal,0.040274629,ctx-rh-superiorfrontal,0.041910344,ctx-rh-superiorfrontal,0.042567447,ctx-lh-superiorparietal,0.042440841,ctx-rh-superiorfrontal,0.041946286,ctx-rh-parsorbitalis,0.041847234
18,ctx-lh-middletemporal,0.014156177,ctx-rh-superiorfrontal,0.01359339,ctx-lh-parsopercularis,0.011666962,ctx-lh-parstriangularis,0.010410643,ctx-rh-lateralorbitofrontal,0.012039619,ctx-rh-inferiorparietal,0.016765919,ctx-lh-supramarginal,0.022818871,ctx-lh-lateralorbitofrontal,0.02682032,ctx-lh-caudalmiddlefrontal,0.030058502,ctx-lh-superiorparietal,0.033491664,ctx-rh-supramarginal,0.035231234,ctx-rh-supramarginal,0.037256836,ctx-rh-caudalmiddlefrontal,0.040158048,ctx-rh-medialorbitofrontal,0.041721623,ctx-lh-superiortemporal,0.042132357,ctx-rh-superiorfrontal,0.042363466,ctx-lh-lateralorbitofrontal,0.041844938,ctx-rh-superiorfrontal,0.041776064
19,ctx-rh-superiorfrontal,0.014101578,ctx-lh-middletemporal,0.013514744,ctx-rh-superiorparietal,0.011631955,ctx-rh-isthmuscingulate,0.010382548,ctx-rh-rostralanteriorcingulate,0.012027356,ctx-rh-precuneus,0.01658605,ctx-rh-supramarginal,0.022298758,ctx-rh-supramarginal,0.026267801,ctx-rh-isthmuscingulate,0.029902607,ctx-rh-supramarginal,0.03297866,ctx-lh-rostralanteriorcingulate,0.034919275,ctx-rh-caudalmiddlefrontal,0.036945174,ctx-rh-superiorfrontal,0.039463263,ctx-rh-superiorparietal,0.04147242,ctx-rh-superiorparietal,0.04177357,ctx-lh-lateralorbitofrontal,0.041652267,ctx-rh-parsorbitalis,0.041780471,ctx-rh-precuneus,0.041665127
20,ctx-lh-caudalmiddlefrontal,0.012901032,ctx-rh-middletemporal,0.01246276,ctx-rh-isthmuscingulate,0.011477138,ctx-rh-rostralanteriorcingulate,0.010310104,ctx-lh-lateralorbitofrontal,0.012023345,ctx-lh-supramarginal,0.016007853,ctx-rh-caudalanteriorcingulate,0.021749626,ctx-rh-isthmuscingulate,0.02596913,ctx-lh-lateralorbitofrontal,0.02958049,ctx-rh-isthmuscingulate,0.032368277,ctx-rh-parsopercularis,0.034773885,ctx-rh-superiorfrontal,0.036707838,ctx-rh-superiorparietal,0.039089552,ctx-lh-superiortemporal,0.040957093,ctx-lh-posteriorcingulate,0.040807121,ctx-rh-parsorbitalis,0.041476807,ctx-lh-superiorparietal,0.041329352,ctx-lh-superiorparietal,0.04094024
21,ctx-rh-inferiorparietal,0.012701936,ctx-lh-caudalmiddlefrontal,0.012357295,ctx-lh-rostralmiddlefrontal,0.011366592,ctx-rh-inferiorparietal,0.010305514,ctx-lh-medialorbitofrontal,0.011915947,ctx-rh-supramarginal,0.015925229,ctx-lh-parsorbitalis,0.02162316,ctx-lh-parsorbitalis,0.025542485,ctx-lh-parstriangularis,0.029310528,ctx-lh-superiorfrontal,0.032182799,ctx-lh-isthmuscingulate,0.034333874,ctx-lh-isthmuscingulate,0.036198256,ctx-rh-supramarginal,0.038888545,ctx-lh-supramarginal,0.040744177,ctx-lh-lateralorbitofrontal,0.040723561,ctx-rh-superiorparietal,0.040965613,ctx-lh-posteriorcingulate,0.040503252,ctx-lh-posteriorcingulate,0.040400232
22,ctx-rh-middletemporal,0.012430761,ctx-rh-inferiorparietal,0.012320089,ctx-rh-rostralanteriorcingulate,0.010980302,ctx-rh-supramarginal,0.010254656,ctx-rh-supramarginal,0.011895724,ctx-rh-rostralanteriorcingulate,0.01583521,ctx-rh-isthmuscingulate,0.021452819,ctx-lh-caudalmiddlefrontal,0.025133719,ctx-lh-isthmuscingulate,0.029162358,ctx-lh-isthmuscingulate,0.032126233,ctx-rh-isthmuscingulate,0.033883974,ctx-rh-superiortemporal,0.036017704,ctx-lh-superiortemporal,0.038195392,ctx-lh-posteriorcingulate,0.0401939,ctx-rh-medialorbitofrontal,0.040658819,ctx-lh-posteriorcingulate,0.040750743,ctx-rh-superiorparietal,0.040228454,ctx-rh-superiortemporal,0.039981802
23,ctx-lh-parstriangularis,0.012284326,ctx-lh-parstriangularis,0.012075634,ctx-rh-posteriorcingulate,0.010549563,ctx-lh-posteriorcingulate,0.01000759,ctx-rh-parsorbitalis,0.011702327,ctx-lh-parsorbitalis,0.015392885,ctx-rh-rostralanteriorcingulate,0.021285417,ctx-lh-isthmuscingulate,0.025084843,ctx-lh-superiorparietal,0.029042904,ctx-lh-lateralorbitofrontal,0.031618881,ctx-rh-superiortemporal,0.033859268,ctx-lh-rostralanteriorcingulate,0.036015894,ctx-rh-superiortemporal,0.038010155,ctx-rh-superiortemporal,0.03981222,ctx-rh-parsorbitalis,0.040419904,ctx-rh-superiortemporal,0.04032102,ctx-rh-superiortemporal,0.040084535,ctx-rh-superiorparietal,0.039955057
24,ctx-rh-rostralanteriorcingulate,0.011817141,ctx-rh-rostralanteriorcingulate,0.011782467,ctx-lh-parstriangularis,0.010008193,ctx-rh-posteriorcingulate,0.009983686,ctx-lh-middletemporal,0.011605702,ctx-rh-lateralorbitofrontal,0.014885827,ctx-rh-superiortemporal,0.02120798,ctx-rh-superiortemporal,0.025082956,ctx-lh-parsorbitalis,0.028922858,ctx-rh-superiortemporal,0.031596839,ctx-rh-caudalmiddlefrontal,0.033850222,ctx-rh-superiorparietal,0.035985575,ctx-lh-posteriorcingulate,0.037925137,ctx-rh-supramarginal,0.03975581,ctx-rh-superiortemporal,0.04035378,ctx-lh-supramarginal,0.039274652,ctx-rh-parsopercularis,0.039613075,ctx-rh-parsopercularis,0.039740723
25,ctx-rh-isthmuscingulate,0.011037775,ctx-rh-isthmuscingulate,0.011224817,ctx-rh-parsopercularis,0.010001418,ctx-lh-lateralorbitofrontal,0.009617491,ctx-rh-medialorbitofrontal,0.01110115,ctx-rh-superiortemporal,0.014581833,ctx-rh-lateralorbitofrontal,0.021003087,ctx-rh-lateralorbitofrontal,0.024971975,ctx-rh-superiortemporal,0.028785437,ctx-rh-lateralorbitofrontal,0.031105577,ctx-rh-superiorfrontal,0.033750179,ctx-lh-superiortemporal,0.035462111,ctx-lh-isthmuscingulate,0.037583868,ctx-lh-lateralorbitofrontal,0.039440635,ctx-lh-supramarginal,0.040316899,ctx-rh-parsopercularis,0.039198214,ctx-lh-supramarginal,0.03863105,ctx-lh-supramarginal,0.03841251
26,ctx-rh-caudalanteriorcingulate,0.010954426,ctx-lh-parsopercularis,0.010946748,ctx-rh-inferiorparietal,0.009964083,ctx-lh-rostralmiddlefrontal,0.009245293,ctx-rh-superiortemporal,0.010178067,ctx-lh-caudalanteriorcingulate,0.014357816,ctx-lh-isthmuscingulate,0.020837523,ctx-rh-rostralanteriorcingulate,0.024128817,ctx-rh-lateralorbitofrontal,0.028593746,ctx-lh-parsorbitalis,0.031050401,ctx-lh-lateralorbitofrontal,0.033315843,ctx-rh-parsopercularis,0.035386383,ctx-lh-lateralorbitofrontal,0.037026333,ctx-rh-parsorbitalis,0.03909431,ctx-rh-supramarginal,0.039409256,ctx-rh-medialorbitofrontal,0.038652573,ctx-rh-lateralorbitofrontal,0.038217634,ctx-rh-lateralorbitofrontal,0.038135569
27,ctx-lh-superiorfrontal,0.010828915,ctx-lh-superiorfrontal,0.01049145,ctx-lh-lateralorbitofrontal,0.009875134,ctx-rh-caudalmiddlefrontal,0.009151286,ctx-lh-superiorparietal,0.010177195,ctx-lh-isthmuscingulate,0.014045629,ctx-rh-posteriorcingulate,0.020307915,ctx-lh-superiorparietal,0.023624498,ctx-lh-superiorfrontal,0.028301945,ctx-lh-parstriangularis,0.030951708,ctx-rh-lateralorbitofrontal,0.032972768,ctx-lh-posteriorcingulate,0.035255821,ctx-lh-rostralanteriorcingulate,0.03698377,ctx-lh-isthmuscingulate,0.03826482,ctx-rh-parsopercularis,0.038272761,ctx-rh-lateralorbitofrontal,0.038381778,ctx-lh-rostralanteriorcingulate,0.038148816,ctx-lh-rostralanteriorcingulate,0.038092872
28,ctx-lh-parsopercularis,0.010784597,ctx-rh-caudalanteriorcingulate,0.010116023,ctx-lh-rostralanteriorcingulate,0.009795054,ctx-rh-superiortemporal,0.008661497,ctx-lh-isthmuscingulate,0.010064126,ctx-rh-isthmuscingulate,0.013985138,ctx-lh-caudalanteriorcingulate,0.02024598,ctx-rh-caudalanteriorcingulate,0.023607684,ctx-rh-caudalmiddlefrontal,0.027494366,ctx-rh-caudalmiddlefrontal,0.030886942,ctx-lh-superiortemporal,0.032626681,ctx-lh-lateralorbitofrontal,0.035088753,ctx-rh-parsorbitalis,0.03655765,ctx-lh-rostralanteriorcingulate,0.037898775,ctx-rh-lateralorbitofrontal,0.038271896,ctx-lh-rostralanteriorcingulate,0.038266145,ctx-rh-posteriorcingulate,0.037479514,ctx-rh-posteriorcingulate,0.037346556
29,ctx-lh-medialorbitofrontal,0.009823091,ctx-lh-medialorbitofrontal,0.010038189,ctx-lh-middletemporal,0.009503536,ctx-lh-middletemporal,0.008613244,ctx-rh-isthmuscingulate,0.010025477,ctx-rh-caudalmiddlefrontal,0.013091184,ctx-lh-caudalmiddlefrontal,0.020183417,ctx-lh-caudalanteriorcingulate,0.023432477,ctx-rh-superiorfrontal,0.027107436,ctx-rh-superiorfrontal,0.030721866,ctx-lh-parstriangularis,0.032495996,ctx-rh-isthmuscingulate,0.034833132,ctx-rh-lateralorbitofrontal,0.036201937,ctx-rh-posteriorcingulate,0.037838507,ctx-lh-rostralanteriorcingulate,0.038225863,ctx-rh-supramarginal,0.038210441,ctx-rh-medialorbitofrontal,0.037450267,ctx-rh-supramarginal,0.037126836
30,ctx-lh-lateralorbitofrontal,0.009768981,ctx-lh-lateralorbitofrontal,0.009857674,ctx-rh-superiorfrontal,0.009002483,ctx-rh-superiorparietal,0.008176724,ctx-lh-caudalanteriorcingulate,0.009862392,ctx-lh-superiorparietal,0.01293832,ctx-rh-caudalmiddlefrontal,0.019374099,ctx-rh-caudalmiddlefrontal,0.023379592,ctx-rh-posteriorcingulate,0.026540834,ctx-lh-superiortemporal,0.029752131,ctx-rh-superiorparietal,0.03248635,ctx-rh-lateralorbitofrontal,0.034659458,ctx-rh-posteriorcingulate,0.036201143,ctx-rh-lateralorbitofrontal,0.037711463,ctx-rh-posteriorcingulate,0.038147414,ctx-rh-posteriorcingulate,0.037829093,ctx-rh-supramarginal,0.03740692,ctx-rh-medialorbitofrontal,0.03703991
31,ctx-lh-superiortemporal,0.009754142,ctx-rh-lateralorbitofrontal,0.009288806,ctx-lh-superiorfrontal,0.008024005,ctx-lh-caudalanteriorcingulate,0.007849539,ctx-rh-caudalmiddlefrontal,0.009420187,ctx-lh-caudalmiddlefrontal,0.012685757,ctx-lh-superiorparietal,0.0188346,ctx-lh-superiorfrontal,0.023306938,ctx-rh-parsorbitalis,0.02645226,ctx-rh-parsorbitalis,0.029599032,ctx-lh-parsorbitalis,0.032428184,ctx-rh-parsorbitalis,0.034321687,ctx-rh-parsopercularis,0.036186414,ctx-lh-parstriangularis,0.037551709,ctx-lh-isthmuscingulate,0.038063196,ctx-lh-parstriangularis,0.037513059,ctx-lh-isthmuscingulate,0.037032342,ctx-lh-isthmuscingulate,0.036904794
32,ctx-lh-caudalanteriorcingulate,0.008869824,ctx-lh-superiortemporal,0.009152203,ctx-lh-caudalmiddlefrontal,0.007988049,ctx-lh-superiortemporal,0.006497836,ctx-lh-posteriorcingulate,0.009137336,ctx-rh-parsorbitalis,0.01257684,ctx-rh-superiorfrontal,0.018509651,ctx-rh-posteriorcingulate,0.023171682,ctx-lh-caudalanteriorcingulate,0.026396164,ctx-rh-posteriorcingulate,0.029409377,ctx-lh-posteriorcingulate,0.032284541,ctx-lh-parstriangularis,0.03417687,ctx-lh-parstriangularis,0.035908284,ctx-rh-parsopercularis,0.037423956,ctx-lh-parstriangularis,0.037928764,ctx-lh-isthmuscingulate,0.037418167,ctx-lh-parstriangularis,0.037001272,ctx-lh-parstriangularis,0.036798398
33,ctx-rh-medialorbitofrontal,0.008785041,ctx-lh-rostralanteriorcingulate,0.008755957,ctx-rh-superiortemporal,0.007854117,ctx-lh-superiorfrontal,0.006195329,ctx-rh-superiorparietal,0.008463607,ctx-rh-superiorfrontal,0.012367229,ctx-lh-superiorfrontal,0.01827582,ctx-rh-superiorfrontal,0.022675323,ctx-lh-superiortemporal,0.026323287,ctx-lh-posteriorcingulate,0.029158598,ctx-rh-parsorbitalis,0.032031154,ctx-rh-posteriorcingulate,0.034142453,ctx-rh-isthmuscingulate,0.035155807,ctx-rh-isthmuscingulate,0.034730723,ctx-lh-caudalanteriorcingulate,0.034760444,ctx-lh-caudalanteriorcingulate,0.034688684,ctx-lh-caudalanteriorcingulate,0.03452356,ctx-lh-caudalanteriorcingulate,0.034456389
34,ctx-rh-lateralorbitofrontal,0.008719207,ctx-rh-medialorbitofrontal,0.008635744,ctx-rh-medialorbitofrontal,0.006967602,ctx-rh-caudalanteriorcingulate,0.006107474,ctx-lh-caudalmiddlefrontal,0.008190634,ctx-lh-superiortemporal,0.011594821,ctx-lh-superiortemporal,0.017966757,ctx-rh-parsorbitalis,0.022157153,ctx-rh-rostralanteriorcingulate,0.026262965,ctx-rh-superiorparietal,0.028837133,ctx-rh-posteriorcingulate,0.031826125,ctx-lh-parsorbitalis,0.03344013,ctx-lh-parsorbitalis,0.034078917,ctx-lh-caudalanteriorcingulate,0.034459858,ctx-rh-isthmuscingulate,0.034223194,ctx-rh-isthmuscingulate,0.033739201,ctx-rh-isthmuscingulate,0.033608459,ctx-rh-isthmuscingulate,0.033582796
