Rank,0.5,0.50_val,0.55,0.55_val,0.6,0.60_val,0.65,0.65_val,0.7,0.70_val,0.75,0.75_val,0.81,0.81_val,0.85,0.85_val,0.9,0.90_val,0.95,0.95_val,1.01,1.01_val,1.05,1.05_val,1.1,1.10_val,1.16,1.16_val,1.2,1.20_val,1.25,1.25_val,1.3,1.30_val,1.35,1.35_val
0,ctx-rh-frontalpole,0.024798302,ctx-rh-frontalpole,0.024491547,ctx-rh-frontalpole,0.021717699,ctx-lh-frontalpole,0.021158639,ctx-lh-frontalpole,0.02014055,ctx-rh-parsopercularis,0.025925466,ctx-rh-parsopercularis,0.030806904,ctx-lh-frontalpole,0.035436454,ctx-lh-frontalpole,0.041525457,ctx-lh-frontalpole,0.046751207,ctx-lh-frontalpole,0.051285256,ctx-lh-frontalpole,0.055854761,ctx-lh-frontalpole,0.060290114,ctx-lh-frontalpole,0.064616353,ctx-lh-frontalpole,0.066167132,ctx-lh-frontalpole,0.066571055,ctx-lh-frontalpole,0.066282598,ctx-lh-frontalpole,0.066132586
1,ctx-lh-superiorparietal,0.022994154,ctx-lh-superiorparietal,0.022010342,ctx-lh-frontalpole,0.020399553,ctx-rh-frontalpole,0.018816388,ctx-rh-parsopercularis,0.019289297,ctx-lh-frontalpole,0.023033567,ctx-lh-frontalpole,0.030085377,ctx-lh-precuneus,0.033482303,ctx-lh-precuneus,0.038351327,ctx-rh-frontalpole,0.04281553,ctx-rh-frontalpole,0.046935544,ctx-rh-frontalpole,0.050780133,ctx-rh-frontalpole,0.054203628,ctx-rh-frontalpole,0.057166953,ctx-rh-frontalpole,0.058012133,ctx-rh-frontalpole,0.057911035,ctx-rh-frontalpole,0.057495481,ctx-rh-frontalpole,0.05731734
2,ctx-rh-rostralmiddlefrontal,0.021463725,ctx-rh-rostralmiddlefrontal,0.021291331,ctx-rh-rostralmiddlefrontal,0.019307659,ctx-rh-rostralmiddlefrontal,0.01730096,ctx-rh-parstriangularis,0.017735746,ctx-lh-parstriangularis,0.021925842,ctx-lh-precuneus,0.028526978,ctx-rh-rostralmiddlefrontal,0.032801065,ctx-rh-rostralmiddlefrontal,0.038237995,ctx-rh-rostralmiddlefrontal,0.042644045,ctx-rh-rostralmiddlefrontal,0.046345602,ctx-rh-rostralmiddlefrontal,0.049979074,ctx-rh-rostralmiddlefrontal,0.053370171,ctx-rh-rostralmiddlefrontal,0.056315142,ctx-rh-rostralmiddlefrontal,0.0569917,ctx-rh-rostralmiddlefrontal,0.056498468,ctx-rh-rostralmiddlefrontal,0.0558462,ctx-rh-rostralmiddlefrontal,0.055591155
3,ctx-lh-posteriorcingulate,0.020008901,ctx-lh-posteriorcingulate,0.019313841,ctx-rh-parstriangularis,0.016474591,ctx-rh-parstriangularis,0.016845586,ctx-rh-rostralmiddlefrontal,0.016942311,ctx-lh-precuneus,0.020255533,ctx-rh-rostralmiddlefrontal,0.027612438,ctx-rh-parsopercularis,0.032522171,ctx-rh-frontalpole,0.037691491,ctx-lh-precuneus,0.042027888,ctx-lh-precuneus,0.044857019,ctx-lh-precuneus,0.047297109,ctx-lh-rostralmiddlefrontal,0.049160049,ctx-lh-rostralmiddlefrontal,0.052021398,ctx-lh-rostralmiddlefrontal,0.052900083,ctx-lh-rostralmiddlefrontal,0.052850951,ctx-lh-rostralmiddlefrontal,0.052464604,ctx-lh-rostralmiddlefrontal,0.052298842
4,ctx-rh-superiorparietal,0.019250526,ctx-rh-superiorparietal,0.018306666,ctx-lh-superiorparietal,0.014947219,ctx-rh-parsopercularis,0.012844466,ctx-rh-frontalpole,0.016550098,ctx-rh-rostralmiddlefrontal,0.020215526,ctx-rh-medialorbitofrontal,0.02675217,ctx-rh-frontalpole,0.031226317,ctx-lh-rostralmiddlefrontal,0.035879765,ctx-lh-rostralmiddlefrontal,0.039696303,ctx-lh-rostralmiddlefrontal,0.042910564,ctx-lh-rostralmiddlefrontal,0.046102424,ctx-lh-precuneus,0.049078652,ctx-lh-precuneus,0.049609585,ctx-rh-parstriangularis,0.050530311,ctx-rh-parstriangularis,0.051422857,ctx-rh-parstriangularis,0.051602428,ctx-rh-parstriangularis,0.051628968
5,ctx-lh-rostralmiddlefrontal,0.018981333,ctx-lh-rostralmiddlefrontal,0.017974763,ctx-lh-precuneus,0.014711916,ctx-lh-precuneus,0.012444247,ctx-lh-parstriangularis,0.01632504,ctx-rh-parstriangularis,0.020214182,ctx-lh-rostralmiddlefrontal,0.02638707,ctx-rh-medialorbitofrontal,0.031184217,ctx-rh-medialorbitofrontal,0.035139757,ctx-rh-precuneus,0.038765728,ctx-rh-precuneus,0.041772343,ctx-rh-precuneus,0.04427507,ctx-rh-parstriangularis,0.04610602,ctx-rh-parstriangularis,0.04915035,ctx-lh-precuneus,0.04875568,ctx-lh-caudalmiddlefrontal,0.048410088,ctx-lh-caudalmiddlefrontal,0.048533508,ctx-lh-caudalmiddlefrontal,0.0485369
6,ctx-lh-supramarginal,0.01766586,ctx-lh-frontalpole,0.017688801,ctx-rh-parsorbitalis,0.014372808,ctx-lh-parsorbitalis,0.012097723,ctx-rh-posteriorcingulate,0.013994608,ctx-lh-parsopercularis,0.019504111,ctx-lh-parsopercularis,0.026322355,ctx-lh-rostralmiddlefrontal,0.03111802,ctx-rh-precuneus,0.034747432,ctx-rh-medialorbitofrontal,0.037824087,ctx-rh-parstriangularis,0.04040352,ctx-rh-parstriangularis,0.043259779,ctx-rh-precuneus,0.046010591,ctx-rh-precuneus,0.04638486,ctx-lh-caudalmiddlefrontal,0.047562466,ctx-rh-middletemporal,0.047852221,ctx-rh-middletemporal,0.048090086,ctx-rh-middletemporal,0.04815046
7,ctx-lh-inferiorparietal,0.017331588,ctx-lh-supramarginal,0.016949026,ctx-lh-posteriorcingulate,0.013993058,ctx-lh-medialorbitofrontal,0.012053335,ctx-lh-precuneus,0.013912879,ctx-lh-rostralanteriorcingulate,0.018956581,ctx-rh-parstriangularis,0.02576212,ctx-lh-medialorbitofrontal,0.03027533,ctx-lh-medialorbitofrontal,0.034451812,ctx-rh-parstriangularis,0.037546791,ctx-lh-medialorbitofrontal,0.039717614,ctx-lh-medialorbitofrontal,0.041872882,ctx-lh-medialorbitofrontal,0.043873614,ctx-lh-caudalmiddlefrontal,0.046159305,ctx-rh-middletemporal,0.047055468,ctx-lh-precuneus,0.046817132,ctx-rh-caudalmiddlefrontal,0.047143311,ctx-rh-caudalmiddlefrontal,0.047231847
8,ctx-lh-frontalpole,0.017214287,ctx-lh-inferiorparietal,0.016610799,ctx-lh-parsorbitalis,0.013681443,ctx-rh-lateralorbitofrontal,0.012036311,ctx-lh-rostralanteriorcingulate,0.013875049,ctx-rh-medialorbitofrontal,0.018702175,ctx-lh-parstriangularis,0.025726898,ctx-lh-parsopercularis,0.029891106,ctx-rh-parstriangularis,0.034134566,ctx-lh-medialorbitofrontal,0.037419613,ctx-rh-medialorbitofrontal,0.039691517,ctx-lh-inferiorparietal,0.041383577,ctx-lh-inferiorparietal,0.043402922,ctx-rh-middletemporal,0.045933981,ctx-lh-medialorbitofrontal,0.046388243,ctx-rh-caudalmiddlefrontal,0.046773252,ctx-lh-medialorbitofrontal,0.046219306,ctx-lh-medialorbitofrontal,0.04611927
9,ctx-rh-posteriorcingulate,0.016999041,ctx-lh-precuneus,0.016532488,ctx-lh-isthmuscingulate,0.012848813,ctx-rh-parsorbitalis,0.011906933,ctx-lh-inferiorparietal,0.013810542,ctx-lh-rostralmiddlefrontal,0.018570303,ctx-lh-rostralanteriorcingulate,0.02567545,ctx-rh-parstriangularis,0.029860527,ctx-rh-parsopercularis,0.03361205,ctx-lh-inferiorparietal,0.036236638,ctx-lh-inferiorparietal,0.038955983,ctx-rh-medialorbitofrontal,0.041128662,ctx-rh-middletemporal,0.043387798,ctx-lh-medialorbitofrontal,0.045761863,ctx-rh-caudalmiddlefrontal,0.04548974,ctx-lh-medialorbitofrontal,0.046437237,ctx-lh-precuneus,0.04563583,ctx-lh-precuneus,0.045236276
