,1_RANK,1_UPTAKE,2_RANK,2_UPTAKE,4_RANK,4_UPTAKE,7_RANK,7_UPTAKE,8_RANK,8_UPTAKE,9_RANK,9_UPTAKE,10_RANK,10_UPTAKE,13_RANK,13_UPTAKE,14_RANK,14_UPTAKE,16_RANK,16_UPTAKE,18_RANK,18_UPTAKE,19_RANK,19_UPTAKE,22_RANK,22_UPTAKE,26_RANK,26_UPTAKE
15,CTX_PARSOPERCULARIS,0.0225846235255492,CTX_CAUDALMIDDLEFRONTAL,0.025171675949079108,CTX_LATERALORBITOFRONTAL,0.0260744009204228,CTX_ROSTRALANTERIORCINGULATE,0.025175949690369022,CTX_CAUDALANTERIORCINGULATE,0.02447379654309742,CTX_ROSTRALMIDDLEFRONTAL,0.023404376706289785,CTX_PARACENTRAL,0.02460123109156947,CTX_PARACENTRAL,0.02330410553052308,CTX_TEMPORALPOLE,0.023510016613433198,CTX_CAUDALMIDDLEFRONTAL,0.02393176524484324,CTX_CUNEUS,0.022317515744022482,CTX_PARSOPERCULARIS,0.024160117257935283,CTX_INFERIORPARIETAL,0.02438153136873665,CTX_PARACENTRAL,0.023954472763139664
16,CTX_CAUDALMIDDLEFRONTAL,0.02175027032235182,BRAIN_STEM,0.025160115868778157,CTX_BANKSSTS,0.026017103798736268,CTX_MIDDLETEMPORAL,0.024921398491871524,CTX_SUPERIORFRONTAL,0.024338922651787914,CTX_LATERALORBITOFRONTAL,0.023337401868268687,CTX_SUPRAMARGINAL,0.024408587568542743,CTX_SUPRAMARGINAL,0.022835347077501105,CTX_INFERIORPARIETAL,0.022089683011741523,CTX_SUPRAMARGINAL,0.023548358503783614,CTX_ROSTRALMIDDLEFRONTAL,0.022264629088420303,CTX_ISTHMUSCINGULATE,0.024158780359653187,CTX_CAUDALANTERIORCINGULATE,0.023681423455362623,CTX_ISTHMUSCINGULATE,0.023503623564643004
17,CTX_SUPERIORFRONTAL,0.02169189158559747,CTX_SUPERIORFRONTAL,0.025092977207364295,CTX_MEDIALORBITOFRONTAL,0.02553038851117377,CTX_POSTCENTRAL,0.02445322414652996,CTX_POSTERIORCINGULATE,0.024335353594762642,CTX_POSTCENTRAL,0.02327378090397385,CTX_LATERALORBITOFRONTAL,0.02387078035982501,CTX_FRONTALPOLE,0.02249704871930329,CTX_SUPRAMARGINAL,0.021538982538412157,PALLIDUM,0.023349873333461956,CTX_TRANSVERSETEMPORAL,0.02192006284595717,CTX_BANKSSTS,0.024107913414115174,CTX_SUPERIORPARIETAL,0.022943583839178248,CTX_SUPRAMARGINAL,0.02342703339154505
18,CTX_PRECENTRAL,0.0212676279549096,CTX_POSTERIORCINGULATE,0.024844103056851866,CTX_ROSTRALANTERIORCINGULATE,0.02475568896889446,CTX_ISTHMUSCINGULATE,0.023999240592364666,CTX_ISTHMUSCINGULATE,0.02432375462777364,CTX_PRECENTRAL,0.02321078909233736,CTX_INFERIORTEMPORAL,0.0237919607608722,CTX_PARSTRIANGULARIS,0.022380840756843986,PALLIDUM,0.02136299016459714,CTX_CUNEUS,0.0233207158204809,CTX_PARSOPERCULARIS,0.021844941655440157,CTX_POSTCENTRAL,0.02409286273335075,CTX_LATERALORBITOFRONTAL,0.02291577334670111,CTX_SUPERIORPARIETAL,0.023280553820754998
19,CTX_POSTCENTRAL,0.02125221568980054,CTX_CAUDALANTERIORCINGULATE,0.02461437052012617,CTX_PRECENTRAL,0.024612166882393725,CTX_INFERIORTEMPORAL,0.0239193573102237,CTX_POSTCENTRAL,0.02430488229547427,CTX_PARSOPERCULARIS,0.02291186557791044,CTX_PARSOPERCULARIS,0.023577968365468584,CTX_LINGUAL,0.022144186664831284,CTX_ISTHMUSCINGULATE,0.02134034144322082,CTX_INFERIORTEMPORAL,0.02303741750834441,CTX_CAUDALMIDDLEFRONTAL,0.021671127751978964,CTX_ROSTRALANTERIORCINGULATE,0.024012262787863718,CTX_SUPERIORFRONTAL,0.022903391672270536,CTX_SUPERIORTEMPORAL,0.02325672481148268
20,CTX_ROSTRALMIDDLEFRONTAL,0.020828354047714128,CTX_MIDDLETEMPORAL,0.024196268986984362,CTX_TRANSVERSETEMPORAL,0.023603612867992813,CTX_PRECENTRAL,0.023137143726655904,CTX_TRANSVERSETEMPORAL,0.024302154216510063,CTX_SUPERIORFRONTAL,0.022852423356568216,CTX_MIDDLETEMPORAL,0.02351970984139991,CTX_MIDDLETEMPORAL,0.02201892873649702,CTX_MIDDLETEMPORAL,0.021207141414124043,CTX_MIDDLETEMPORAL,0.02293564129397755,CTX_SUPERIORPARIETAL,0.021509831998603346,CTX_CAUDALMIDDLEFRONTAL,0.024007588185225623,PALLIDUM,0.022702284437292674,BRAIN_STEM,0.0230126395172448
21,CTX_ISTHMUSCINGULATE,0.020737197144210108,CTX_INFERIORTEMPORAL,0.024118148109693423,CTX_ISTHMUSCINGULATE,0.02348668025820363,CTX_BANKSSTS,0.022863320803771996,CTX_LATERALOCCIPITAL,0.024140697906110228,CTX_MEDIALORBITOFRONTAL,0.02277611754414391,CTX_PRECENTRAL,0.023358650054168154,CTX_POSTCENTRAL,0.021603977283166948,THALAMUS_PROPER,0.021117468481596218,CTX_TEMPORALPOLE,0.022847865585251956,CTX_INFERIORTEMPORAL,0.02136785182068191,CTX_LATERALOCCIPITAL,0.023929291464531856,CTX_BANKSSTS,0.022374880950050944,CEREBELLUM_WHITE_MATTER,0.022955181767801282
22,CAUDATE,0.020363401242504752,VENTRALDC,0.023617012497255976,CTX_MIDDLETEMPORAL,0.02329940485038907,CEREBELLUM_WHITE_MATTER,0.02225667125362129,CTX_PARACENTRAL,0.023623811969365083,CAUDATE,0.02248482987131968,CTX_SUPERIORFRONTAL,0.023338347475309374,CTX_PERICALCARINE,0.02157153139421736,CTX_POSTCENTRAL,0.020886226471618252,CTX_PARSOPERCULARIS,0.022214706711480434,CTX_ROSTRALANTERIORCINGULATE,0.02133653643311192,CTX_MEDIALORBITOFRONTAL,0.023736377985422157,CTX_ROSTRALANTERIORCINGULATE,0.022182901154046513,CTX_INFERIORPARIETAL,0.02287602769177026
23,CTX_INFERIORTEMPORAL,0.020278721743538806,CTX_SUPERIORPARIETAL,0.022587751779990707,CTX_LATERALOCCIPITAL,0.02284641073731477,CTX_LATERALOCCIPITAL,0.022150016138743102,CTX_MIDDLETEMPORAL,0.023575567691500397,CTX_SUPERIORPARIETAL,0.021960205688421226,CTX_MEDIALORBITOFRONTAL,0.023106352165733167,CTX_TEMPORALPOLE,0.021563809168534027,CTX_POSTERIORCINGULATE,0.02083345416965131,CTX_SUPERIORFRONTAL,0.02182024627472684,CTX_ISTHMUSCINGULATE,0.021305120149136467,CTX_PARACENTRAL,0.02338107988156079,CTX_POSTERIORCINGULATE,0.021657065344931975,VENTRALDC,0.02276827467177656
24,CTX_SUPERIORTEMPORAL,0.020275985810835093,CTX_SUPERIORTEMPORAL,0.021808886747075564,CTX_INFERIORTEMPORAL,0.022442027512688104,CEREBRAL_WHITE_MATTER,0.022107892841438548,CTX_SUPERIORTEMPORAL,0.02251115021012665,CTX_TEMPORALPOLE,0.021663446862297885,CTX_ISTHMUSCINGULATE,0.022805645289038567,CTX_POSTERIORCINGULATE,0.02143730607382618,CTX_INFERIORTEMPORAL,0.020792538119365427,THALAMUS_PROPER,0.02079781423473655,CTX_MIDDLETEMPORAL,0.021246659917898002,CTX_SUPERIORFRONTAL,0.02325060334566735,THALAMUS_PROPER,0.021454779735486682,CEREBRAL_WHITE_MATTER,0.022319526068434417
