CTX_LATERALOCCIPITAL_PVALUE,0.45484,0.00032,0.00214,0.0,0.00151,0.0,0.0,0.00125,5e-05,0.00674
CTX_POSTCENTRAL_PVALUE,0.00036,0.0004,0.16416,0.03681,0.11023,0.00029,0.949,0.0,3e-05,0.0
CTX_CUNEUS_PVALUE,0.12294,0.80823,0.0,0.0,0.21761,0.0,0.03677,0.0,0.00129,0.05066
CTX_PARSTRIANGULARIS_PVALUE,0.14036,0.11125,0.42245,0.27139,0.00477,0.08476,0.31515,0.0,0.3469,0.54487
CTX_INSULA_PVALUE,0.33684,0.0003,2e-05,0.01186,0.00077,0.01441,0.0,0.9134,0.84132,0.0009
CTX_CAUDALMIDDLEFRONTAL_PVALUE,0.0003,0.11538,0.10397,0.4665,0.00265,0.14478,0.0,0.0,0.28641,0.973
CTX_ENTORHINAL_PVALUE,0.67934,0.06048,0.09715,0.2188,0.13753,0.12472,2e-05,0.00261,0.20118,0.00334
CTX_SUPERIORTEMPORAL_PVALUE,0.09755,0.19408,0.0,0.00069,0.01965,0.85013,0.00042,0.59861,0.01743,0.1347
CTX_INFERIORPARIETAL_PVALUE,0.35469,0.00872,0.1939,0.04832,0.00615,0.01111,0.0,0.20405,1e-05,0.36465
PUTAMEN_PVALUE,0.37405,0.0,2e-05,0.10418,0.00011,0.0,0.0,0.96053,0.22887,0.00968
VENTRALDC_PVALUE,0.46724,0.20338,0.12313,0.00194,0.96909,0.0,2e-05,0.12923,0.17601,0.28712
CTX_ROSTRALMIDDLEFRONTAL_PVALUE,0.06822,0.13413,0.27038,0.17342,0.00066,0.10072,0.54398,0.0,0.2931,0.00949
CTX_PERICALCARINE_PVALUE,0.94074,0.02907,0.0,0.0,0.16775,0.0,0.00402,0.0,1e-05,0.22955
CEREBELLUM_WHITE_MATTER_PVALUE,0.28123,0.1177,0.0047,4e-05,0.04299,0.00158,0.04624,0.17181,0.31865,0.15512
CTX_SUPRAMARGINAL_PVALUE,0.00312,0.38942,0.62894,0.96111,0.00015,0.32751,0.11852,0.0006,0.00023,0.03435
CTX_ROSTRALANTERIORCINGULATE_PVALUE,0.97073,0.11863,0.13154,0.60359,0.34217,0.0,0.0,0.15345,0.01074,0.0
CTX_PARACENTRAL_PVALUE,0.29121,0.00015,0.00484,0.00599,0.27361,0.02214,1e-05,0.0,0.0,0.0
CTX_TRANSVERSETEMPORAL_PVALUE,0.03489,0.0,0.0,0.0,0.0,0.27702,0.0,0.58134,0.00053,0.62934
CTX_MIDDLETEMPORAL_PVALUE,0.57968,0.00122,0.00914,0.01224,0.14715,0.31294,0.0,0.00458,0.00554,0.01802
CTX_TEMPORALPOLE_PVALUE,0.00091,0.78018,2e-05,0.00327,0.00808,0.01403,0.58266,0.42385,0.05233,0.00127
CTX_FUSIFORM_PVALUE,0.1269,0.466,0.0,7e-05,0.05392,0.00045,0.06506,0.0,0.0,0.00175
CTX_SUPERIORPARIETAL_PVALUE,0.00713,0.44512,0.08373,0.00402,0.03318,0.0,0.04027,0.11883,0.0,0.01014
CTX_LATERALORBITOFRONTAL_PVALUE,0.74482,0.59713,0.12784,0.60816,0.97425,0.03294,0.4049,0.03218,0.0034,0.0
CTX_PARSOPERCULARIS_PVALUE,0.04709,0.10647,0.50143,0.34725,0.10443,0.1842,2e-05,5e-05,0.31527,0.13791
HIPPOCAMPUS_PVALUE,0.05208,0.0,0.00094,0.01913,0.0,0.00264,0.0,0.24016,0.30383,0.97704
CEREBRAL_WHITE_MATTER_PVALUE,0.93157,0.03989,0.02365,0.00117,0.21646,0.00085,0.00059,0.00781,0.19352,0.35248
BRAIN_STEM_PVALUE,0.92849,0.29937,0.04676,0.00103,0.61697,3e-05,0.08644,0.35439,0.02118,0.03552
ACCUMBENS_AREA_PVALUE,0.01827,1e-05,0.0,0.01043,0.0,0.0,0.0,0.26114,0.18451,0.0
CTX_POSTERIORCINGULATE_PVALUE,0.28948,0.25929,0.59124,0.98551,0.61918,0.18654,0.0,0.15882,0.00019,0.56
CTX_FRONTALPOLE_PVALUE,0.53042,0.0,0.11787,0.02012,0.0,0.03411,0.0,0.24338,0.04051,0.03217
CTX_PRECUNEUS_PVALUE,0.40573,0.63342,0.00239,0.02798,0.44285,0.87692,0.0,0.00136,0.0,0.42793
CTX_SUPERIORFRONTAL_PVALUE,0.00539,0.03859,0.37842,0.29093,0.07085,0.19262,0.0,0.00035,0.94155,0.00438
CTX_CAUDALANTERIORCINGULATE_PVALUE,0.01571,0.00072,0.60982,0.06088,0.58116,7e-05,0.0,1e-05,0.88999,0.00214
CTX_BANKSSTS_change_PVALUE,0.04685,0.43194,0.22238,0.18415,0.21019,0.812,0.34497,0.15513,0.93325,0.03893
CTX_PRECENTRAL_change_PVALUE,0.40267,0.35721,0.07161,0.0301,0.0575,0.86085,0.7621,0.11281,0.37262,0.23087
CTX_MEDIALORBITOFRONTAL_change_PVALUE,0.05156,0.89405,0.13841,0.01793,0.14466,0.48333,0.68246,0.00304,0.23236,9e-05
CTX_PARSORBITALIS_change_PVALUE,0.35732,0.62565,0.40468,0.27109,0.51053,0.82372,0.00126,0.00534,0.78184,0.00624
CAUDATE_change_PVALUE,0.66232,0.77579,0.80825,0.73581,0.61814,0.96078,0.27532,0.02006,0.82931,0.00594
CTX_LINGUAL_change_PVALUE,0.12747,0.3478,0.13557,0.28434,0.04978,0.55756,0.05042,0.04369,0.00788,0.28109
THALAMUS_PROPER_change_PVALUE,0.08907,0.2959,0.46474,0.29811,0.40065,0.73406,0.56659,0.49558,0.11509,0.13875
CEREBELLUM_CORTEX_change_PVALUE,0.5917,0.33298,0.33963,0.33444,0.23276,0.86006,0.99076,0.71112,0.25495,0.55512
PALLIDUM_change_PVALUE,0.33535,0.53682,0.8486,0.23456,0.44776,0.0498,0.38407,0.3658,0.19642,0.86993
CTX_ISTHMUSCINGULATE_change_PVALUE,0.46247,0.93218,0.57112,0.29502,0.43715,0.69213,0.09572,0.01665,0.7671,0.00297
AMYGDALA_change_PVALUE,0.8554,0.26187,0.61422,0.25388,0.40685,0.44257,0.45227,0.45381,0.55602,0.29155
CTX_PARAHIPPOCAMPAL_change_PVALUE,0.15767,0.30262,0.17635,0.60208,0.32614,0.23744,0.46811,0.06214,0.25743,0.00133
CTX_INFERIORTEMPORAL_change_PVALUE,0.13725,0.57085,0.33939,0.43571,0.27256,0.8744,0.00561,2e-05,0.30527,0.00146
CTX_LATERALOCCIPITAL_change_PVALUE,0.39981,0.73104,0.30376,0.47299,0.36763,0.96993,0.25116,0.0,0.02305,0.52601
CTX_POSTCENTRAL_change_PVALUE,0.70874,0.2856,0.17141,0.09854,0.25359,0.57513,0.83528,0.02227,0.04832,0.21497
CTX_CUNEUS_change_PVALUE,0.18579,0.72901,0.42829,0.75383,0.54729,0.31981,0.79636,0.28509,0.14259,0.97869
CTX_PARSTRIANGULARIS_change_PVALUE,0.0638,0.57281,0.05232,0.02469,0.12441,0.96582,0.01568,0.27948,0.34011,0.09697
CTX_INSULA_change_PVALUE,0.45494,0.83888,0.69454,0.44049,0.50804,0.70539,0.82618,0.01129,0.16752,0.00092
CTX_CAUDALMIDDLEFRONTAL_change_PVALUE,0.83732,0.24829,0.43428,0.25901,0.25976,0.35789,0.86557,0.00941,0.38683,0.01144
CTX_ENTORHINAL_change_PVALUE,0.10861,0.44737,0.67378,0.87274,0.59082,0.22104,0.92063,0.31322,0.84709,0.15332
CTX_SUPERIORTEMPORAL_change_PVALUE,0.05827,0.76713,0.17337,0.13955,0.06697,0.97926,0.67386,7e-05,0.23167,2e-05
CTX_INFERIORPARIETAL_change_PVALUE,0.28674,0.90072,0.26807,0.05541,0.28355,0.42006,0.6392,0.00512,0.68274,0.0023
PUTAMEN_change_PVALUE,0.08429,0.90283,0.04459,0.00193,0.05546,0.51025,0.16092,0.14054,0.85964,0.02265
VENTRALDC_change_PVALUE,0.11309,0.5569,0.37503,0.17193,0.3149,0.57032,0.84047,0.84029,0.09281,0.55469
CTX_ROSTRALMIDDLEFRONTAL_change_PVALUE,0.11331,0.9164,0.07842,0.01407,0.12783,0.5751,0.40733,0.00551,0.75469,0.00692
CTX_PERICALCARINE_change_PVALUE,0.08918,0.25034,0.11524,0.21888,0.05278,0.22375,0.24971,0.13605,0.07723,0.89525
CEREBELLUM_WHITE_MATTER_change_PVALUE,0.58661,0.36985,0.37452,0.33834,0.23158,0.99595,0.97215,0.72473,0.23752,0.2757
CTX_SUPRAMARGINAL_change_PVALUE,0.37181,0.8187,0.2792,0.12145,0.32916,0.44188,0.75501,0.00034,0.78643,2e-05
CTX_ROSTRALANTERIORCINGULATE_change_PVALUE,0.53734,0.73307,0.61031,0.38948,0.72299,0.91448,0.6295,0.02182,0.13718,0.00013
CTX_PARACENTRAL_change_PVALUE,0.83049,0.97222,0.57473,0.23827,0.80926,0.21927,0.09033,0.45067,0.68306,0.79472
CTX_TRANSVERSETEMPORAL_change_PVALUE,0.35364,0.62813,0.56381,0.78162,0.54166,0.58901,0.74458,0.01936,0.26719,0.00553
CTX_MIDDLETEMPORAL_change_PVALUE,0.18745,0.99744,0.27731,0.17785,0.1359,0.78584,0.08507,6e-05,0.68588,3e-05
CTX_TEMPORALPOLE_change_PVALUE,0.2752,0.86223,0.11137,0.13618,0.33969,0.83538,0.57238,0.05228,0.42626,0.0012
CTX_FUSIFORM_change_PVALUE,0.25982,0.427,0.34047,0.33305,0.16011,0.87193,0.67734,0.00373,0.45617,0.01666
CTX_SUPERIORPARIETAL_change_PVALUE,0.95925,0.46418,0.39506,0.27272,0.66732,0.58142,0.6753,0.00793,0.96806,0.012
CTX_LATERALORBITOFRONTAL_change_PVALUE,0.0472,0.36237,0.29258,0.13007,0.27037,0.61087,0.0089,0.08179,0.89926,0.23882
CTX_PARSOPERCULARIS_change_PVALUE,0.37169,0.89685,0.30169,0.14372,0.3731,0.89915,0.85095,0.14889,0.11977,0.02673
