pattern,count_prior,count_post,cortical_summary,below_threshold,cortical_summary_change,N,SMC,MCI,AD,neg-neg,neg-pos,pos-neg,pos-pos,AD-AD,AD-MCI,MCI-AD,MCI-MCI,MCI-N,N-AD,N-MCI,N-N,SMC-AD,SMC-SMC
0.0,305.0,188.0,1.36389303,0.26369168357,0.0265607762353,0.391480730223,0.111561866126,0.458417849899,0.0385395537525,0.176165803109,0.113989637306,0.0362694300518,0.673575129534,0.020725388601,,0.0259067357513,0.430051813472,0.0362694300518,,0.020725388601,0.383419689119,0.00518134715026,0.0777202072539
1.0,25.0,11.0,1.73311948928,0.0,0.0922091529469,0.25,0.166666666667,0.583333333333,0.0,0.0,0.0,0.0,1.0,,,,0.533333333333,0.133333333333,,,0.2,,0.133333333333
2.0,7.0,4.0,1.09964857793,0.909090909091,-0.011933042081,0.181818181818,0.0,0.727272727273,0.0909090909091,1.0,0.0,0.0,0.0,,,,0.75,,,,0.25,,
3.0,95.0,60.0,1.26256291931,0.606451612903,0.0291997844031,0.367741935484,0.129032258065,0.438709677419,0.0645161290323,0.470588235294,0.161764705882,0.0735294117647,0.294117647059,0.0294117647059,,,0.411764705882,0.0294117647059,0.0147058823529,0.0147058823529,0.411764705882,,0.0882352941176
4.0,44.0,23.0,1.50980100899,0.0298507462687,0.0199002152278,0.44776119403,0.223880597015,0.328358208955,0.0,0.030303030303,0.0,0.030303030303,0.939393939394,,,,0.30303030303,0.030303030303,,,0.454545454545,,0.212121212121
5.0,16.0,16.0,1.55904326885,0.125,0.0487618167994,0.3125,0.0,0.53125,0.15625,0.222222222222,0.0,0.0,0.777777777778,,,,0.777777777778,,,,0.222222222222,,
8.0,14.0,5.0,2.5677091152,0.0,0.0845267923376,0.105263157895,0.105263157895,0.526315789474,0.263157894737,0.0,0.0,0.0,1.0,,,0.4,0.4,,,,0.2,,
9.0,9.0,3.0,1.74852577862,0.0,0.074699462228,0.5,0.166666666667,0.25,0.0833333333333,0.0,0.0,0.0,1.0,,,,0.5,,,,,,0.5
10.0,21.0,11.0,1.90210913732,0.0,0.115108909326,0.09375,0.125,0.6875,0.09375,0.0,0.0,0.0,1.0,,,0.230769230769,0.538461538462,,,,0.0769230769231,,0.153846153846
11.0,17.0,7.0,1.69153799501,0.0,-0.0291158956398,0.166666666667,0.125,0.625,0.0833333333333,0.0,0.0,0.0,1.0,,,,0.857142857143,,,,0.142857142857,,
12.0,29.0,14.0,2.44707376789,0.0,0.075888752734,0.116279069767,0.0,0.627906976744,0.255813953488,0.0,0.0,0.0,1.0,0.117647058824,,0.235294117647,0.588235294118,,,,0.0588235294118,,
13.0,4.0,2.0,2.2249171722,0.0,,0.333333333333,0.166666666667,0.333333333333,0.166666666667,0.0,0.0,0.0,0.0,,,,,,,,,,
16.0,140.0,71.0,2.74622355502,0.0,0.0609950861276,0.1,0.0380952380952,0.419047619048,0.442857142857,0.0,0.0,0.0,1.0,0.228070175439,,0.210526315789,0.385964912281,,,0.0526315789474,0.0877192982456,,0.0350877192982
17.0,45.0,27.0,1.56054942213,0.0555555555556,0.0388132284745,0.295774647887,0.12676056338,0.507042253521,0.0704225352113,0.0,0.0666666666667,0.0,0.933333333333,0.0333333333333,,0.0333333333333,0.5,0.0666666666667,,0.0333333333333,0.2,,0.133333333333
18.0,6.0,1.0,1.72733465671,0.0,0.0290040765766,0.571428571429,0.0,0.428571428571,0.0,0.0,0.0,0.0,1.0,,,,0.5,,,,0.5,,
20.0,128.0,64.0,2.53592513174,0.0,0.111913584888,0.119791666667,0.015625,0.505208333333,0.359375,0.0,0.0,0.0,1.0,0.15873015873,,0.269841269841,0.380952380952,0.015873015873,0.015873015873,0.047619047619,0.111111111111,,
21.0,39.0,19.0,2.53440569688,0.0,0.0765489524917,0.206896551724,0.0689655172414,0.431034482759,0.293103448276,0.0,0.0,0.0,1.0,0.1,,0.1,0.4,,,0.05,0.25,,0.1
23.0,17.0,17.0,2.02483999956,0.0,0.0979945916995,0.264705882353,0.0,0.705882352941,0.0294117647059,0.0,0.0,0.0,1.0,,,0.0714285714286,0.5,0.214285714286,,0.0714285714286,0.142857142857,,
24.0,9.0,10.0,2.61702970459,0.0,0.0874486747224,0.315789473684,0.210526315789,0.473684210526,0.0,0.0,0.0,0.0,1.0,,,0.142857142857,0.285714285714,,,,0.285714285714,,0.285714285714
26.0,82.0,48.0,2.825124205,0.0,0.067915600927,0.130769230769,0.1,0.476923076923,0.292307692308,0.0,0.0,0.0,1.0,0.153846153846,0.025641025641,0.230769230769,0.282051282051,,,,0.153846153846,,0.153846153846
33.0,15.0,3.0,3.34940821561,0.0,0.226697215061,0.277777777778,0.0555555555556,0.388888888889,0.277777777778,0.0,0.0,0.0,1.0,,,0.2,0.4,,,,0.4,,
