pattern,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,13.0,16.0,19.0,20.0,21.0,23.0,24.0,29.0,30.0,31.0,33.0,35.0,36.0,39.0,51.0,54.0,AD,AD-AD,AD-MCI,AD-N,AD-SMC,APOE4_BIN,CSF_TAU_slope,FSX_HC/ICV_slope,Gender,Handedness,MCI,MCI-AD,MCI-MCI,MCI-N,MCI-SMC,N,N-AD,N-MCI,N-N,N-SMC,SMC,SMC-AD,SMC-MCI,SMC-N,SMC-SMC,UW_EF_slope,UW_MEM_slope,WMH_percentOfICV_slope,below_threshold,cortical_summary,cortical_summary_change,count_post,count_prior,neg-neg,neg-pos,pos-neg,pos-pos
1.0,0.5,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714286,0.0,0.0,0.0,0.0,0.363636363636,2.21127666667,-3.83333333333e-05,1.18181818182,1.0,0.428571428571,0.0,0.5,0.0,0.0,0.428571428571,0.166666666667,0.0,0.333333333333,0.0,0.0714285714286,0.0,0.0,0.0,0.0,-0.000121818181818,-0.0554581818182,0.000914285714286,0.130727157817,1.1588064464,0.0433695848678,3.0,11.0,0.0,0.0,0.0,1.0
2.0,0.0,0.619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285714285714,0.0,0.047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619,0.0,0.0,0.0,0.0,0.188679245283,0.0,0.0,0.0,0.0,0.722222222222,2.12234416667,-5.22580645161e-05,1.5,1.11111111111,0.509433962264,0.142857142857,0.47619047619,0.0,0.0,0.245283018868,0.047619047619,0.0,0.285714285714,0.0,0.0566037735849,0.0,0.0,0.0,0.047619047619,-0.038016969697,-0.109349090909,0.0002240625,0.0471501143435,1.14098257886,0.039125245183,17.0,36.0,0.0,0.047619047619,0.0,0.952380952381
3.0,0.0,0.0,0.285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416666666667,1.025125,-3.3e-05,1.66666666667,1.08333333333,0.578947368421,0.0,0.428571428571,0.285714285714,0.0,0.315789473684,0.0,0.0,0.285714285714,0.0,0.105263157895,0.0,0.0,0.0,0.0,0.155218333333,0.0689841666667,0.000521818181818,0.924119084433,0.819188326748,0.0342766173053,7.0,12.0,0.571428571429,0.428571428571,0.0,0.0
4.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272727272727,0.0,0.0,0.0,0.0,0.625,3.448565,-0.00019875,1.55555555556,1.11111111111,0.454545454545,0.0,1.0,0.0,0.0,0.0909090909091,0.0,0.0,0.0,0.0,0.181818181818,0.0,0.0,0.0,0.0,-0.395252222222,-0.00172333333333,0.000633333333333,0.00341478412916,1.5054516938,0.044627348528,2.0,9.0,0.0,0.0,0.0,1.0
5.0,0.0,0.0,0.0,0.0,0.583333333333,0.0,0.0833333333333,0.0,0.0,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333,0.0,0.0833333333333,0.0,0.0,0.0,0.0,0.0,0.0714285714286,0.0,0.0,0.0,0.0,0.16,2.800682,-0.000104666666667,1.56,1.2,0.547619047619,0.0,0.416666666667,0.0,0.0,0.285714285714,0.0,0.0833333333333,0.416666666667,0.0,0.0952380952381,0.0,0.0,0.0,0.0833333333333,-0.0320335,-0.132244761905,-0.000284,0.666508595969,0.862492478084,-0.00637744373273,17.0,25.0,0.416666666667,0.166666666667,0.25,0.166666666667
6.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,-0.295593333333,-3.25e-05,1.22222222222,1.22222222222,0.5,0.0,0.333333333333,0.166666666667,0.0,0.375,0.0,0.166666666667,0.333333333333,0.0,0.125,0.0,0.0,0.0,0.0,-0.0426422222222,0.0720288888889,0.000622857142857,0.914550460857,0.787195137274,0.0381585678786,7.0,9.0,0.5,0.5,0.0,0.0
7.0,0.0,0.0,0.0141843971631,0.0,0.0141843971631,0.0141843971631,0.758865248227,0.00709219858156,0.0,0.0567375886525,0.0,0.0,0.0425531914894,0.0,0.0,0.0,0.0354609929078,0.0,0.0141843971631,0.0,0.0,0.0,0.0,0.00709219858156,0.0,0.0,0.0444444444444,0.0141843971631,0.0,0.0,0.0,0.213675213675,8.06729063492,-5.34020618557e-05,1.41596638655,1.13025210084,0.447222222222,0.0354609929078,0.382978723404,0.0921985815603,0.0,0.419444444444,0.00709219858156,0.0212765957447,0.41134751773,0.0,0.0888888888889,0.00709219858156,0.0,0.0,0.0212765957447,-0.0214137991266,0.0226862008734,5.9378238342e-05,0.999046524479,0.653062343421,0.0113932967298,123.0,238.0,0.992907801418,0.00709219858156,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.037037037037,0.0,0.0,0.0,0.0,0.25,-0.722297,-8.26923076923e-05,1.44117647059,1.08823529412,0.555555555556,0.15,0.45,0.05,0.0,0.333333333333,0.0,0.05,0.3,0.0,0.0740740740741,0.0,0.0,0.0,0.0,-0.128115862069,0.00230517241379,0.000236923076923,0.924811022574,0.794000039675,0.00741220608296,21.0,34.0,0.9,0.1,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,7.242985,-2.125e-05,1.77777777778,1.0,0.461538461538,0.0,0.375,0.125,0.0,0.307692307692,0.0,0.0,0.125,0.0,0.230769230769,0.0,0.0,0.0,0.375,0.0696277777778,-0.000881111111111,0.00017625,0.929837852586,0.810557282742,0.0258058964794,4.0,9.0,0.75,0.25,0.0,0.0
12.0,0.0,0.0,0.06,0.0,0.12,0.0,0.1,0.0,0.02,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.00699300699301,0.0,0.0,0.0,0.0,0.204301075269,0.9027425,-7.08219178082e-05,1.67741935484,1.09677419355,0.468531468531,0.0,0.5,0.02,0.0,0.377622377622,0.0,0.0,0.44,0.0,0.146853146853,0.0,0.0,0.0,0.04,0.0676663736264,-1.65934065934e-05,0.000343376623377,0.967484556423,0.738648864312,0.0128504259142,50.0,93.0,0.98,0.02,0.0,0.0
