Name,INC_LOW_N_rank_effect_pvalue,INC_LOW_N_rank_effect_rank_biserial,INC_LOW_N_ranks_post_mean,INC_LOW_N_ranks_post_std,INC_LOW_N_ranks_prior_mean,INC_LOW_N_ranks_prior_std,INC_LOW_N_uptake_effect_pvalue,INC_LOW_N_uptake_effect_rank_biserial,INC_LOW_N_uptakes_post_mean,INC_LOW_N_uptakes_post_std,INC_LOW_N_uptakes_prior_mean,INC_LOW_N_uptakes_prior_std,INC_VS_STABLE_uptake_effect_pvalue,INC_VS_STABLE_uptake_effect_rank_biserial,LOW_N_rank_effect_pvalue,LOW_N_rank_effect_rank_biserial,LOW_N_ranks_post_mean,LOW_N_ranks_post_std,LOW_N_ranks_prior_mean,LOW_N_ranks_prior_std,LOW_N_uptake_effect_pvalue,LOW_N_uptake_effect_rank_biserial,LOW_N_uptakes_post_mean,LOW_N_uptakes_post_std,LOW_N_uptakes_prior_mean,LOW_N_uptakes_prior_std,STABLE_LOW_N_rank_effect_pvalue,STABLE_LOW_N_rank_effect_rank_biserial,STABLE_LOW_N_ranks_post_mean,STABLE_LOW_N_ranks_post_std,STABLE_LOW_N_ranks_prior_mean,STABLE_LOW_N_ranks_prior_std,STABLE_LOW_N_uptake_effect_pvalue,STABLE_LOW_N_uptake_effect_rank_biserial,STABLE_LOW_N_uptakes_post_mean,STABLE_LOW_N_uptakes_post_std,STABLE_LOW_N_uptakes_prior_mean,STABLE_LOW_N_uptakes_prior_std,regions
ctx-lh-supramarginal,0.056507635728462145,0.15530612244897957,22.828571428571429,10.366114340996448,25.071428571428573,9.5936309654916805,9.8152431721515015e-05,0.36489795918367351,1.0841122617560093,0.17836613993135136,0.98589122333380275,0.14518236404814119,0.28204391951345231,0.058525345622119862,0.49034904202989499,0.0017791551882461176,25.984848484848484,10.812440119634399,25.977272727272727,9.7440470631069971,0.092962015774420925,0.094237832874196514,1.0049435117600118,0.17533463512741648,0.97403507576823756,0.13987951949221877,0.073836233764976764,0.15088449531737769,29.548387096774192,10.180115690062628,27.0,9.8111194323649453,0.014578245840912838,0.22736732570239337,0.9155594391838856,0.12027342466236902,0.96064910271034143,0.13236956067927541,['ctx-lh-supramarginal']
ctx-rh-superiorfrontal,0.34598656047619708,0.038979591836734717,28.357142857142858,9.4627626806879395,27.785714285714285,9.1883355513434335,0.0026679679590060736,0.27306122448979597,1.0393923802736751,0.16771749292451071,0.96055843116083695,0.12013645042753074,0.18758567447570351,0.089861751152073732,0.18706453357099745,0.063303489439853089,27.492424242424242,9.4688454162578903,26.484848484848484,9.2707464709460314,0.1935481593146266,0.061639118457300301,0.99511544843272626,0.15497917147352308,0.9695520342112296,0.1199611723277743,0.17875443385532785,0.095993756503642058,26.516129032258064,9.3803878031875296,25.016129032258064,9.1431129298432499,0.037003528293949421,0.18626430801248695,0.94512536409617098,0.12109959485228959,0.97970610217135023,0.11894848499924035,['ctx-rh-superiorfrontal']
ctx-rh-superiorparietal,0.17192507633392812,0.09285714285714286,22.042857142857144,12.720552227776587,24.12857142857143,14.276775775034512,0.0045141144886299356,0.25591836734693874,1.097380762831687,0.20946391826492358,1.0036492721400911,0.19285957541931528,0.1963000441755397,0.086635944700460876,0.32202854958121574,0.032943067033976092,23.553030303030305,12.543448364698984,24.295454545454547,13.380638792313247,0.10532123446195713,0.089187327823691431,1.0243263909090408,0.20106034108360027,0.99061012917358804,0.17946543675014168,0.37543167298650959,0.033298647242455792,25.258064516129032,12.116285340295125,24.483870967741936,12.287866997090644,0.13416347478959106,0.11550468262226843,0.94184564841573049,0.15395321342838711,0.97588851614689087,0.16176744626475542,['ctx-rh-superiorparietal']
ctx-lh-inferiorparietal,0.23471771404923181,0.07102040816326527,23.12857142857143,12.65240962772527,24.585714285714285,12.680122641523687,0.003229634811265863,0.26693877551020406,1.0885191483507468,0.21034834537593963,0.99670572675556823,0.1878333644225044,0.13052268037346931,0.11382488479262676,0.4701097538705114,0.0053948576675849624,26.151515151515152,12.582747236090622,26.287878787878789,12.479395322757881,0.15975244868899768,0.070936639118457268,1.0046569953648896,0.2028016742262761,0.97295840004361855,0.17289152199390215,0.28174698573612356,0.060353798126951075,29.56451612903226,11.592017508922215,28.20967741935484,11.961142863690709,0.048293011623139516,0.1732570239334027,0.90997391941311567,0.14388568253850195,0.94614690214303021,0.14983509568080594,['ctx-lh-inferiorparietal']
ctx-rh-lateralorbitofrontal,0.13992023624605232,0.10591836734693882,12.442857142857143,9.5687522910859837,10.514285714285714,8.3729886405936451,0.039847054628219268,0.1718367346938775,1.2040117194286002,0.20028131894937592,1.1435803141753955,0.1492769073651464,0.407175883242482,0.023963133640553025,0.22763442992843552,0.053145087235996313,10.810606060606061,8.6033226278427524,10.151515151515152,8.4436499795433928,0.18525319675589336,0.063820018365472908,1.1589555802538805,0.17781048400819996,1.1391098727764066,0.14049265272490438,0.48302171763433582,0.0046826222684703822,8.9677419354838701,6.9141457194780687,9.741935483870968,8.5041460170735927,0.29211549326429004,0.05723204994797082,1.1080857457017772,0.13093711575321851,1.1340626002291612,0.12967766739802994,['ctx-rh-lateralorbitofrontal']
ctx-rh-isthmuscingulate,0.42640263228608083,0.018367346938775508,23.87142857142857,12.350733267498654,23.442857142857143,13.106852857827262,0.0090126831298195775,0.23183673469387756,1.0699245251303162,0.1727179627490861,0.99984235897828255,0.16975641403828443,0.48999661058643468,0.0027649769585254003,0.45506096033877913,0.0080922865013773881,22.992424242424242,12.983962258926606,22.795454545454547,13.073068914910319,0.12535512607013649,0.081841138659320523,1.0189706208783194,0.18213875743139429,0.9980578885125243,0.16271050614477087,0.45026408557059916,0.013267429760665972,22.0,13.595540065676662,22.06451612903226,12.996117246144955,0.18219607125763954,0.094693028095733656,0.96144201930348427,0.17523718615729675,0.99604316379311963,0.15434461790847531,['ctx-rh-isthmuscingulate']
right_central_gyri,0.43866726222086572,0.015306122448979553,19.728571428571428,9.6819735717929927,19.057142857142857,8.0956526504497894,0.00057982787160439997,0.31836734693877555,1.094703196789157,0.12762555782989976,1.0258715339467688,0.11216241892042016,0.083907705908719155,0.13963133640552994,0.46303806062303754,0.0066574839302111499,17.333333333333332,9.0801704251349236,16.931818181818183,8.2931088422842034,0.11162214572736756,0.086776859504132275,1.0631142924712369,0.13387208656437988,1.0425262116145217,0.12314785252780763,0.42949974733455554,0.018730489073881418,14.629032258064516,7.4773504686631798,14.53225806451613,7.8467534727704402,0.063417185790257125,0.15920915712799166,1.0274494004993915,0.1317852677743897,1.0613298799490811,0.13197415833040754,"['ctx-rh-paracentral', 'ctx-rh-precentral', 'ctx-rh-postcentral']"
right_thalamus,0.011398604839704387,0.22306122448979593,21.157142857142858,13.456422486026849,15.814285714285715,12.116450278317439,0.37177557755922397,0.032244897959183727,1.0857824845626993,0.12548716028029017,1.0788032249554058,0.10800627566579603,0.057067560320185916,0.15990783410138254,0.20207442276157256,0.059400826446280974,16.083333333333332,13.313835175136694,14.090909090909092,11.68231929122118,0.48488988369952918,0.0027548209366391463,1.0927296255860661,0.11944849506526888,1.0931252157936806,0.10997645199501831,0.13260746343149538,0.11602497398543188,10.35483870967742,10.538863215604007,12.14516129032258,10.847694528649331,0.30249756911701486,0.054110301768990676,1.1005731719027705,0.11172286027253474,1.109295205449798,0.10993927486139318,['Right-Thalamus-Proper']
ctx-lh-rostralmiddlefrontal,0.066375480242760049,0.14734693877551019,17.485714285714284,11.880046725669123,20.885714285714286,12.866948641653108,0.0017772119702296385,0.2857142857142857,1.1524250927881163,0.24039824419243308,1.0357350853023484,0.19662717728682491,0.22524392000438476,0.07649769585253452,0.35895503996698436,0.025769054178145123,21.068181818181817,12.259933005537816,21.666666666666668,12.304634915512139,0.15548017235532741,0.072199265381083566,1.0575166465087764,0.22821161880800808,1.0186156534080282,0.1816357279625723,0.10750382337764941,0.12929240374609785,25.112903225806452,11.393411846622756,22.548387096774192,11.573993956634874,0.030636139330590992,0.19510926118626426,0.95036194909661864,0.15485761579709631,0.99928726255960165,0.16088706077227513,['ctx-lh-rostralmiddlefrontal']
ctx-lh-frontalpole,0.27229595903916304,0.059387755102040862,14.1,15.811523826446509,14.685714285714285,15.946824903089516,0.013960527555399812,0.21551020408163268,1.2143819977324324,0.28705278861019196,1.1123108876732624,0.26849299605023391,0.098861353703740662,0.13041474654377883,0.25137092676705397,0.047692837465564741,16.098484848484848,16.690979167894966,17.196969696969695,16.67943725612168,0.081953016320607253,0.099173553719008267,1.140076471494621,0.30818588920004258,1.0869839885649912,0.28279576357516822,0.32066721664413755,0.04864724245577523,18.35483870967742,17.356877203699632,20.032258064516128,17.030302918086626,0.46316951854125443,0.0098855359001041032,1.0561831354196729,0.30969190888111403,1.0583891024750074,0.29552313801603319,['ctx-lh-frontalpole']
