Name,regions,INC_LOW_N_rank_effect_pvalue,INC_LOW_N_rank_effect_rank_biserial,INC_LOW_N_ranks_post_mean,INC_LOW_N_ranks_post_std,INC_LOW_N_ranks_prior_mean,INC_LOW_N_ranks_prior_std,INC_LOW_N_uptake_effect_pvalue,INC_LOW_N_uptake_effect_rank_biserial,INC_LOW_N_uptakes_post_mean,INC_LOW_N_uptakes_post_std,INC_LOW_N_uptakes_prior_mean,INC_LOW_N_uptakes_prior_std,LOW_N_rank_effect_pvalue,LOW_N_rank_effect_rank_biserial,LOW_N_ranks_post_mean,LOW_N_ranks_post_std,LOW_N_ranks_prior_mean,LOW_N_ranks_prior_std,LOW_N_uptake_effect_pvalue,LOW_N_uptake_effect_rank_biserial,LOW_N_uptakes_post_mean,LOW_N_uptakes_post_std,LOW_N_uptakes_prior_mean,LOW_N_uptakes_prior_std,STABLE_LOW_N_rank_effect_pvalue,STABLE_LOW_N_rank_effect_rank_biserial,STABLE_LOW_N_ranks_post_mean,STABLE_LOW_N_ranks_post_std,STABLE_LOW_N_ranks_prior_mean,STABLE_LOW_N_ranks_prior_std,STABLE_LOW_N_uptake_effect_pvalue,STABLE_LOW_N_uptake_effect_rank_biserial,STABLE_LOW_N_uptakes_post_mean,STABLE_LOW_N_uptakes_post_std,STABLE_LOW_N_uptakes_prior_mean,STABLE_LOW_N_uptakes_prior_std
Cluster9,"['ctx-rh-parstriangularis', 'ctx-lh-parstriangularis', 'ctx-rh-parsopercularis', 'ctx-lh-parsopercularis']",0.142875732,0.103749256,9.408450704,4.467653588,10.1971831,4.336610341,9.15E-05,0.364015076,0.956786996,0.129890534,0.88687598,0.113110448,0.415240326,0.01532634,9.730769231,4.638946269,9.795454545,4.288353919,0.043962247,0.122027972,0.91025594,0.13864788,0.88569736,0.113617396,0.185501078,0.094748541,10.11864407,4.808483836,9.327868852,4.183187707,0.056448059,0.168102251,0.85426094,0.127719538,0.884325523,0.114189297
Cluster46,"['ctx-lh-rostralmiddlefrontal', 'ctx-rh-rostralmiddlefrontal']",0.009248808,0.228922833,9.450704225,5.992457072,12.47887324,7.199098447,0.000386968,0.327117635,0.969834239,0.172532926,0.873868741,0.158990033,0.08886169,0.096270396,10.59230769,5.988060112,11.9469697,6.969972821,0.058649105,0.112004662,0.909182803,0.171682842,0.874206452,0.157202794,0.197138035,0.090302862,11.96610169,5.686636436,11.32786885,6.639971636,0.066636507,0.159210892,0.836195482,0.139172327,0.874599525,0.155095705
Cluster1,"['ctx-rh-precentral', 'ctx-lh-precentral', 'ctx-lh-postcentral', 'ctx-rh-postcentral']",0.345769677,0.038682801,10.6056338,5.319321341,10.63380282,4.374186239,0.000624799,0.314024995,0.934743342,0.122653766,0.882525997,0.124067947,0.477196862,0.004137529,9.892307692,5.189110127,9.704545455,4.862875188,0.09045998,0.095687646,0.906075975,0.135542183,0.89155335,0.136557781,0.283135841,0.060850236,9.033898305,4.891937683,8.62295082,5.169785912,0.134013708,0.117532648,0.871577957,0.142116739,0.902060596,0.14910258
Cluster24,"['ctx-lh-posteriorcingulate', 'ctx-rh-posteriorcingulate']",0.025504106,0.189644912,18.43661972,6.727560289,20.5915493,6.352503033,0.001200493,0.295377901,0.828525343,0.142137137,0.756775405,0.138063076,0.170353585,0.068065268,19.33076923,6.98612742,20.15151515,6.713266884,0.073014441,0.103962704,0.784375757,0.142114908,0.758296606,0.137495264,0.270988802,0.064740206,20.40677966,7.138149226,19.63934426,7.075779021,0.078963207,0.149763823,0.731246593,0.122558984,0.760067184,0.136810101
Cluster11,"['ctx-lh-inferiortemporal', 'ctx-rh-inferiortemporal', 'ctx-rh-middletemporal', 'ctx-lh-middletemporal']",0.296177418,0.052172188,15.61971831,5.526800764,16.15492958,6.092359305,0.001468059,0.289426701,0.864778886,0.096818867,0.818300382,0.103834076,0.274429302,0.042832168,15.98461538,5.659552327,16.43939394,5.81828046,0.042319093,0.123310023,0.826668371,0.111317589,0.808152457,0.103078293,0.38612822,0.030841901,16.42372881,5.78485278,16.7704918,5.463420662,0.236020121,0.076410114,0.780806565,0.110326643,0.796340938,0.100914533
Cluster18,"['ctx-lh-inferiorparietal', 'ctx-lh-supramarginal', 'ctx-rh-supramarginal', 'ctx-rh-inferiorparietal']",0.069447922,0.143820671,14.25352113,5.720529646,15.88732394,6.233822547,0.001548071,0.287839714,0.890041823,0.123929691,0.825604302,0.12877465,0.315017121,0.034440559,15.47692308,5.76623512,15.9469697,6.153730568,0.099265539,0.091958042,0.840592932,0.136877865,0.819937479,0.133623929,0.188384158,0.093637121,16.94915254,5.469247551,16.01639344,6.058436208,0.062660668,0.162545151,0.781086638,0.127733536,0.813341668,0.138764237
Cluster4,"['ctx-lh-caudalmiddlefrontal', 'ctx-rh-superiorfrontal', 'ctx-rh-caudalmiddlefrontal', 'ctx-lh-superiorfrontal']",0.224697714,0.073596509,14.32394366,5.628835839,15.08450704,5.312081576,0.002662665,0.271176354,0.892653261,0.136898516,0.831053213,0.115246746,0.424843713,0.013578089,14.57692308,5.310172219,14.60606061,5.089736517,0.146269409,0.075291375,0.851315978,0.131289999,0.832137304,0.111316269,0.098689862,0.136426785,14.88135593,4.881944409,14.04918033,4.757827819,0.062016385,0.163100861,0.801571111,0.104384518,0.833399114,0.106545141
Cluster5,"['ctx-rh-isthmuscingulate', 'ctx-lh-isthmuscingulate', 'ctx-lh-precuneus', 'ctx-rh-precuneus']",0.080510914,0.136282484,16.30985915,6.886589436,17.81690141,6.448735784,0.003017572,0.267208887,0.867777857,0.159033873,0.801470953,0.134785384,0.0908595,0.095337995,17.33846154,6.272717294,18.37121212,5.709382633,0.094787426,0.093822844,0.814189066,0.147791825,0.787969757,0.121746489,0.370096199,0.03528758,18.57627119,5.178846772,19.01639344,4.62172987,0.078963207,0.149763823,0.749700859,0.100383953,0.772255249,0.102322345
Cluster19,"['ctx-lh-superiortemporal', 'ctx-rh-superiortemporal']",0.456848573,0.01071216,18.23943662,4.345840779,17.84507042,5.455706116,0.003210543,0.265225154,0.83347129,0.096237284,0.795015901,0.09935322,0.093530942,0.094172494,18.46923077,4.624663749,17.4469697,5.32477684,0.30689235,0.036130536,0.795163671,0.103074561,0.792701569,0.099658361,0.046876579,0.177271464,18.74576271,4.925179926,16.98360656,5.129445064,0.011833956,0.23978883,0.749064671,0.091505324,0.790007838,0.099944886
Cluster2,"['ctx-rh-transversetemporal', 'ctx-lh-transversetemporal', 'ctx-lh-insula', 'ctx-rh-insula']",0.332836942,0.041856774,26.87323944,3.599411444,27.14084507,3.416182593,0.004000531,0.258083714,0.690590154,0.092553393,0.649994421,0.090046174,0.454169112,0.008216783,26.63846154,3.788654817,26.74242424,3.799165004,0.201204686,0.05990676,0.664922273,0.098952746,0.652382349,0.085316746,0.374231582,0.033898305,26.3559322,3.986259076,26.27868852,4.153336196,0.052395819,0.17199222,0.634033807,0.097567822,0.655161741,0.079367859
Cluster44,"['ctx-rh-superiorparietal', 'ctx-lh-superiorparietal']",0.080936207,0.13608411,11.61971831,7.031851473,13.6056338,8.395973001,0.005980316,0.244594327,0.940406654,0.180776296,0.867426245,0.187603586,0.125309322,0.082109557,12.93846154,7.458349834,14.09090909,8.123529746,0.095892746,0.093356643,0.879803579,0.181091161,0.850924805,0.178076475,0.478000055,0.006112809,14.52542373,7.64543939,14.6557377,7.756298859,0.186091281,0.094748541,0.806874455,0.152291613,0.831718211,0.164226672
Cluster23,"['ctx-rh-cuneus', 'ctx-lh-cuneus']",0.103887011,0.122594723,12.02816901,8.82533458,13.61971831,8.096888982,0.011403225,0.221583019,0.927804126,0.19214392,0.859127677,0.17590117,0.052836834,0.115617716,12.1,8.851640439,13.65909091,8.430490788,0.046127531,0.12039627,0.882133645,0.182549777,0.848845008,0.169254237,0.150332122,0.109752709,12.18644068,8.882423277,13.70491803,8.802652846,0.493717675,0.001944985,0.827174251,0.153192169,0.836876656,0.160344509
Cluster54,"['ctx-lh-rostralanteriorcingulate', 'ctx-rh-rostralanteriorcingulate']",0.129812917,0.109700456,14.08450704,7.428052043,15.28169014,6.309356117,0.012027137,0.219599286,0.890065577,0.157971693,0.828543458,0.125238507,0.180532787,0.065268065,13.70769231,6.848296985,14.3030303,6.452553399,0.154649341,0.072727273,0.854993368,0.140874497,0.834335433,0.118410912,0.456038693,0.011947763,13.25423729,6.046691827,13.16393443,6.430410149,0.112640631,0.128646846,0.812787827,0.102153985,0.841076913,0.109546333
Cluster8,"['ctx-lh-bankssts', 'ctx-rh-bankssts']",0.479632289,0.005157707,16.91549296,6.566553063,17.26760563,6.836022537,0.013364223,0.215631819,0.852879417,0.138263119,0.799471452,0.117855434,0.266678349,0.044522145,17.29230769,6.171206283,17.83333333,6.408052069,0.086795311,0.097319347,0.811487964,0.134406412,0.786506944,0.114883051,0.191309509,0.092525702,17.74576271,5.625586886,18.49180328,5.801703963,0.269549499,0.065295916,0.761677911,0.110710611,0.771417106,0.109405594
Cluster41,['Left-vessel'],0.021781886,0.187462805,31.69014085,7.5144772,27.97183099,12.01638767,0.011517903,0.209283872,0.245403141,0.506927792,0.498070769,0.957880491,0.074578601,0.098251748,31.06153846,8.473264602,29.15909091,10.76387726,0.042001416,0.116317016,0.248426843,0.446717304,0.384991155,0.762194938,0.451616116,0.012503473,30.30508475,9.444313574,30.54098361,8.893861892,0.477624194,0.005834954,0.252065534,0.361156671,0.253373898,0.396183733
Cluster20,"['ctx-rh-caudalanteriorcingulate', 'ctx-lh-caudalanteriorcingulate']",0.304800535,0.049791708,13.78873239,7.747631156,14.38028169,7.375952929,0.021083959,0.197778219,0.895762559,0.160174752,0.839811559,0.12974431,0.389142238,0.02016317,13.8,7.643398358,14.09090909,7.781538511,0.164146066,0.06993007,0.861847522,0.154394753,0.841902903,0.141746082,0.452940958,0.012781328,13.81355932,7.516027116,13.75409836,8.215650275,0.247487392,0.072520144,0.821034511,0.136381251,0.84433709,0.154510388
Cluster17,"['ctx-rh-parsorbitalis', 'ctx-lh-parsorbitalis']",0.265937785,0.059908748,2.676056338,3.183472495,2.845070423,4.3139077,0.021924102,0.196191232,1.117002056,0.167062824,1.064449712,0.166103902,0.355296254,0.026165501,3.107692308,3.901175669,3.083333333,4.02274154,0.183815339,0.064452214,1.065116033,0.175487423,1.054442123,0.178791394,0.478773382,0.005834954,3.627118644,4.565524104,3.360655738,3.635132698,0.197552033,0.090302862,1.002676921,0.16471271,1.042793947,0.191852344
Cluster29,"['ctx-rh-paracentral', 'ctx-lh-paracentral']",0.330177672,0.042848641,8.943661972,7.424526018,7.901408451,6.012088596,0.025572665,0.189843285,0.974936267,0.148621532,0.93565206,0.149991128,0.482077901,0.003263403,8.315384615,6.763060999,7.946969697,5.912639766,0.201204686,0.05990676,0.937391329,0.145748479,0.926102614,0.145008519,0.29920189,0.055848847,7.559322034,5.779188807,8,5.794287747,0.207922161,0.086412892,0.892210132,0.128402482,0.914987685,0.138155556
Cluster6,"['ctx-lh-frontalpole', 'ctx-rh-frontalpole']",0.1355175,0.10692323,8.169014085,8.804585738,10.02816901,10.27093785,0.029442042,0.183892085,1.00848536,0.222981166,0.926474643,0.23277124,0.220730835,0.05495338,9.915384615,9.933652683,10.92424242,10.58702838,0.209083521,0.057925408,0.937195139,0.231165234,0.908333806,0.232346095,0.46856505,0.008613504,12.01694915,10.77267656,11.96721311,10.85065113,0.203439013,0.088080022,0.851405212,0.210794184,0.887219061,0.230055813
Cluster25,"['ctx-rh-medialorbitofrontal', 'ctx-lh-medialorbitofrontal']",0.402437466,0.024201547,15.23943662,7.983195006,15.5915493,8.497849711,0.036309573,0.174766911,0.880146861,0.172767646,0.825679702,0.145836112,0.452903973,0.008508159,14.87692308,7.513081294,15.02272727,7.898471188,0.31495636,0.034498834,0.840995314,0.150506498,0.823133863,0.130516895,0.462307425,0.010280634,14.44067797,6.879769375,14.36065574,7.080411183,0.075917853,0.151986663,0.793880741,0.09963772,0.820170673,0.109958199
Cluster45,"['ctx-lh-lateralorbitofrontal', 'ctx-rh-lateralorbitofrontal']",0.084683796,0.133306884,6.338028169,4.788318126,5.295774648,4.183786162,0.044054699,0.166038484,1.019126373,0.144066158,0.975857502,0.128834145,0.129200483,0.080536131,6.169230769,4.627906092,5.659090909,4.463368658,0.244917996,0.049417249,0.972514625,0.139798742,0.959646074,0.120682024,0.450692852,0.013337038,5.966101695,4.418628139,6.081967213,4.733193155,0.158019882,0.10641845,0.916422522,0.111018304,0.940777034,0.107399599
Cluster0,"['ctx-lh-pericalcarine', 'ctx-rh-pericalcarine']",0.20595585,0.079349335,26.78873239,7.859533536,28.14084507,6.20380568,0.060033236,0.151358857,0.623662184,0.244621799,0.553860709,0.233629766,0.222762253,0.053729604,27.64615385,7.534394507,28.64393939,5.931595646,0.167802687,0.068881119,0.564506784,0.243700313,0.530232931,0.232256121,0.401537156,0.025840511,28.6779661,6.985313111,29.2295082,5.540886603,0.412750626,0.023617672,0.493319779,0.222642433,0.502731746,0.227578393
Cluster26,"['ctx-lh-entorhinal', 'ctx-rh-entorhinal']",0.380482617,0.029756001,16.8028169,8.237016618,16.45070423,8.102840282,0.061505876,0.150168617,0.844139548,0.134946149,0.813316968,0.151746409,0.373305067,0.023135198,17.30769231,8.335139844,17.62121212,8.458033928,0.155816167,0.072377622,0.810489571,0.143229017,0.794502791,0.146614792,0.2129783,0.084467908,17.91525424,8.41163064,18.98360656,8.656451784,0.40256235,0.026396221,0.769995532,0.142424988,0.772604322,0.13719432
Cluster53,"['ctx-rh-parahippocampal', 'ctx-lh-parahippocampal']",0.458299008,0.010315414,27.83098592,3.874750026,27.1971831,5.343469671,0.073182192,0.14144019,0.665793406,0.103704101,0.639181502,0.109745369,0.367771234,0.024009324,27.84615385,4.216198686,27.83333333,4.724479556,0.298920709,0.037762238,0.635457435,0.121364528,0.625347132,0.101975226,0.284936819,0.059738816,27.86440678,4.593501774,28.57377049,3.74804437,0.139766326,0.114754098,0.598951436,0.130661621,0.609244832,0.089454513
Cluster28,"['Right-Putamen', 'Left-Putamen']",0.31007902,0.047212855,30.76056338,1.747954851,30.21126761,3.148509564,0.0737507,0.141043444,0.572635089,0.090187744,0.552871693,0.091507593,0.287323698,0.039277389,30.47692308,2.035135167,30.01515152,3.212156947,0.452946547,0.008508159,0.558522753,0.089003513,0.557247931,0.092531275,0.403577367,0.025562656,30.13559322,2.288198367,29.78688525,3.269906271,0.052395819,0.17199222,0.541540111,0.084487789,0.562341585,0.093450963
