,1_RANK,1_UPTAKE,2_RANK,2_UPTAKE,4_RANK,4_UPTAKE,7_RANK,7_UPTAKE,8_RANK,8_UPTAKE,9_RANK,9_UPTAKE,10_RANK,10_UPTAKE,13_RANK,13_UPTAKE,14_RANK,14_UPTAKE,16_RANK,16_UPTAKE,18_RANK,18_UPTAKE,19_RANK,19_UPTAKE,22_RANK,22_UPTAKE,26_RANK,26_UPTAKE,72_RANK,72_UPTAKE
27,CTX_CUNEUS,0.8959147526948497,CTX_TEMPORALPOLE,1.3959847503447351,CEREBRAL_WHITE_MATTER,1.6473630422087164,CTX_LATERALOCCIPITAL,1.556449854083215,CTX_PRECENTRAL,1.6991161112600934,CTX_FRONTALPOLE,1.038707327677174,CTX_SUPERIORTEMPORAL,1.7917884219512064,CTX_MEDIALORBITOFRONTAL,1.1375804638715863,CTX_SUPERIORPARIETAL,1.120871081391509,CTX_SUPERIORTEMPORAL,0.968029201568129,CTX_CAUDALANTERIORCINGULATE,0.9622057458169585,CTX_PRECENTRAL,1.2696527464900889,CTX_MEDIALORBITOFRONTAL,1.0580796883581978,CTX_MIDDLETEMPORAL,1.5221689437128791,CTX_POSTERIORCINGULATE,0.8510120520927696
28,CTX_FUSIFORM,0.8923805705914947,CTX_POSTCENTRAL,1.3926697593356285,CTX_PERICALCARINE,1.5619383293526974,CTX_SUPERIORTEMPORAL,1.3956188956236915,CTX_TEMPORALPOLE,1.5792510764312981,CTX_SUPERIORTEMPORAL,1.0264832616484039,CTX_ROSTRALANTERIORCINGULATE,1.773048124297554,CTX_POSTERIORCINGULATE,1.1167774544039835,CTX_BANKSSTS,1.1060648129373998,CTX_BANKSSTS,0.9650120872793047,CTX_MEDIALORBITOFRONTAL,0.9600036748618137,CTX_TRANSVERSETEMPORAL,1.2618108799011318,CTX_MIDDLETEMPORAL,1.0502338504741655,CTX_PRECENTRAL,1.5056073496413072,CTX_ENTORHINAL,0.8494573867112155
29,CTX_SUPRAMARGINAL,0.8912342622355556,CTX_FUSIFORM,1.3660756172678443,CEREBELLUM_WHITE_MATTER,1.5412603617496525,CTX_FUSIFORM,1.3215321638869821,CEREBRAL_WHITE_MATTER,1.5427719586311468,CTX_PRECUNEUS,1.0228296938715107,CTX_CAUDALANTERIORCINGULATE,1.7575560019386538,CTX_ROSTRALANTERIORCINGULATE,1.1032670971589293,CTX_PARACENTRAL,1.089609876578368,CTX_ISTHMUSCINGULATE,0.9537854071726349,CTX_SUPERIORFRONTAL,0.9425697819425463,CTX_SUPERIORTEMPORAL,1.2261881421634824,CTX_CUNEUS,1.0440078454367356,CTX_TEMPORALPOLE,1.418343295530216,CTX_FUSIFORM,0.8214575773315531
30,CTX_FRONTALPOLE,0.8809406590268553,CTX_PRECENTRAL,1.2356966630347987,BRAIN_STEM,1.529270886238726,PALLIDUM,1.2460681668256348,CTX_CUNEUS,1.5097182920255134,CTX_CUNEUS,1.018878883181793,CTX_TEMPORALPOLE,1.4667648359724756,CTX_CAUDALANTERIORCINGULATE,1.086603683239429,CTX_SUPERIORTEMPORAL,1.0892567770482926,CTX_MEDIALORBITOFRONTAL,0.9503564939848559,CTX_BANKSSTS,0.936259938463359,CTX_FUSIFORM,1.2070319656392277,CTX_SUPERIORTEMPORAL,1.009984138219039,CTX_FUSIFORM,1.4122245586025013,CTX_CAUDALMIDDLEFRONTAL,0.8133712691523545
31,CTX_PRECUNEUS,0.8711355062966911,CTX_TRANSVERSETEMPORAL,1.2073975682038147,VENTRALDC,1.5253515674009375,CTX_TEMPORALPOLE,1.2153815827369514,CEREBELLUM_WHITE_MATTER,1.5053135777901474,CTX_INFERIORPARIETAL,1.0083600854232964,CEREBRAL_WHITE_MATTER,1.44658632948306,PALLIDUM,1.081360796274114,CTX_LATERALOCCIPITAL,1.0591793314120848,CTX_PRECUNEUS,0.9378887700751439,CTX_SUPERIORTEMPORAL,0.9290456894274244,CTX_CUNEUS,1.2027567711079241,CTX_TRANSVERSETEMPORAL,0.9936221210312891,CAUDATE,1.4028846582662085,CTX_BANKSSTS,0.8073277807520611
32,CTX_ENTORHINAL,0.8594278399824808,PALLIDUM,1.1907323485148327,CTX_TEMPORALPOLE,1.453611581826481,CTX_INSULA,1.138328975090475,CTX_LINGUAL,1.4963734423994983,CTX_MIDDLETEMPORAL,0.9932102306689866,CEREBELLUM_WHITE_MATTER,1.4291628038069188,CTX_TEMPORALPOLE,1.0768373087385938,CAUDATE,0.9994789155289964,CTX_ENTORHINAL,0.9279000371397832,CTX_ENTORHINAL,0.9211526578378028,PALLIDUM,1.1683363374957307,CTX_TEMPORALPOLE,0.9809981227814617,CTX_INSULA,1.3876874031857238,CEREBELLUM_CORTEX,0.8031512339074289
33,CTX_MIDDLETEMPORAL,0.8590338364948691,CTX_INSULA,1.1818561926627413,CTX_INSULA,1.4535130442081357,CTX_ENTORHINAL,1.091847988324666,BRAIN_STEM,1.495475740009529,CTX_INFERIORTEMPORAL,0.9586361517649161,BRAIN_STEM,1.4149264284517586,CTX_SUPERIORFRONTAL,1.070643329016311,CTX_TRANSVERSETEMPORAL,0.9871349028903267,CTX_FUSIFORM,0.9210864190438517,CTX_FUSIFORM,0.9112120122330885,THALAMUS_PROPER,1.1642656964386287,CTX_INFERIORTEMPORAL,0.9518197315085569,THALAMUS_PROPER,1.3479231921842068,CTX_PRECENTRAL,0.7953741241730856
34,CTX_SUPERIORPARIETAL,0.8554144274204523,CTX_PARAHIPPOCAMPAL,1.1646364387456185,CTX_CUNEUS,1.3470963884763598,THALAMUS_PROPER,1.085996151352091,VENTRALDC,1.475371444697779,CTX_LATERALOCCIPITAL,0.9530241036595206,VENTRALDC,1.3856410988737047,CTX_SUPERIORTEMPORAL,1.064718980230815,CTX_INSULA,0.982997869355658,CTX_POSTERIORCINGULATE,0.9058519139028997,CTX_PRECUNEUS,0.9097495730626527,CTX_TEMPORALPOLE,1.1589485857137756,CEREBELLUM_CORTEX,0.8440406993374758,PALLIDUM,1.2184877886590904,CTX_PERICALCARINE,0.7571162630647954
35,CTX_POSTERIORCINGULATE,0.8369428290832076,THALAMUS_PROPER,1.1429522184178742,CTX_LINGUAL,1.3038910709362255,CTX_PARAHIPPOCAMPAL,1.0821955235342242,CTX_INSULA,1.4238229448772488,CTX_BANKSSTS,0.9489716762087266,CTX_INSULA,1.3368475275653866,THALAMUS_PROPER,1.0484292072126105,CTX_FUSIFORM,0.9778326279561981,CEREBELLUM_CORTEX,0.8600534236529336,CTX_POSTERIORCINGULATE,0.876421944781197,CTX_LINGUAL,1.067279067935006,HIPPOCAMPUS,0.8304808784000891,CTX_PARAHIPPOCAMPAL,1.2095934493702143,CTX_POSTCENTRAL,0.7430206324582272
36,CTX_INFERIORPARIETAL,0.8256898055676883,CTX_ENTORHINAL,1.0997291261642994,CAUDATE,1.2907740382505648,CAUDATE,1.0511797172618684,CTX_PARAHIPPOCAMPAL,1.305077127628217,HIPPOCAMPUS,0.9350616505450174,CTX_PARAHIPPOCAMPAL,1.2575736147626997,CTX_PARAHIPPOCAMPAL,1.039431803845797,CTX_ENTORHINAL,0.9723653767466742,CTX_LINGUAL,0.8392105096966588,HIPPOCAMPUS,0.8579908372248537,CTX_PERICALCARINE,1.0259409448894732,CTX_FUSIFORM,0.8245001940280801,CTX_LATERALOCCIPITAL,1.2086548955285525,CTX_SUPERIORPARIETAL,0.7421470424096087
37,CEREBELLUM_CORTEX,0.8153693738825211,CAUDATE,1.0594719265912185,CTX_PARAHIPPOCAMPAL,1.286130104640186,CTX_TRANSVERSETEMPORAL,1.0376781156491277,CAUDATE,1.2517910405334218,CTX_PARAHIPPOCAMPAL,0.9295222126469675,CTX_ENTORHINAL,1.1943137399030643,CTX_ENTORHINAL,1.0164975851129057,CTX_CUNEUS,0.9233640185764441,HIPPOCAMPUS,0.8313031137414135,CEREBELLUM_CORTEX,0.8359407567631322,CAUDATE,1.0103200180216776,CAUDATE,0.8109530021053944,CTX_ENTORHINAL,1.1917473970906178,CTX_SUPRAMARGINAL,0.7393451705244789
38,CTX_INSULA,0.8067038695905553,CTX_CUNEUS,1.0370144480524608,THALAMUS_PROPER,1.2541463703029914,CTX_CUNEUS,0.9920442005062243,CTX_ENTORHINAL,1.2393312168218353,CTX_INSULA,0.9199796846379461,THALAMUS_PROPER,1.1107996164416853,CTX_TRANSVERSETEMPORAL,0.9690481078053258,HIPPOCAMPUS,0.8699030837342445,CTX_TRANSVERSETEMPORAL,0.8147446048666285,CTX_LINGUAL,0.8235272087236566,CTX_INSULA,0.9940877236404536,CTX_INSULA,0.8024682889045075,PUTAMEN,1.1507466937428101,CTX_ROSTRALMIDDLEFRONTAL,0.6962763092232402
39,AMYGDALA,0.7896857332359486,CTX_LINGUAL,0.9570478178128022,PUTAMEN,1.1908279574841987,CTX_LINGUAL,0.9379120074069835,THALAMUS_PROPER,1.2376160756657144,CTX_FUSIFORM,0.8821503076010666,PALLIDUM,1.0950216637861627,HIPPOCAMPUS,0.9202776190217922,CTX_PARAHIPPOCAMPAL,0.8481959904000417,CTX_PARAHIPPOCAMPAL,0.7440992123605662,CAUDATE,0.7983662635925453,CTX_ENTORHINAL,0.9487286822805118,CTX_LINGUAL,0.7918672841642361,AMYGDALA,1.0938199303292486,CTX_MIDDLETEMPORAL,0.6370075436238879
40,PUTAMEN,0.774435498159908,HIPPOCAMPUS,0.9417205563942207,PALLIDUM,1.1701429635676304,CTX_PERICALCARINE,0.916399324299602,AMYGDALA,1.1513631028785993,CEREBELLUM_CORTEX,0.8749660988773844,CAUDATE,1.0842922566586424,CEREBELLUM_CORTEX,0.8751250398257918,CEREBELLUM_CORTEX,0.838104359119531,CAUDATE,0.7346741878028377,CTX_INSULA,0.7556405602487152,CTX_PARAHIPPOCAMPAL,0.9478343886267224,CTX_ENTORHINAL,0.7804247699640456,HIPPOCAMPUS,1.065304313100492,CTX_INFERIORPARIETAL,0.6306940869960413
41,CTX_LINGUAL,0.7617572526386208,PUTAMEN,0.9334077264254496,CTX_ENTORHINAL,1.1046870298607296,PUTAMEN,0.8899406540313133,PALLIDUM,1.1392017687319387,CTX_LINGUAL,0.8360717196997056,AMYGDALA,1.0337837744787015,CTX_INSULA,0.8362289020194904,PUTAMEN,0.8118692372783555,CTX_INSULA,0.7057626847085893,CTX_PARAHIPPOCAMPAL,0.7270911448331667,HIPPOCAMPUS,0.8961635281327119,PUTAMEN,0.7049374902662927,CTX_CUNEUS,1.0626362597884127,CTX_INFERIORTEMPORAL,0.6143918017511144
42,CTX_LATERALOCCIPITAL,0.7599082081096648,AMYGDALA,0.9172397782384772,ACCUMBENS_AREA,1.0813429009622122,HIPPOCAMPUS,0.8818780708418509,PUTAMEN,1.1331541550982254,PUTAMEN,0.8096416135541278,HIPPOCAMPUS,0.980306905381295,CAUDATE,0.7780021482546721,CTX_LINGUAL,0.7899012125359266,CTX_PERICALCARINE,0.671731807346883,PUTAMEN,0.6953510253761905,PUTAMEN,0.8664291553784066,CTX_PARAHIPPOCAMPAL,0.637333464264631,CTX_LINGUAL,1.046521884539847,CTX_PARAHIPPOCAMPAL,0.6054288343236818
43,CTX_PARAHIPPOCAMPAL,0.701305373323917,CTX_PERICALCARINE,0.8421918363425129,AMYGDALA,1.021154918806698,AMYGDALA,0.8755951414392281,ACCUMBENS_AREA,1.0437119271498216,AMYGDALA,0.7697894545942547,PUTAMEN,0.974887319055059,AMYGDALA,0.7635044507137779,AMYGDALA,0.7542760282689994,AMYGDALA,0.6481203705106923,AMYGDALA,0.6952866944885336,CEREBELLUM_CORTEX,0.8500268561546798,CTX_PERICALCARINE,0.6264794755331679,ACCUMBENS_AREA,1.0319286223859958,CTX_FRONTALPOLE,0.4938103996729028
44,CTX_PERICALCARINE,0.5063080314586282,CEREBELLUM_CORTEX,0.8389967938231613,HIPPOCAMPUS,0.984684312912274,CEREBELLUM_CORTEX,0.8398026631153773,HIPPOCAMPUS,1.0393896087349148,CTX_PERICALCARINE,0.5061398568524872,CEREBELLUM_CORTEX,0.889616817246094,PUTAMEN,0.7135330388882191,CTX_PERICALCARINE,0.5155713382160149,PUTAMEN,0.6400215745585708,CTX_PERICALCARINE,0.6214491304246131,AMYGDALA,0.8021279486637791,AMYGDALA,0.5926714830468721,CTX_PERICALCARINE,1.0001231959561927,CTX_LATERALOCCIPITAL,0.3721565198175162
45,ACCUMBENS_AREA,0.27547125866903205,ACCUMBENS_AREA,0.6976539873904776,CEREBELLUM_CORTEX,0.8555921078654514,ACCUMBENS_AREA,0.371582224840678,CEREBELLUM_CORTEX,0.8677915917072693,ACCUMBENS_AREA,0.3388807536539225,ACCUMBENS_AREA,0.7150841061473341,ACCUMBENS_AREA,0.19768700070701567,ACCUMBENS_AREA,0.4814870777950774,ACCUMBENS_AREA,0.1849589746469765,ACCUMBENS_AREA,0.23095708219111427,ACCUMBENS_AREA,0.6150063910856481,ACCUMBENS_AREA,0.12856731576194477,CEREBELLUM_CORTEX,0.8507988375390001,ACCUMBENS_AREA,0.3076551233225756
