pattern,count_prior,count_post,cortical_summary,below_threshold,cortical_summary_change,N,SMC,MCI,AD,neg-neg,neg-pos,pos-neg,pos-pos,AD-AD,AD-MCI,MCI-AD,MCI-MCI,MCI-N,N-AD,N-MCI,N-N,SMC-AD,SMC-SMC,Age@AV45,Age@AV45_N,Gender,Gender_N,APOE2_BIN,APOE2_BIN_N,APOE4_BIN,APOE4_BIN_N,Edu.(Yrs),Edu.(Yrs)_N,SMOKING,SMOKING_N,DIABETES,DIABETES_N,UW_MEM_BL_3months,UW_MEM_BL_3months_N,UW_MEM_slope,UW_MEM_slope_N,UW_EF_BL_3months,UW_EF_BL_3months_N,UW_EF_slope,UW_EF_slope_N,WMH_percentOfICV_AV45_6MTHS,WMH_percentOfICV_AV45_6MTHS_N,WMH_percentOfICV_slope,WMH_percentOfICV_slope_N,CSF_TAU_closest_AV45,CSF_TAU_closest_AV45_N,CSF_TAU_slope,CSF_TAU_slope_N,CSF_ABETA_closest_AV45,CSF_ABETA_closest_AV45_N,CSF_ABETA_slope,CSF_ABETA_slope_N,FSX_HC/ICV_BL_3months,FSX_HC/ICV_BL_3months_N,FSX_HC/ICV_slope,FSX_HC/ICV_slope_N,FDG_PONS_AV45_6MTHS,FDG_PONS_AV45_6MTHS_N,FDG_postAV45_slope,FDG_postAV45_slope_N
1.0,79.0,43.0,0.937476893267,0.99999260391,0.0144410934373,0.401639344262,0.114754098361,0.459016393443,0.0245901639344,0.981132075472,0.0188679245283,0.0,0.0,0.0188679245283,,,0.415094339623,0.0377358490566,,0.0188679245283,0.452830188679,,0.0566037735849,72.4669423077,78.0,1.26582278481,79.0,0.164556962025,79.0,0.177215189873,79.0,17.0379746835,79.0,0.189873417722,79.0,0.101265822785,79.0,0.764551282051,78.0,-0.0436294805195,77.0,0.895897435897,78.0,0.023231038961,77.0,0.00241796875,64.0,0.000224576271186,59.0,58.046875,64.0,-2.3030444,25.0,226.989393939,66.0,-2.47617807692,26.0,0.00492652777778,72.0,-2.5e-05,70.0,1.31201936709,79.0,-0.00983431818182,44.0
2.0,27.0,9.0,1.83014980713,0.0229805262639,0.0602976742578,0.25,0.0833333333333,0.5,0.166666666667,0.0,0.0,0.0,1.0,,,0.307692307692,0.384615384615,0.0769230769231,,,0.230769230769,,,74.4718576923,26.0,1.66666666667,27.0,0.115384615385,26.0,0.538461538462,26.0,16.4074074074,27.0,0.296296296296,27.0,0.037037037037,27.0,0.305407407407,27.0,-0.1137056,25.0,0.0806666666667,27.0,-0.1706668,25.0,0.00536636363636,22.0,0.000522,20.0,132.423529412,17.0,8.91,7.0,130.977777778,18.0,1.15410571429,7.0,0.00467619047619,21.0,-0.000113888888889,18.0,1.27968653846,26.0,-0.0205163636364,11.0
4.0,51.0,28.0,2.30391180687,0.000868059551611,0.0672765905836,0.151898734177,0.0632911392405,0.481012658228,0.303797468354,0.0,0.0,0.0,1.0,,,0.3,0.4,,0.05,,0.2,,0.05,72.531964,50.0,1.49019607843,51.0,0.02,50.0,0.7,50.0,16.2745098039,51.0,0.176470588235,51.0,0.117647058824,51.0,-0.08548,50.0,-0.214941458333,48.0,-0.31274,50.0,-0.103467446809,47.0,0.00475340909091,44.0,0.00022,38.0,137.409302326,43.0,0.295198571429,14.0,133.469767442,43.0,-0.896087857143,14.0,0.00461760869565,46.0,-0.000241578947368,38.0,1.15342686275,51.0,-0.031005,16.0
7.0,8.0,5.0,2.03432412136,0.00120079355906,0.104642205839,0.384615384615,0.153846153846,0.461538461538,0.0,0.0,0.0,0.0,1.0,,,,0.25,,,,0.5,,0.25,77.3364714286,7.0,1.375,8.0,0.0,8.0,0.125,8.0,15.75,8.0,0.125,8.0,0.125,8.0,0.541125,8.0,-0.14303625,8.0,0.22275,8.0,-0.13309,8.0,0.0101133333333,6.0,0.00208714285714,7.0,68.5571428571,7.0,5.76196,2.0,156.9,8.0,-5.43833,2.0,0.004425,8.0,-4e-05,7.0,1.22270625,8.0,-0.03793,2.0
8.0,200.0,100.0,2.06325103872,0.0023053573729,0.0472328823878,0.08,0.02,0.5,0.4,0.0,0.0,0.0,1.0,0.158536585366,0.0121951219512,0.390243902439,0.30487804878,0.0121951219512,0.0243902439024,0.0243902439024,0.0731707317073,,,75.1888902062,194.0,1.52763819095,199.0,0.0454545454545,198.0,0.757575757576,198.0,15.5326633166,199.0,0.225,200.0,0.07,200.0,-0.195638190955,199.0,-0.181694148936,188.0,-0.279648241206,199.0,-0.202424731183,186.0,0.00554036144578,166.0,0.000217,150.0,124.81863354,161.0,2.0500845,40.0,129.195180723,166.0,-1.1608102439,41.0,0.0040975739645,169.0,-0.000121666666667,150.0,1.14052832487,197.0,-0.0360867567568,74.0
9.0,40.0,19.0,1.11851197601,0.963864372216,0.0182378055018,0.258620689655,0.0689655172414,0.620689655172,0.051724137931,0.826086956522,0.130434782609,0.0,0.0434782608696,,,0.130434782609,0.521739130435,0.0869565217391,,0.0434782608696,0.217391304348,,,71.3192842105,38.0,1.4,40.0,0.0789473684211,38.0,0.289473684211,38.0,16.675,40.0,0.325,40.0,0.15,40.0,1.08007894737,38.0,0.00193114285714,35.0,0.857526315789,38.0,-0.0849268571429,35.0,0.00397966666667,30.0,-5.33333333333e-05,30.0,52.2590909091,22.0,-0.301844166667,12.0,224.2,22.0,-3.34238333333,12.0,0.00503257142857,35.0,-7.75862068966e-05,29.0,1.24655435897,39.0,-0.0128133333333,18.0
10.0,62.0,24.0,2.04863839143,0.0178255990094,0.0354769899925,0.209302325581,0.0348837209302,0.43023255814,0.325581395349,0.0,0.0,0.0,1.0,0.0952380952381,,0.238095238095,0.285714285714,,0.047619047619,0.047619047619,0.285714285714,,,75.8529568966,58.0,1.54838709677,62.0,0.0491803278689,61.0,0.475409836066,61.0,15.8870967742,62.0,0.225806451613,62.0,0.129032258065,62.0,-0.041737704918,61.0,-0.182342586207,58.0,-0.429266666667,60.0,-0.254800877193,57.0,0.00906530612245,49.0,0.000600638297872,47.0,110.104081633,49.0,1.46702,11.0,130.225,52.0,-3.76236727273,11.0,0.00427545454545,44.0,-0.000135609756098,41.0,1.13478229508,61.0,-0.0319885714286,21.0
13.0,20.0,8.0,1.23076016662,0.629823149084,0.0629986264566,0.392857142857,0.0357142857143,0.5,0.0714285714286,0.333333333333,0.333333333333,0.0,0.333333333333,,,0.111111111111,0.555555555556,,,,0.333333333333,,,76.7279789474,19.0,1.55,20.0,0.15,20.0,0.15,20.0,15.5,20.0,0.4,20.0,0.05,20.0,0.351,19.0,0.01151125,16.0,0.202,19.0,-0.099616875,16.0,0.00525363636364,11.0,0.000154,10.0,76.1454545455,11.0,0.42432,4.0,162.027272727,11.0,-12.4193675,4.0,0.00454375,16.0,-7.33333333333e-05,12.0,1.26837894737,19.0,-0.00477555555556,9.0
14.0,17.0,14.0,1.33338823242,0.36739586456,0.0643192777261,0.322580645161,0.0645161290323,0.58064516129,0.0322580645161,0.0909090909091,0.272727272727,0.0,0.636363636364,,,,0.363636363636,0.272727272727,,0.0909090909091,0.272727272727,,,73.70653125,16.0,1.47058823529,17.0,0.117647058824,17.0,0.529411764706,17.0,17.0,17.0,0.411764705882,17.0,0.0588235294118,17.0,0.587176470588,17.0,-0.0609605882353,17.0,0.520235294118,17.0,0.126511176471,17.0,0.00675266666667,15.0,0.000396428571429,14.0,77.0933333333,15.0,5.24773666667,6.0,169.8875,16.0,-1.60256666667,6.0,0.00523066666667,15.0,-1.46666666667e-05,15.0,1.34029294118,17.0,-0.017985,8.0
16.0,126.0,65.0,1.09246025749,0.973268556249,0.0139730745168,0.376963350785,0.151832460733,0.460732984293,0.0104712041885,0.914285714286,0.0714285714286,0.0,0.0142857142857,,,0.0289855072464,0.463768115942,0.0289855072464,,,0.391304347826,,0.0869565217391,71.341895,120.0,1.69841269841,126.0,0.119047619048,126.0,0.214285714286,126.0,16.4682539683,126.0,0.142857142857,126.0,0.0634920634921,126.0,0.826451612903,124.0,-0.0123059349593,123.0,0.644838709677,124.0,0.0532698360656,122.0,0.00402927272727,110.0,0.000304903846154,104.0,57.3431372549,102.0,1.36420258065,31.0,214.905825243,103.0,-3.3970909375,32.0,0.00512679245283,106.0,-5.46078431373e-05,102.0,1.34139544,125.0,-0.00894316666667,60.0
