Region,LOW_N_rank_effect_pvalue,LOW_N_rank_effect_rank_biserial,LOW_N_ranks_post_mean,LOW_N_ranks_post_std,LOW_N_ranks_prior_mean,LOW_N_ranks_prior_std,LOW_N_uptake_effect_pvalue,LOW_N_uptake_effect_rank_biserial,LOW_N_uptakes_post_mean,LOW_N_uptakes_post_std,LOW_N_uptakes_prior_mean,LOW_N_uptakes_prior_std,regions
RIGHT_PALLIDUM,0.171975586,0.064910468,2.356060606,4.011597913,2.325757576,2.843110258,0.331976228,0.030991736,1.427687544,0.123869177,1.420084137,0.115999223,Right-Pallidum
LEFT_VENTRALDC,0.27113306,0.040059688,1.303030303,2.153008445,1,1.199747448,0.499035295,0.000229568,1.39659833,0.106140722,1.396591374,0.101605918,Left-VentralDC
RIGHT_VENTRALDC,0.268108634,0.043560606,4.878787879,3.59298623,4.378787879,2.603989663,0.389235323,0.020087236,1.362503095,0.103759289,1.360201877,0.096684951,Right-VentralDC
LEFT_PALLIDUM,0.241961531,0.049529385,5.674242424,5.97532326,5.53030303,5.139625316,0.44136563,0.010560147,1.356607814,0.123813965,1.35016499,0.113366886,Left-Pallidum
LEFT_INF_LAT_VENT,0.170254207,0.067780073,14.56060606,17.45915475,12.3030303,14.50597546,0.23384153,0.051767677,1.239778597,0.157072239,1.262766893,0.168570025,Left-Inf-Lat-Vent
LEFT_THALAMUS_PROPER,0.117032193,0.08459596,13.29545455,11.66822845,11.93939394,10.72857808,0.247389637,0.048668503,1.227820193,0.107051846,1.240062794,0.113477407,Left-Thalamus-Proper
RIGHT_PUTAMEN,0.161665972,0.070075758,10.31060606,6.269373097,10.17424242,4.60483312,0.402276756,0.017676768,1.238427393,0.094953671,1.232190442,0.087626399,Right-Putamen
LEFT_PUTAMEN,0.162674752,0.069846189,11.28030303,7.055316493,11.26515152,5.675385247,0.404773708,0.017217631,1.227802971,0.097843478,1.224528986,0.089686742,Left-Putamen
CTX_LH_PERICALCARINE,0.439324462,0.0109045,13.34848485,10.1623077,12.63636364,8.273060266,0.449648141,0.009067952,1.210541462,0.120387688,1.203853839,0.096408894,ctx-lh-pericalcarine
CTX_RH_BANKSSTS,0.492589714,0.00137741,12.75757576,7.120309421,12.59848485,6.697873756,0.249943801,0.048094582,1.205433051,0.092419304,1.19689925,0.085057345,ctx-rh-bankssts
RIGHT_INF_LAT_VENT,0.198666547,0.060261708,18.37878788,16.09702132,16.52272727,14.55577877,0.388617277,0.02020202,1.183423595,0.135703036,1.195059499,0.132817905,Right-Inf-Lat-Vent
CTX_LH_BANKSSTS,0.220810288,0.054694674,13.33333333,10.51093706,14.28787879,12.17208076,0.202065789,0.059458219,1.206746938,0.108456897,1.193183242,0.094987967,ctx-lh-bankssts
RIGHT_THALAMUS_PROPER,0.450233879,0.008953168,20.78030303,15.61191969,18.74242424,12.50552679,0.391091137,0.019742883,1.161330721,0.095164735,1.164661353,0.084272234,Right-Thalamus-Proper
CTX_RH_PERICALCARINE,0.398711898,0.018308081,17.78030303,11.67444398,17.01515152,10.29709053,0.302689723,0.03684573,1.165083475,0.102722393,1.162942763,0.082064688,ctx-rh-pericalcarine
CTX_LH_CAUDALANTERIORCINGULATE,0.379440961,0.021866391,20.59090909,15.3667067,20.53030303,15.99452529,0.419203521,0.014577594,1.141000406,0.120676132,1.134455499,0.113322978,ctx-lh-caudalanteriorcingulate
CTX_LH_ISTHMUSCINGULATE,0.449295355,0.009125344,22.11363636,10.48060816,22.04545455,10.20833263,0.295413651,0.038337925,1.131040482,0.101764984,1.123152641,0.084704366,ctx-lh-isthmuscingulate
CTX_RH_ISTHMUSCINGULATE,0.427661357,0.013028007,23,11.80972891,22.27272727,12.34791782,0.31518227,0.034320478,1.130168399,0.101499983,1.122752226,0.083926746,ctx-rh-isthmuscingulate
CTX_LH_POSTERIORCINGULATE,0.242680082,0.049701561,23.46212121,11.92362393,24.06060606,12.49288135,0.354498802,0.026629936,1.131025165,0.116460111,1.120326607,0.094350435,ctx-lh-posteriorcingulate
CTX_RH_POSTERIORCINGULATE,0.059306235,0.111111111,24.0530303,12.61211202,26.12878788,13.19343575,0.133861111,0.078971534,1.125643588,0.111848667,1.110017145,0.093926506,ctx-rh-posteriorcingulate
CTX_RH_CAUDALANTERIORCINGULATE,0.367114011,0.024219467,27.52272727,15.01537894,28.57575758,15.52569777,0.299321551,0.037534435,1.109771921,0.108665287,1.100317458,0.098212941,ctx-rh-caudalanteriorcingulate
CTX_RH_LATERALORBITOFRONTAL,0.497104554,0.000573921,27.12878788,12.9465131,27.45454545,13.49318775,0.361118944,0.025367309,1.099755591,0.098177633,1.092448654,0.083523928,ctx-rh-lateralorbitofrontal
CTX_RH_PARACENTRAL,0.450589106,0.008895776,30.43181818,14.94646669,30.43181818,13.99631617,0.430573775,0.012511478,1.094232352,0.107409317,1.08794339,0.085630822,ctx-rh-paracentral
RIGHT_HIPPOCAMPUS,0.050069594,0.11707989,35.84848485,19.54578341,31.73484848,17.33531159,0.244343151,0.049357208,1.072663061,0.098293432,1.085756184,0.093653824,Right-Hippocampus
CTX_LH_PARACENTRAL,0.492923517,0.001320018,32.15909091,17.00616178,31.81818182,15.82231747,0.429307387,0.012741047,1.093116873,0.1153853,1.084776179,0.09434378,ctx-lh-paracentral
CTX_LH_LATERALORBITOFRONTAL,0.332184887,0.030934343,30.23484848,11.6351478,30.92424242,12.22864323,0.319778969,0.033402204,1.092696761,0.099626677,1.083869305,0.083607732,ctx-lh-lateralorbitofrontal
LEFT_HIPPOCAMPUS,0.040236889,0.124483471,37.03030303,20.60558155,32.75,20.13754785,0.168525222,0.068411387,1.066884723,0.10108858,1.081852109,0.103527471,Left-Hippocampus
LEFT_CAUDATE,0.163639839,0.069788797,36.58333333,18.77782447,34.65909091,18.75230473,0.290976444,0.039256198,1.07061856,0.099671946,1.074117956,0.096651706,Left-Caudate
CTX_LH_ROSTRALANTERIORCINGULATE,0.444213908,0.010043618,35.18181818,16.05616005,35.45454545,15.49553388,0.485532579,0.002640037,1.076200159,0.104583782,1.068921291,0.088614424,ctx-lh-rostralanteriorcingulate
CTX_LH_PRECUNEUS,0.223771757,0.054120753,35.78787879,16.16394712,36.77272727,14.43826508,0.256130445,0.046717172,1.085561148,0.128753452,1.068618691,0.099013634,ctx-lh-precuneus
CTX_RH_ROSTRALANTERIORCINGULATE,0.442942204,0.010273186,35.14393939,16.74140783,35.25,16.73246482,0.356901168,0.026170799,1.075641502,0.103685756,1.067680922,0.087883135,ctx-rh-rostralanteriorcingulate
CTX_RH_PARSOPERCULARIS,0.408497219,0.016528926,35.24242424,15.23061173,35.31060606,15.26539589,0.397916728,0.018480257,1.073030617,0.103421596,1.063204205,0.085382521,ctx-rh-parsopercularis
CTX_RH_PRECUNEUS,0.238746459,0.050619835,36.66666667,15.36656478,37.56060606,13.45883599,0.269271197,0.043847567,1.073350827,0.107888352,1.061618639,0.081450852,ctx-rh-precuneus
CTX_LH_TRANSVERSETEMPORAL,0.335173052,0.030360422,38.15151515,18.52700112,37.36363636,19.27404941,0.416685585,0.015036731,1.061281914,0.087519417,1.06004636,0.087559866,ctx-lh-transversetemporal
