,1_RANK,1_UPTAKE,2_RANK,2_UPTAKE,4_RANK,4_UPTAKE,7_RANK,7_UPTAKE,8_RANK,8_UPTAKE,9_RANK,9_UPTAKE,10_RANK,10_UPTAKE,13_RANK,13_UPTAKE,14_RANK,14_UPTAKE,16_RANK,16_UPTAKE,18_RANK,18_UPTAKE,19_RANK,19_UPTAKE,22_RANK,22_UPTAKE,26_RANK,26_UPTAKE
16,CTX_CAUDALMIDDLEFRONTAL,0.983494146771992,CTX_SUPERIORFRONTAL,1.6158241331115604,CTX_LATERALORBITOFRONTAL,2.163983951767109,CTX_MIDDLETEMPORAL,1.7739445237980755,CTX_SUPERIORFRONTAL,1.8412896511822392,CTX_LATERALORBITOFRONTAL,1.1812467798973798,CTX_SUPRAMARGINAL,1.78269112735964,CTX_SUPRAMARGINAL,1.2315298382459274,CTX_INFERIORPARIETAL,1.197280737381698,CTX_SUPRAMARGINAL,1.1288662361217217,CTX_ROSTRALMIDDLEFRONTAL,1.0126176978352774,CTX_ISTHMUSCINGULATE,1.438247704712287,CTX_CAUDALANTERIORCINGULATE,1.2369145926692273,CTX_ISTHMUSCINGULATE,1.5770382808702363
17,CTX_SUPERIORFRONTAL,0.9803102449716949,CTX_POSTERIORCINGULATE,1.5978098498690811,CTX_MEDIALORBITOFRONTAL,2.1247407869219597,CTX_POSTCENTRAL,1.7493873100844068,CTX_ISTHMUSCINGULATE,1.8396840790638815,CTX_POSTCENTRAL,1.1798445034714822,CTX_LATERALORBITOFRONTAL,1.7326565160779475,CTX_FRONTALPOLE,1.2129979438920742,CTX_SUPRAMARGINAL,1.1672001180749914,CTX_CUNEUS,1.1178976635122355,CTX_TRANSVERSETEMPORAL,0.9959909299006413,CTX_BANKSSTS,1.4379204441133466,CTX_LATERALORBITOFRONTAL,1.2059638117424192,CTX_SUPRAMARGINAL,1.566623017577031
18,CTX_PRECENTRAL,0.9618066286776134,BRAIN_STEM,1.5969448982894674,CTX_ROSTRALANTERIORCINGULATE,2.0630116208826994,CTX_ISTHMUSCINGULATE,1.709702717932675,CTX_POSTERIORCINGULATE,1.8396270452532022,CTX_PRECENTRAL,1.1759513954755039,CTX_PARSOPERCULARIS,1.725543216858991,CTX_PARSTRIANGULARIS,1.207089837051796,CTX_ISTHMUSCINGULATE,1.160146476126104,PALLIDUM,1.115262803851635,CTX_PARSOPERCULARIS,0.9931599354706218,CTX_POSTCENTRAL,1.4378770937476788,CTX_SUPERIORFRONTAL,1.2006025694629128,CTX_SUPERIORPARIETAL,1.561543994101747
19,CTX_POSTCENTRAL,0.9610306766826121,CTX_CAUDALANTERIORCINGULATE,1.5886999525129808,CTX_PRECENTRAL,2.0548104313275743,CTX_INFERIORTEMPORAL,1.7024015906963421,CTX_POSTCENTRAL,1.8371024691975135,CTX_PARSOPERCULARIS,1.1591760253910508,CTX_INFERIORTEMPORAL,1.7199349907103925,CTX_LINGUAL,1.1973648802151609,PALLIDUM,1.151443480533019,CTX_INFERIORTEMPORAL,1.104077215664722,CTX_CAUDALMIDDLEFRONTAL,0.9853648464916438,CTX_ROSTRALANTERIORCINGULATE,1.4354114283308372,PALLIDUM,1.2001035965135238,CTX_SUPERIORTEMPORAL,1.5556634600025128
20,CTX_ROSTRALMIDDLEFRONTAL,0.9406406537457251,CTX_MIDDLETEMPORAL,1.5556359871435979,CTX_TRANSVERSETEMPORAL,1.9729269965783613,CTX_PRECENTRAL,1.6470114801973694,CTX_TRANSVERSETEMPORAL,1.8305691926106036,CTX_SUPERIORFRONTAL,1.1563856571982023,CTX_MIDDLETEMPORAL,1.7009225168983095,CTX_MIDDLETEMPORAL,1.1877491042141441,CTX_MIDDLETEMPORAL,1.1478478737548479,CTX_MIDDLETEMPORAL,1.0989861075570169,CTX_SUPERIORPARIETAL,0.9782896707029859,CTX_CAUDALMIDDLEFRONTAL,1.4305618069672927,CTX_SUPERIORPARIETAL,1.1987718238189728,CTX_INFERIORPARIETAL,1.539054182147208
21,CTX_ISTHMUSCINGULATE,0.937015681631816,CTX_INFERIORTEMPORAL,1.5498961531211002,CTX_ISTHMUSCINGULATE,1.9694842328270852,CTX_BANKSSTS,1.6310684995887665,CTX_LATERALOCCIPITAL,1.8248960679874386,CTX_MEDIALORBITOFRONTAL,1.1528356212253488,CTX_SUPERIORFRONTAL,1.6998120395059306,CTX_PERICALCARINE,1.1683182430317152,THALAMUS_PROPER,1.1400878875154998,CTX_TEMPORALPOLE,1.0940459958151183,CTX_INFERIORTEMPORAL,0.9707326571239164,CTX_LATERALOCCIPITAL,1.4303437762425033,CTX_BANKSSTS,1.1665646973870776,CEREBELLUM_WHITE_MATTER,1.5244645288047354
22,CAUDATE,0.9195555742204816,VENTRALDC,1.5005088663554653,CTX_MIDDLETEMPORAL,1.9492746959262108,CTX_LATERALOCCIPITAL,1.5795890770426533,CTX_PARACENTRAL,1.7880689212004381,CAUDATE,1.1383650386423776,CTX_PRECENTRAL,1.693119456280285,CTX_POSTCENTRAL,1.1672877669017787,CTX_POSTERIORCINGULATE,1.1326107750711663,CTX_PARSOPERCULARIS,1.066190679469289,CTX_ROSTRALANTERIORCINGULATE,0.9705187548915218,CTX_MEDIALORBITOFRONTAL,1.418916936685586,CTX_ROSTRALANTERIORCINGULATE,1.1606280549508718,BRAIN_STEM,1.5231576942933451
23,CTX_CUNEUS,0.9160604062715483,CTX_SUPERIORPARIETAL,1.4561352323024792,CTX_LATERALOCCIPITAL,1.9261003128408107,CEREBELLUM_WHITE_MATTER,1.5779552255428195,CTX_MIDDLETEMPORAL,1.7850590817893324,CTX_SUPERIORPARIETAL,1.1137000628752523,CTX_MEDIALORBITOFRONTAL,1.679034443035502,CTX_TEMPORALPOLE,1.1595209723664237,CTX_POSTCENTRAL,1.1264185448468564,CTX_SUPERIORFRONTAL,1.0463286620134156,CTX_ISTHMUSCINGULATE,0.9671494992988131,CTX_PARACENTRAL,1.3921673623345596,CTX_POSTERIORCINGULATE,1.1294493079830272,VENTRALDC,1.510109736118445
24,CTX_INFERIORTEMPORAL,0.9151550009968572,CTX_SUPERIORTEMPORAL,1.39043551058511,CTX_INFERIORTEMPORAL,1.8718953178013318,CEREBRAL_WHITE_MATTER,1.566083138339233,CTX_SUPERIORTEMPORAL,1.7061198211140018,CTX_TEMPORALPOLE,1.095943505730575,CTX_POSTERIORCINGULATE,1.6637146938861445,CTX_ROSTRALMIDDLEFRONTAL,1.1553362833255405,CTX_INFERIORTEMPORAL,1.1244910698114106,THALAMUS_PROPER,0.9942026876703137,CTX_MIDDLETEMPORAL,0.9654566608414471,CTX_SUPERIORFRONTAL,1.3860598458111626,THALAMUS_PROPER,1.1208962438103118,CTX_POSTCENTRAL,1.4925061979887095
25,CTX_SUPERIORTEMPORAL,0.9145425138967532,CTX_POSTCENTRAL,1.2905146970814945,CTX_SUPERIORTEMPORAL,1.8609511958706493,BRAIN_STEM,1.5489215124733067,CTX_FUSIFORM,1.6872365045590536,CTX_CUNEUS,1.0827175511325975,CTX_ISTHMUSCINGULATE,1.6607296068206268,CTX_POSTERIORCINGULATE,1.1539356567254604,CTX_PRECENTRAL,1.1236717022035032,CTX_ROSTRALANTERIORCINGULATE,0.9876895766124036,CTX_SUPRAMARGINAL,0.9641698341942151,CTX_INFERIORTEMPORAL,1.336206622707938,CTX_MIDDLETEMPORAL,1.0818276606411736,CEREBRAL_WHITE_MATTER,1.4776702631329728
