,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
25_RANK,CTX_PARSORBITALIS,CTX_FRONTALPOLE,CTX_ROSTRALMIDDLEFRONTAL,CTX_LATERALORBITOFRONTAL,CTX_PARSTRIANGULARIS,CTX_MEDIALORBITOFRONTAL,CTX_PRECUNEUS,CTX_ROSTRALANTERIORCINGULATE,CTX_PARSOPERCULARIS,CTX_ISTHMUSCINGULATE,CTX_INFERIORPARIETAL,CTX_BANKSSTS,CTX_CAUDALMIDDLEFRONTAL,CTX_SUPERIORFRONTAL,CTX_CAUDALANTERIORCINGULATE,CTX_POSTERIORCINGULATE,CTX_SUPRAMARGINAL,CTX_INFERIORTEMPORAL,CTX_MIDDLETEMPORAL,CTX_SUPERIORPARIETAL,CTX_PARACENTRAL,CTX_SUPERIORTEMPORAL,CTX_POSTCENTRAL,CTX_LATERALOCCIPITAL,CTX_TEMPORALPOLE,CTX_FUSIFORM,CTX_TRANSVERSETEMPORAL,CTX_PRECENTRAL,PALLIDUM,THALAMUS_PROPER,CTX_INSULA,CTX_PARAHIPPOCAMPAL,CTX_ENTORHINAL,CAUDATE,CTX_CUNEUS,PUTAMEN,CTX_LINGUAL,HIPPOCAMPUS,AMYGDALA,CEREBELLUM_CORTEX,CTX_PERICALCARINE,ACCUMBENS_AREA
25_UPTAKE,0.031772205,0.031693447,0.030510836,0.028741367,0.028581904,0.02797673,0.027474922,0.026914094,0.026331667,0.026066879,0.025977682,0.025639197,0.025505842,0.025285142,0.025114488,0.024687516,0.024485098,0.023872652,0.023801855,0.023377897,0.021453296,0.021334624,0.02049558,0.020467582,0.020257351,0.019574731,0.019106993,0.018709667,0.01779202,0.017702939,0.017465988,0.016460398,0.016088659,0.016073839,0.015631516,0.014285782,0.013869396,0.013857508,0.013529313,0.012538497,0.012315933,0.012273315
2_RANK,CTX_SUPERIORPARIETAL,CTX_PRECUNEUS,CTX_INFERIORPARIETAL,CTX_LATERALOCCIPITAL,CTX_PARSORBITALIS,CTX_ROSTRALMIDDLEFRONTAL,CTX_SUPRAMARGINAL,CTX_FRONTALPOLE,CTX_BANKSSTS,CTX_PARSTRIANGULARIS,CTX_CAUDALMIDDLEFRONTAL,CTX_POSTERIORCINGULATE,CTX_ISTHMUSCINGULATE,CTX_LATERALORBITOFRONTAL,CTX_CAUDALANTERIORCINGULATE,CTX_POSTCENTRAL,CTX_ROSTRALANTERIORCINGULATE,CTX_PARSOPERCULARIS,CTX_PARACENTRAL,CTX_MEDIALORBITOFRONTAL,CTX_SUPERIORFRONTAL,CTX_MIDDLETEMPORAL,CTX_INFERIORTEMPORAL,CTX_CUNEUS,CTX_PRECENTRAL,CTX_FUSIFORM,CTX_TRANSVERSETEMPORAL,CTX_SUPERIORTEMPORAL,PALLIDUM,THALAMUS_PROPER,CTX_TEMPORALPOLE,CTX_LINGUAL,CTX_PERICALCARINE,CTX_PARAHIPPOCAMPAL,CTX_INSULA,CAUDATE,CTX_ENTORHINAL,HIPPOCAMPUS,CEREBELLUM_CORTEX,PUTAMEN,AMYGDALA,ACCUMBENS_AREA
2_UPTAKE,0.026660674,0.02660045,0.026040088,0.025944854,0.025575575,0.025487829,0.024882448,0.024771407,0.024612537,0.024608789,0.024566075,0.024295749,0.02402758,0.023899621,0.023673966,0.023378652,0.02325429,0.023249904,0.023169371,0.023135447,0.022676044,0.022618877,0.022468021,0.021849173,0.021397198,0.021108613,0.020596022,0.020559593,0.019990727,0.019687358,0.019465004,0.019374582,0.018231484,0.016520083,0.01650408,0.016092823,0.015904228,0.01552093,0.014922125,0.014018882,0.013216147,0.008281279
3_RANK,CTX_PARSORBITALIS,CTX_ROSTRALMIDDLEFRONTAL,CTX_LATERALORBITOFRONTAL,CTX_ROSTRALANTERIORCINGULATE,CTX_FRONTALPOLE,CTX_MEDIALORBITOFRONTAL,CTX_PARSTRIANGULARIS,CTX_CAUDALANTERIORCINGULATE,CTX_PARSOPERCULARIS,CTX_CAUDALMIDDLEFRONTAL,CTX_SUPERIORFRONTAL,CTX_POSTERIORCINGULATE,CTX_TRANSVERSETEMPORAL,CTX_TEMPORALPOLE,PALLIDUM,CTX_SUPRAMARGINAL,THALAMUS_PROPER,CTX_PRECENTRAL,CTX_PRECUNEUS,CTX_POSTCENTRAL,CTX_INFERIORPARIETAL,CTX_ISTHMUSCINGULATE,CTX_INFERIORTEMPORAL,CTX_SUPERIORTEMPORAL,CTX_PARACENTRAL,CTX_SUPERIORPARIETAL,CTX_BANKSSTS,CTX_MIDDLETEMPORAL,CAUDATE,CTX_LATERALOCCIPITAL,CTX_ENTORHINAL,CTX_INSULA,CTX_FUSIFORM,CTX_CUNEUS,HIPPOCAMPUS,PUTAMEN,CEREBELLUM_CORTEX,CTX_LINGUAL,CTX_PARAHIPPOCAMPAL,AMYGDALA,CTX_PERICALCARINE,ACCUMBENS_AREA
3_UPTAKE,0.03043512,0.029932677,0.028817186,0.028177096,0.0277922,0.027066842,0.026906311,0.026892047,0.026509873,0.026043809,0.026000023,0.022046411,0.021974546,0.021893152,0.021668211,0.021640502,0.021209051,0.021069561,0.02081807,0.02077341,0.020662101,0.020623908,0.020551602,0.020521173,0.020461404,0.020331134,0.02029704,0.02014107,0.019566779,0.018390096,0.018204024,0.017949378,0.017766245,0.016820922,0.016811701,0.015365317,0.015256813,0.015150031,0.015004324,0.014597571,0.010718813,0.00974824
12_RANK,CTX_LATERALOCCIPITAL,CTX_LATERALORBITOFRONTAL,CTX_CUNEUS,CTX_INFERIORTEMPORAL,CTX_PARSORBITALIS,CTX_FUSIFORM,CTX_INFERIORPARIETAL,CTX_FRONTALPOLE,CTX_SUPERIORPARIETAL,CTX_PERICALCARINE,CTX_PRECUNEUS,CTX_MIDDLETEMPORAL,CTX_ISTHMUSCINGULATE,CTX_PARSTRIANGULARIS,CTX_ROSTRALMIDDLEFRONTAL,PALLIDUM,CTX_BANKSSTS,CTX_MEDIALORBITOFRONTAL,CTX_SUPRAMARGINAL,CTX_LINGUAL,CTX_PARSOPERCULARIS,CTX_POSTCENTRAL,CTX_CAUDALMIDDLEFRONTAL,CTX_PARAHIPPOCAMPAL,CTX_ROSTRALANTERIORCINGULATE,CTX_PRECENTRAL,CTX_PARACENTRAL,CTX_SUPERIORFRONTAL,CTX_ENTORHINAL,CTX_POSTERIORCINGULATE,CTX_TEMPORALPOLE,THALAMUS_PROPER,CTX_CAUDALANTERIORCINGULATE,CTX_SUPERIORTEMPORAL,HIPPOCAMPUS,CEREBELLUM_CORTEX,CTX_INSULA,AMYGDALA,CTX_TRANSVERSETEMPORAL,PUTAMEN,CAUDATE,ACCUMBENS_AREA
12_UPTAKE,0.032740688,0.02912518,0.02906664,0.028927024,0.028195021,0.027650336,0.026964021,0.026453731,0.02619609,0.025364927,0.024393463,0.023854382,0.023714279,0.023328475,0.023232637,0.022925562,0.022898079,0.022406406,0.022393596,0.022391915,0.022271473,0.021647795,0.020797065,0.020455893,0.02032828,0.020225714,0.020077827,0.019561454,0.019517613,0.019484831,0.018582605,0.017867842,0.017436117,0.01738104,0.016572689,0.015240504,0.014685356,0.013449437,0.013046991,0.011933963,0.011345363,0.001984056
8_RANK,CTX_CAUDALANTERIORCINGULATE,CTX_PARACENTRAL,CTX_POSTERIORCINGULATE,CTX_TRANSVERSETEMPORAL,CTX_POSTCENTRAL,THALAMUS_PROPER,CTX_ISTHMUSCINGULATE,CTX_ROSTRALANTERIORCINGULATE,CTX_PARSORBITALIS,CTX_CAUDALMIDDLEFRONTAL,CTX_PARSTRIANGULARIS,CTX_PRECENTRAL,PALLIDUM,CTX_ROSTRALMIDDLEFRONTAL,CTX_LATERALORBITOFRONTAL,CTX_SUPERIORFRONTAL,CTX_MEDIALORBITOFRONTAL,CTX_PARSOPERCULARIS,CTX_SUPERIORPARIETAL,CAUDATE,CTX_TEMPORALPOLE,CTX_ENTORHINAL,CTX_SUPRAMARGINAL,CTX_FRONTALPOLE,CTX_PRECUNEUS,CTX_SUPERIORTEMPORAL,CTX_CUNEUS,CTX_INFERIORPARIETAL,CTX_MIDDLETEMPORAL,CTX_INFERIORTEMPORAL,CTX_LATERALOCCIPITAL,CTX_BANKSSTS,HIPPOCAMPUS,CTX_PARAHIPPOCAMPAL,CTX_INSULA,CTX_FUSIFORM,CEREBELLUM_CORTEX,CTX_LINGUAL,PUTAMEN,AMYGDALA,CTX_PERICALCARINE,ACCUMBENS_AREA
8_UPTAKE,0.02768338,0.025785374,0.025613848,0.024601404,0.024474099,0.024404591,0.024365251,0.024313912,0.024288459,0.024260691,0.02416624,0.024012822,0.023650081,0.02333551,0.023301962,0.023067194,0.023015575,0.022850038,0.022396516,0.022279163,0.021874668,0.021275885,0.021076035,0.020699025,0.020506247,0.020338153,0.020171193,0.020105674,0.01966578,0.01901668,0.018848941,0.01875502,0.018569113,0.018465129,0.018417184,0.017430719,0.017354404,0.016627847,0.016394562,0.015308813,0.010359457,0.006809203
