BASALGANGLIA,BRAIN_STEM,CEREBELLUM_GRAY,CEREBELLUM_WHITE,CEREBRAL_WHITE,CINGULATE,FRONTAL,LIMBIC,MEDIALOCCIPITAL,OCCIPITAL,PARIETAL,SENSORY,TEMPORAL,THALAMUS,mean_suvr,pattern
0.0512420172871,0.08234215187,0.0435716567347,0.0838538733906,0.0871454940686,0.0857378909502,0.094567497926,0.0527801089781,0.054480548759,0.0693531696995,0.0843529269972,0.0679246415606,0.0760280483134,0.0666199734652,1.71247696803,0.0
0.0463270572932,0.0964772264341,0.0547309568323,0.0969797437117,0.100626103086,0.0613022614515,0.072108547847,0.0486425016308,0.0563481655277,0.0820558711164,0.0697279867302,0.075307977315,0.0659501452523,0.0734154557719,1.09538276989,2.0
0.0439187821821,0.061632756372,0.039129863788,0.0621912098421,0.0630338853415,0.0782726830163,0.0880256373468,0.0516054310574,0.0888307572623,0.109285672568,0.0950377554651,0.0841478864926,0.0825313548116,0.0523563244546,2.05719266664,3.0
0.0495290807587,0.0855210200474,0.0462923985536,0.0883231841754,0.0885426898369,0.0757280040519,0.0770813768979,0.0498462552899,0.0619692738235,0.0809639382373,0.0849059663087,0.073171424363,0.0685716828889,0.0695537047669,1.4248264346,4.0
0.0508510073667,0.0650082792476,0.0360645842304,0.0655466306554,0.0696927840829,0.0896001675221,0.101215900864,0.051763070217,0.0619329824659,0.0796950542106,0.0998929684437,0.0911624232391,0.0807352344271,0.0568389130273,2.31745322193,5.0
0.0516899632092,0.0675024436135,0.039240690681,0.0679573438185,0.0696656353302,0.0859882855569,0.0931782168662,0.0558421035588,0.0715326147725,0.0839106317242,0.0920618910313,0.0791897733257,0.0829921774829,0.0592482290291,2.03036522824,6.0
0.0567165080514,0.0953084101598,0.046598975706,0.094101425333,0.0975786077154,0.0824416104236,0.0964663921979,0.0570017512931,0.0494072582945,0.0488937811476,0.0672656213676,0.0647430782339,0.0668783746729,0.0765982054034,1.45001069604,1.0
0.0600883758934,0.0770132948772,0.0422183835545,0.0766883440366,0.0791043849254,0.0891571074734,0.0915636530649,0.0590920865287,0.0601397031635,0.0599145982986,0.0837295027587,0.0764024280785,0.0756022488672,0.0692858884794,1.77210319903,9.0
0.0507557077196,0.103151780442,0.0546819226256,0.105333033097,0.106291129231,0.0608961109838,0.065666851641,0.0514442377733,0.0568490248616,0.070904739784,0.062324857237,0.0682579249996,0.0630669086063,0.0803757709976,0.976849277445,19.0
0.043832299875,0.0877052201621,0.0504404437052,0.0878938973124,0.08967963063,0.0644232795276,0.0687457724963,0.050754552746,0.0748953400887,0.0972511561033,0.0776348752142,0.0689832636671,0.0698774598232,0.0678828086489,1.23282278243,22.0
0.046634652763,0.0897501963696,0.0506390594155,0.0925790641089,0.102924654116,0.0687180920316,0.0783918218801,0.0450892459479,0.0496319665958,0.0783285820004,0.0735152428989,0.0901729017606,0.0599696428923,0.0736548772196,1.23820736414,25.0
0.0569397854563,0.108488011989,0.0539498259223,0.110923675353,0.114551322322,0.0624804827383,0.0664751422422,0.0542995045999,0.0540155458728,0.0505212486387,0.0568879548244,0.063456222634,0.060166045715,0.086845231692,0.938099717561,29.0
0.0583093732119,0.0954916694392,0.0541965240795,0.0908225222179,0.0915031616015,0.0769543810416,0.0742088479046,0.0571895783825,0.0543546917247,0.0604142890307,0.0666692593513,0.0755206607542,0.0635220155383,0.0808430257222,1.14186550817,34.0
0.0643755447371,0.115094543805,0.0549761350938,0.121663982507,0.122040500592,0.0673556115976,0.0607274601913,0.0571822547722,0.0573878456914,0.0262000042589,0.0517354951499,0.0567017537797,0.0520049206632,0.0925539471611,0.832008120302,56.0
