REGION,WEIGHT
BRAIN_STEM,0.172308331
LEFT_VENTRALDC,0.171700211
RIGHT_VENTRALDC,0.171084459
RIGHT_CEREBELLUM_WHITE_MATTER,0.167147548
LEFT_CEREBELLUM_WHITE_MATTER,0.166532224
LEFT_THALAMUS_PROPER,0.164437463
RIGHT_CEREBRAL_WHITE_MATTER,0.163850781
LEFT_CEREBRAL_WHITE_MATTER,0.16384123
RIGHT_THALAMUS_PROPER,0.162946359
RIGHT_CEREBELLUM_CORTEX,0.162570172
LEFT_CEREBELLUM_CORTEX,0.161787275
LEFT_HIPPOCAMPUS,0.157970473
RIGHT_HIPPOCAMPUS,0.157357711
RIGHT_PALLIDUM,0.157037841
CTX_RH_PRECUNEUS,-0.148627475
CTX_LH_PRECUNEUS,-0.146205278
CTX_LH_ROSTRALMIDDLEFRONTAL,-0.14481006
CTX_RH_ROSTRALMIDDLEFRONTAL,-0.140224094
CTX_RH_INFERIORPARIETAL,-0.139449515
LEFT_PALLIDUM,0.133768349
CTX_LH_SUPERIORFRONTAL,-0.132965684
CTX_LH_INFERIORPARIETAL,-0.130057567
CTX_RH_SUPERIORFRONTAL,-0.129372907
CTX_LH_SUPRAMARGINAL,-0.127572753
CTX_RH_BANKSSTS,-0.123866817
CTX_LH_CAUDALMIDDLEFRONTAL,-0.122937982
CTX_LH_BANKSSTS,-0.122605197
CTX_RH_POSTERIORCINGULATE,-0.122100404
CTX_RH_SUPRAMARGINAL,-0.121335865
CTX_RH_CAUDALMIDDLEFRONTAL,-0.12088414
CTX_LH_POSTERIORCINGULATE,-0.118093356
CTX_LH_UNKNOWN,0.116105837
CTX_RH_UNKNOWN,0.113567403
CTX_LH_PARSOPERCULARIS,-0.113337838
CTX_RH_SUPERIORPARIETAL,-0.111681308
CTX_LH_SUPERIORPARIETAL,-0.107925963
CTX_LH_MEDIALORBITOFRONTAL,-0.107288124
CTX_RH_PARSOPERCULARIS,-0.107017341
LEFT_ACCUMBENS_AREA,-0.105916898
CTX_RH_MEDIALORBITOFRONTAL,-0.104851112
CTX_RH_MIDDLETEMPORAL,-0.10340867
CTX_LH_PARSTRIANGULARIS,-0.09871308
CTX_LH_ENTORHINAL,0.098446525
CTX_LH_TEMPORALPOLE,0.098443648
CTX_LH_MIDDLETEMPORAL,-0.096254455
CTX_RH_PARSTRIANGULARIS,-0.09479709
CTX_RH_INFERIORTEMPORAL,-0.09411294
CTX_LH_INFERIORTEMPORAL,-0.093419501
CTX_RH_PERICALCARINE,-0.09270192
CTX_RH_TEMPORALPOLE,0.089771254
RIGHT_ACCUMBENS_AREA,-0.087881223
CTX_RH_ENTORHINAL,0.087313331
CTX_LH_PERICALCARINE,-0.085648559
CTX_LH_ROSTRALANTERIORCINGULATE,-0.083650175
LEFT_PUTAMEN,0.081950523
CTX_LH_ISTHMUSCINGULATE,-0.078853988
CTX_RH_SUPERIORTEMPORAL,-0.078258713
CTX_RH_ISTHMUSCINGULATE,-0.077178929
CTX_LH_SUPERIORTEMPORAL,-0.07619444
CTX_LH_FRONTALPOLE,-0.073361252
CTX_RH_FRONTALPOLE,-0.071490928
LEFT_CAUDATE,0.067631599
RIGHT_CAUDATE,0.065473138
CTX_RH_ROSTRALANTERIORCINGULATE,-0.063406399
CTX_LH_LATERALORBITOFRONTAL,-0.061140425
LEFT_AMYGDALA,0.060525554
CTX_LH_CAUDALANTERIORCINGULATE,-0.058345581
CTX_RH_INSULA,-0.058280889
CTX_RH_FUSIFORM,-0.057355541
CTX_RH_POSTCENTRAL,-0.054938632
RIGHT_AMYGDALA,0.054546669
CTX_LH_FUSIFORM,-0.049483287
CTX_LH_POSTCENTRAL,-0.048346701
CTX_RH_CAUDALANTERIORCINGULATE,-0.045582812
CTX_RH_LATERALORBITOFRONTAL,-0.044847304
CTX_RH_PARSORBITALIS,-0.04377695
CTX_LH_TRANSVERSETEMPORAL,-0.039817086
RIGHT_PUTAMEN,0.037916646
CTX_LH_CUNEUS,0.037329269
CTX_RH_CUNEUS,0.033673402
CTX_RH_LATERALOCCIPITAL,-0.031759601
CTX_LH_PARSORBITALIS,-0.024044369
CTX_LH_LATERALOCCIPITAL,-0.023425309
CTX_RH_TRANSVERSETEMPORAL,-0.023057879
CTX_LH_INSULA,-0.021613187
CTX_LH_PRECENTRAL,0.020977265
CTX_RH_LINGUAL,-0.017326564
CTX_LH_LINGUAL,-0.016927154
CTX_RH_PARACENTRAL,-0.011147176
CTX_LH_PARAHIPPOCAMPAL,-0.006208817
CTX_RH_PRECENTRAL,0.005583319
CTX_RH_PARAHIPPOCAMPAL,-0.003471964
CTX_LH_PARACENTRAL,-0.00139214
