pattern,count_prior,count_post,cortical_summary,below_threshold,cortical_summary_change,N,SMC,MCI,AD,neg-neg,neg-pos,pos-neg,pos-pos,AD-AD,AD-MCI,MCI-AD,MCI-MCI,MCI-N,N-AD,N-MCI,N-N,SMC-AD,SMC-SMC
0.0,296.0,182.0,0.958182357086,0.964435146444,0.0140597192246,0.407949790795,0.106694560669,0.430962343096,0.0543933054393,0.918367346939,0.0612244897959,0.0,0.0204081632653,0.030612244898,,0.0102040816327,0.397959183673,0.0459183673469,0.00510204081633,0.0204081632653,0.418367346939,0.00510204081633,0.0663265306122
1.0,135.0,81.0,1.07116229886,0.814814814815,0.0141191286405,0.356481481481,0.166666666667,0.476851851852,0.0,0.735632183908,0.0919540229885,0.0344827586207,0.137931034483,,,0.0114942528736,0.459770114943,0.0114942528736,,,0.344827586207,,0.172413793103
2.0,9.0,5.0,0.843986936885,1.0,-0.0232864590938,0.214285714286,0.0,0.714285714286,0.0714285714286,1.0,0.0,0.0,0.0,,,,0.8,,,,0.2,,
3.0,17.0,6.0,1.20927808935,0.260869565217,-0.0255955417572,0.217391304348,0.130434782609,0.565217391304,0.0869565217391,0.428571428571,0.0,0.0,0.571428571429,,,,0.857142857143,,,,0.142857142857,,
4.0,27.0,20.0,1.10396346478,0.63829787234,0.0402843351391,0.340425531915,0.0425531914894,0.468085106383,0.148936170213,0.4375,0.25,0.0,0.3125,,,0.0625,0.5625,,,0.0625,0.25,,0.0625
5.0,7.0,0.0,0.948218714127,1.0,0.0499542101509,0.571428571429,0.0,0.428571428571,0.0,0.666666666667,0.333333333333,0.0,0.0,,,0.333333333333,,,,,0.666666666667,,
6.0,9.0,2.0,2.31161261812,0.0,0.124730691147,0.363636363636,0.0909090909091,0.363636363636,0.181818181818,0.0,0.0,0.0,1.0,,,,0.5,,,,0.5,,
7.0,20.0,7.0,1.26542120949,0.111111111111,0.0604779297039,0.222222222222,0.185185185185,0.592592592593,0.0,0.0,0.0,0.0,1.0,,,,0.583333333333,0.166666666667,,,0.166666666667,,0.0833333333333
8.0,16.0,15.0,1.4987236053,0.0322580645161,0.068504860112,0.290322580645,0.0,0.677419354839,0.0322580645161,0.0,0.0833333333333,0.0,0.916666666667,,,0.0833333333333,0.416666666667,0.25,,0.0833333333333,0.166666666667,,
9.0,18.0,11.0,1.37889580322,0.0,0.0627006837146,0.0689655172414,0.137931034483,0.724137931034,0.0689655172414,0.0,0.0,0.0,1.0,,,0.181818181818,0.636363636364,,,,,,0.181818181818
10.0,8.0,4.0,1.32818847928,0.166666666667,0.0286148706127,0.583333333333,0.0833333333333,0.166666666667,0.166666666667,0.25,0.0,0.0,0.75,,,,0.25,,,,0.75,,
11.0,6.0,3.0,1.43280077054,0.111111111111,0.0625129310532,0.333333333333,0.222222222222,0.333333333333,0.111111111111,0.0,1.0,0.0,0.0,,,,,,,,,,1.0
12.0,63.0,28.0,1.96413199299,0.0,0.0384724206273,0.164835164835,0.043956043956,0.450549450549,0.340659340659,0.0,0.0,0.0,1.0,0.0769230769231,,0.230769230769,0.384615384615,,,0.0384615384615,0.192307692308,,0.0769230769231
13.0,14.0,5.0,1.81876040031,0.0,0.0537024729606,0.157894736842,0.105263157895,0.473684210526,0.263157894737,0.0,0.0,0.0,1.0,,,0.25,0.5,,,,0.25,,
14.0,45.0,34.0,1.1293745127,0.721518987342,0.0185355621763,0.307692307692,0.141025641026,0.487179487179,0.0641025641026,0.645161290323,0.193548387097,0.0322580645161,0.129032258065,0.0322580645161,,0.0322580645161,0.483870967742,0.0645161290323,,0.0322580645161,0.225806451613,,0.129032258065
15.0,140.0,66.0,2.12585723797,0.0,0.0390416621001,0.0970873786408,0.0873786407767,0.45145631068,0.364077669903,0.0,0.0,0.0,1.0,0.152542372881,0.0169491525424,0.220338983051,0.338983050847,,,0.0338983050847,0.135593220339,,0.101694915254
20.0,11.0,11.0,1.95727975173,0.0,0.0596836542267,0.318181818182,0.181818181818,0.454545454545,0.0454545454545,0.0,0.0,0.0,1.0,,,0.111111111111,0.333333333333,,,,0.333333333333,,0.222222222222
21.0,5.0,0.0,1.17214493208,0.4,0.0680222084408,0.4,0.0,0.6,0.0,0.0,0.0,0.0,1.0,,,,1.0,,,,,,
23.0,175.0,95.0,1.90971931412,0.0,0.0644445308688,0.115241635688,0.0223048327138,0.475836431227,0.386617100372,0.0,0.0,0.0,1.0,0.215909090909,,0.227272727273,0.375,0.0113636363636,0.0113636363636,0.0454545454545,0.0909090909091,,0.0227272727273
24.0,46.0,29.0,1.82943327878,0.0,0.0490572056695,0.106666666667,0.0,0.613333333333,0.28,0.0,0.0,0.0,1.0,0.111111111111,,0.296296296296,0.518518518519,,,,0.0740740740741,,
