,2,7,8,10,13,22,26
VENTRALDC,1.506325497,1.543745557,1.470316767,1.380458836,1.399713762,1.476908411,1.544757879
CTX_ROSTRALMIDDLEFRONTAL,2.14804865,2.47162033,2.334680005,2.248876973,1.19888349,1.451155325,2.022893948
CTX_PERICALCARINE,0.80865793,0.799888576,1.792930678,2.552265447,1.267367847,0.637376104,1.001711193
CEREBELLUM_WHITE_MATTER,1.597424411,1.664122035,1.503954225,1.431864786,1.469387416,1.554819139,1.542674269
CTX_SUPRAMARGINAL,1.715669831,2.02219023,1.974650341,2.016761452,1.196512452,1.34056727,1.666143901
CTX_ROSTRALANTERIORCINGULATE,1.848314888,1.842959961,2.0106593,1.782315491,1.112602547,1.186470664,1.974339287
CTX_PARACENTRAL,1.420773103,1.56017914,1.865622021,1.973662869,1.148351625,1.502628609,1.687632055
CTX_TRANSVERSETEMPORAL,1.22744354,0.950227096,1.929900336,1.998043613,0.95585738,1.005428615,1.936123163
CTX_MIDDLETEMPORAL,1.729669675,1.65939881,1.920449617,1.963477449,1.209230462,1.068866647,1.517545654
CTX_TEMPORALPOLE,1.407025127,1.13333019,1.565565373,1.463227003,1.078785835,1.02070402,1.391947059
CTX_FUSIFORM,1.362867926,1.223948345,1.726360589,1.885652825,1.292132428,0.84329483,1.404008541
CTX_SUPERIORPARIETAL,1.597054051,1.884459953,2.074242636,2.357968284,1.383221548,1.291327434,1.644849004
CTX_LATERALORBITOFRONTAL,1.986590455,1.946554121,2.103255341,2.008468644,1.381313613,1.214509949,1.949166026
CTX_PARSOPERCULARIS,1.781774324,2.081198953,2.005681224,1.945870514,1.15354762,1.370023988,1.889332402
HIPPOCAMPUS,0.931833857,0.854525124,1.028031445,0.968688928,0.916169171,0.868181331,1.073185594
CEREBRAL_WHITE_MATTER,1.692635399,1.696147792,1.54898651,1.460436903,1.501540272,1.736098039,1.609105794
BRAIN_STEM,1.591409236,1.586278256,1.494413162,1.413299432,1.473391865,1.521795907,1.565741887
ACCUMBENS_AREA,0.692960942,0.368598726,1.032744565,0.730815265,0.230349443,0.164111523,1.027798492
