GROUP1,GROUP2,MEAN1_BRAIN_STEM,MEAN1_CTX_LH_BANKSSTS,MEAN1_CTX_LH_CAUDALANTERIORCINGULATE,MEAN1_CTX_LH_CAUDALMIDDLEFRONTAL,MEAN1_CTX_LH_CUNEUS,MEAN1_CTX_LH_ENTORHINAL,MEAN1_CTX_LH_FRONTALPOLE,MEAN1_CTX_LH_FUSIFORM,MEAN1_CTX_LH_INFERIORPARIETAL,MEAN1_CTX_LH_INFERIORTEMPORAL,MEAN1_CTX_LH_INSULA,MEAN1_CTX_LH_ISTHMUSCINGULATE,MEAN1_CTX_LH_LATERALOCCIPITAL,MEAN1_CTX_LH_LATERALORBITOFRONTAL,MEAN1_CTX_LH_LINGUAL,MEAN1_CTX_LH_MEDIALORBITOFRONTAL,MEAN1_CTX_LH_MIDDLETEMPORAL,MEAN1_CTX_LH_PARACENTRAL,MEAN1_CTX_LH_PARAHIPPOCAMPAL,MEAN1_CTX_LH_PARSOPERCULARIS,MEAN1_CTX_LH_PARSORBITALIS,MEAN1_CTX_LH_PARSTRIANGULARIS,MEAN1_CTX_LH_PERICALCARINE,MEAN1_CTX_LH_POSTCENTRAL,MEAN1_CTX_LH_POSTERIORCINGULATE,MEAN1_CTX_LH_PRECENTRAL,MEAN1_CTX_LH_PRECUNEUS,MEAN1_CTX_LH_ROSTRALANTERIORCINGULATE,MEAN1_CTX_LH_ROSTRALMIDDLEFRONTAL,MEAN1_CTX_LH_SUPERIORFRONTAL,MEAN1_CTX_LH_SUPERIORPARIETAL,MEAN1_CTX_LH_SUPERIORTEMPORAL,MEAN1_CTX_LH_SUPRAMARGINAL,MEAN1_CTX_LH_TEMPORALPOLE,MEAN1_CTX_LH_TRANSVERSETEMPORAL,MEAN1_CTX_LH_UNKNOWN,MEAN1_CTX_RH_BANKSSTS,MEAN1_CTX_RH_CAUDALANTERIORCINGULATE,MEAN1_CTX_RH_CAUDALMIDDLEFRONTAL,MEAN1_CTX_RH_CUNEUS,MEAN1_CTX_RH_ENTORHINAL,MEAN1_CTX_RH_FRONTALPOLE,MEAN1_CTX_RH_FUSIFORM,MEAN1_CTX_RH_INFERIORPARIETAL,MEAN1_CTX_RH_INFERIORTEMPORAL,MEAN1_CTX_RH_INSULA,MEAN1_CTX_RH_ISTHMUSCINGULATE,MEAN1_CTX_RH_LATERALOCCIPITAL,MEAN1_CTX_RH_LATERALORBITOFRONTAL,MEAN1_CTX_RH_LINGUAL,MEAN1_CTX_RH_MEDIALORBITOFRONTAL,MEAN1_CTX_RH_MIDDLETEMPORAL,MEAN1_CTX_RH_PARACENTRAL,MEAN1_CTX_RH_PARAHIPPOCAMPAL,MEAN1_CTX_RH_PARSOPERCULARIS,MEAN1_CTX_RH_PARSORBITALIS,MEAN1_CTX_RH_PARSTRIANGULARIS,MEAN1_CTX_RH_PERICALCARINE,MEAN1_CTX_RH_POSTCENTRAL,MEAN1_CTX_RH_POSTERIORCINGULATE,MEAN1_CTX_RH_PRECENTRAL,MEAN1_CTX_RH_PRECUNEUS,MEAN1_CTX_RH_ROSTRALANTERIORCINGULATE,MEAN1_CTX_RH_ROSTRALMIDDLEFRONTAL,MEAN1_CTX_RH_SUPERIORFRONTAL,MEAN1_CTX_RH_SUPERIORPARIETAL,MEAN1_CTX_RH_SUPERIORTEMPORAL,MEAN1_CTX_RH_SUPRAMARGINAL,MEAN1_CTX_RH_TEMPORALPOLE,MEAN1_CTX_RH_TRANSVERSETEMPORAL,MEAN1_CTX_RH_UNKNOWN,MEAN1_LEFT_ACCUMBENS_AREA,MEAN1_LEFT_AMYGDALA,MEAN1_LEFT_CAUDATE,MEAN1_LEFT_CEREBELLUM_CORTEX,MEAN1_LEFT_CEREBELLUM_WHITE_MATTER,MEAN1_LEFT_CEREBRAL_WHITE_MATTER,MEAN1_LEFT_HIPPOCAMPUS,MEAN1_LEFT_PALLIDUM,MEAN1_LEFT_PUTAMEN,MEAN1_LEFT_THALAMUS_PROPER,MEAN1_LEFT_VENTRALDC,MEAN1_RIGHT_ACCUMBENS_AREA,MEAN1_RIGHT_AMYGDALA,MEAN1_RIGHT_CAUDATE,MEAN1_RIGHT_CEREBELLUM_CORTEX,MEAN1_RIGHT_CEREBELLUM_WHITE_MATTER,MEAN1_RIGHT_CEREBRAL_WHITE_MATTER,MEAN1_RIGHT_HIPPOCAMPUS,MEAN1_RIGHT_PALLIDUM,MEAN1_RIGHT_PUTAMEN,MEAN1_RIGHT_THALAMUS_PROPER,MEAN1_RIGHT_VENTRALDC,MEAN2_BRAIN_STEM,MEAN2_CTX_LH_BANKSSTS,MEAN2_CTX_LH_CAUDALANTERIORCINGULATE,MEAN2_CTX_LH_CAUDALMIDDLEFRONTAL,MEAN2_CTX_LH_CUNEUS,MEAN2_CTX_LH_ENTORHINAL,MEAN2_CTX_LH_FRONTALPOLE,MEAN2_CTX_LH_FUSIFORM,MEAN2_CTX_LH_INFERIORPARIETAL,MEAN2_CTX_LH_INFERIORTEMPORAL,MEAN2_CTX_LH_INSULA,MEAN2_CTX_LH_ISTHMUSCINGULATE,MEAN2_CTX_LH_LATERALOCCIPITAL,MEAN2_CTX_LH_LATERALORBITOFRONTAL,MEAN2_CTX_LH_LINGUAL,MEAN2_CTX_LH_MEDIALORBITOFRONTAL,MEAN2_CTX_LH_MIDDLETEMPORAL,MEAN2_CTX_LH_PARACENTRAL,MEAN2_CTX_LH_PARAHIPPOCAMPAL,MEAN2_CTX_LH_PARSOPERCULARIS,MEAN2_CTX_LH_PARSORBITALIS,MEAN2_CTX_LH_PARSTRIANGULARIS,MEAN2_CTX_LH_PERICALCARINE,MEAN2_CTX_LH_POSTCENTRAL,MEAN2_CTX_LH_POSTERIORCINGULATE,MEAN2_CTX_LH_PRECENTRAL,MEAN2_CTX_LH_PRECUNEUS,MEAN2_CTX_LH_ROSTRALANTERIORCINGULATE,MEAN2_CTX_LH_ROSTRALMIDDLEFRONTAL,MEAN2_CTX_LH_SUPERIORFRONTAL,MEAN2_CTX_LH_SUPERIORPARIETAL,MEAN2_CTX_LH_SUPERIORTEMPORAL,MEAN2_CTX_LH_SUPRAMARGINAL,MEAN2_CTX_LH_TEMPORALPOLE,MEAN2_CTX_LH_TRANSVERSETEMPORAL,MEAN2_CTX_LH_UNKNOWN,MEAN2_CTX_RH_BANKSSTS,MEAN2_CTX_RH_CAUDALANTERIORCINGULATE,MEAN2_CTX_RH_CAUDALMIDDLEFRONTAL,MEAN2_CTX_RH_CUNEUS,MEAN2_CTX_RH_ENTORHINAL,MEAN2_CTX_RH_FRONTALPOLE,MEAN2_CTX_RH_FUSIFORM,MEAN2_CTX_RH_INFERIORPARIETAL,MEAN2_CTX_RH_INFERIORTEMPORAL,MEAN2_CTX_RH_INSULA,MEAN2_CTX_RH_ISTHMUSCINGULATE,MEAN2_CTX_RH_LATERALOCCIPITAL,MEAN2_CTX_RH_LATERALORBITOFRONTAL,MEAN2_CTX_RH_LINGUAL,MEAN2_CTX_RH_MEDIALORBITOFRONTAL,MEAN2_CTX_RH_MIDDLETEMPORAL,MEAN2_CTX_RH_PARACENTRAL,MEAN2_CTX_RH_PARAHIPPOCAMPAL,MEAN2_CTX_RH_PARSOPERCULARIS,MEAN2_CTX_RH_PARSORBITALIS,MEAN2_CTX_RH_PARSTRIANGULARIS,MEAN2_CTX_RH_PERICALCARINE,MEAN2_CTX_RH_POSTCENTRAL,MEAN2_CTX_RH_POSTERIORCINGULATE,MEAN2_CTX_RH_PRECENTRAL,MEAN2_CTX_RH_PRECUNEUS,MEAN2_CTX_RH_ROSTRALANTERIORCINGULATE,MEAN2_CTX_RH_ROSTRALMIDDLEFRONTAL,MEAN2_CTX_RH_SUPERIORFRONTAL,MEAN2_CTX_RH_SUPERIORPARIETAL,MEAN2_CTX_RH_SUPERIORTEMPORAL,MEAN2_CTX_RH_SUPRAMARGINAL,MEAN2_CTX_RH_TEMPORALPOLE,MEAN2_CTX_RH_TRANSVERSETEMPORAL,MEAN2_CTX_RH_UNKNOWN,MEAN2_LEFT_ACCUMBENS_AREA,MEAN2_LEFT_AMYGDALA,MEAN2_LEFT_CAUDATE,MEAN2_LEFT_CEREBELLUM_CORTEX,MEAN2_LEFT_CEREBELLUM_WHITE_MATTER,MEAN2_LEFT_CEREBRAL_WHITE_MATTER,MEAN2_LEFT_HIPPOCAMPUS,MEAN2_LEFT_PALLIDUM,MEAN2_LEFT_PUTAMEN,MEAN2_LEFT_THALAMUS_PROPER,MEAN2_LEFT_VENTRALDC,MEAN2_RIGHT_ACCUMBENS_AREA,MEAN2_RIGHT_AMYGDALA,MEAN2_RIGHT_CAUDATE,MEAN2_RIGHT_CEREBELLUM_CORTEX,MEAN2_RIGHT_CEREBELLUM_WHITE_MATTER,MEAN2_RIGHT_CEREBRAL_WHITE_MATTER,MEAN2_RIGHT_HIPPOCAMPUS,MEAN2_RIGHT_PALLIDUM,MEAN2_RIGHT_PUTAMEN,MEAN2_RIGHT_THALAMUS_PROPER,MEAN2_RIGHT_VENTRALDC,PVALUE_BRAIN_STEM,PVALUE_CTX_LH_BANKSSTS,PVALUE_CTX_LH_CAUDALANTERIORCINGULATE,PVALUE_CTX_LH_CAUDALMIDDLEFRONTAL,PVALUE_CTX_LH_CUNEUS,PVALUE_CTX_LH_ENTORHINAL,PVALUE_CTX_LH_FRONTALPOLE,PVALUE_CTX_LH_FUSIFORM,PVALUE_CTX_LH_INFERIORPARIETAL,PVALUE_CTX_LH_INFERIORTEMPORAL,PVALUE_CTX_LH_INSULA,PVALUE_CTX_LH_ISTHMUSCINGULATE,PVALUE_CTX_LH_LATERALOCCIPITAL,PVALUE_CTX_LH_LATERALORBITOFRONTAL,PVALUE_CTX_LH_LINGUAL,PVALUE_CTX_LH_MEDIALORBITOFRONTAL,PVALUE_CTX_LH_MIDDLETEMPORAL,PVALUE_CTX_LH_PARACENTRAL,PVALUE_CTX_LH_PARAHIPPOCAMPAL,PVALUE_CTX_LH_PARSOPERCULARIS,PVALUE_CTX_LH_PARSORBITALIS,PVALUE_CTX_LH_PARSTRIANGULARIS,PVALUE_CTX_LH_PERICALCARINE,PVALUE_CTX_LH_POSTCENTRAL,PVALUE_CTX_LH_POSTERIORCINGULATE,PVALUE_CTX_LH_PRECENTRAL,PVALUE_CTX_LH_PRECUNEUS,PVALUE_CTX_LH_ROSTRALANTERIORCINGULATE,PVALUE_CTX_LH_ROSTRALMIDDLEFRONTAL,PVALUE_CTX_LH_SUPERIORFRONTAL,PVALUE_CTX_LH_SUPERIORPARIETAL,PVALUE_CTX_LH_SUPERIORTEMPORAL,PVALUE_CTX_LH_SUPRAMARGINAL,PVALUE_CTX_LH_TEMPORALPOLE,PVALUE_CTX_LH_TRANSVERSETEMPORAL,PVALUE_CTX_LH_UNKNOWN,PVALUE_CTX_RH_BANKSSTS,PVALUE_CTX_RH_CAUDALANTERIORCINGULATE,PVALUE_CTX_RH_CAUDALMIDDLEFRONTAL,PVALUE_CTX_RH_CUNEUS,PVALUE_CTX_RH_ENTORHINAL,PVALUE_CTX_RH_FRONTALPOLE,PVALUE_CTX_RH_FUSIFORM,PVALUE_CTX_RH_INFERIORPARIETAL,PVALUE_CTX_RH_INFERIORTEMPORAL,PVALUE_CTX_RH_INSULA,PVALUE_CTX_RH_ISTHMUSCINGULATE,PVALUE_CTX_RH_LATERALOCCIPITAL,PVALUE_CTX_RH_LATERALORBITOFRONTAL,PVALUE_CTX_RH_LINGUAL,PVALUE_CTX_RH_MEDIALORBITOFRONTAL,PVALUE_CTX_RH_MIDDLETEMPORAL,PVALUE_CTX_RH_PARACENTRAL,PVALUE_CTX_RH_PARAHIPPOCAMPAL,PVALUE_CTX_RH_PARSOPERCULARIS,PVALUE_CTX_RH_PARSORBITALIS,PVALUE_CTX_RH_PARSTRIANGULARIS,PVALUE_CTX_RH_PERICALCARINE,PVALUE_CTX_RH_POSTCENTRAL,PVALUE_CTX_RH_POSTERIORCINGULATE,PVALUE_CTX_RH_PRECENTRAL,PVALUE_CTX_RH_PRECUNEUS,PVALUE_CTX_RH_ROSTRALANTERIORCINGULATE,PVALUE_CTX_RH_ROSTRALMIDDLEFRONTAL,PVALUE_CTX_RH_SUPERIORFRONTAL,PVALUE_CTX_RH_SUPERIORPARIETAL,PVALUE_CTX_RH_SUPERIORTEMPORAL,PVALUE_CTX_RH_SUPRAMARGINAL,PVALUE_CTX_RH_TEMPORALPOLE,PVALUE_CTX_RH_TRANSVERSETEMPORAL,PVALUE_CTX_RH_UNKNOWN,PVALUE_LEFT_ACCUMBENS_AREA,PVALUE_LEFT_AMYGDALA,PVALUE_LEFT_CAUDATE,PVALUE_LEFT_CEREBELLUM_CORTEX,PVALUE_LEFT_CEREBELLUM_WHITE_MATTER,PVALUE_LEFT_CEREBRAL_WHITE_MATTER,PVALUE_LEFT_HIPPOCAMPUS,PVALUE_LEFT_PALLIDUM,PVALUE_LEFT_PUTAMEN,PVALUE_LEFT_THALAMUS_PROPER,PVALUE_LEFT_VENTRALDC,PVALUE_RIGHT_ACCUMBENS_AREA,PVALUE_RIGHT_AMYGDALA,PVALUE_RIGHT_CAUDATE,PVALUE_RIGHT_CEREBELLUM_CORTEX,PVALUE_RIGHT_CEREBELLUM_WHITE_MATTER,PVALUE_RIGHT_CEREBRAL_WHITE_MATTER,PVALUE_RIGHT_HIPPOCAMPUS,PVALUE_RIGHT_PALLIDUM,PVALUE_RIGHT_PUTAMEN,PVALUE_RIGHT_THALAMUS_PROPER,PVALUE_RIGHT_VENTRALDC
5,9,1.053282393,0.706253479,0.7008057,0.802304682,0.768616943,0.635286204,0.947812343,0.643911159,0.818690721,0.765487491,0.518380686,0.676673514,0.941063993,0.832017439,0.598095654,0.638786433,0.769723704,0.819521675,0.507756061,0.740520285,1.022092412,0.829046988,0.507540291,0.877571519,0.649632497,0.811356085,0.67701724,0.669946568,0.844726421,0.733708863,0.850185532,0.679026544,0.787200815,0.756413933,0.568421005,0.784161283,0.6627619,0.701696325,0.786990932,0.755604765,0.667262234,0.956471529,0.641316396,0.77951363,0.764047932,0.472951291,0.688184418,0.897933313,0.843029289,0.583720912,0.69872282,0.752985818,0.794951069,0.546153139,0.735605042,0.96463056,0.846420123,0.467939057,0.86139234,0.650297426,0.820312495,0.652711164,0.716839479,0.843462915,0.734455564,0.834530281,0.677309068,0.771437562,0.744442751,0.593178644,0.800822108,0.062653677,0.470234149,0.512864862,0.604347321,1.062123399,1.085444656,0.582013296,0.750923458,0.458878872,0.714464485,1.000459908,0.158031456,0.460665956,0.510118196,0.599674114,1.068240592,1.080201652,0.581030515,0.838690425,0.428900917,0.67444396,0.962479697,1.051675727,1.313961097,1.325375882,1.316545904,0.733201445,0.805994214,1.238500394,1.04415012,1.199184746,1.160426131,0.994068942,1.21132743,0.827338665,1.38796404,0.746518198,1.400870868,1.091504086,1.174310445,0.78707167,1.322319783,1.390485793,1.327439761,0.747750644,1.126940028,1.27651772,1.037325451,1.375370186,1.368380284,1.397732591,1.293606294,1.172403633,1.134461708,1.189292534,1.031566622,1.391203109,0.809731866,1.357588141,1.336287975,1.361425642,0.766225969,0.812415735,1.228132484,1.019263343,1.217482015,1.165126006,0.975337638,1.254744924,0.898174721,1.39893917,0.769338981,1.485944873,1.118424299,1.196725546,0.850782723,1.357519989,1.397666082,1.348025298,0.797154632,1.183400179,1.241422992,1.073441477,1.367517048,1.397712463,1.45999621,1.349028953,1.175907867,1.163858875,1.187011156,0.990802063,1.405083907,0.887601649,0.730088106,0.790051614,0.971110273,0.564910899,1.040990258,1.094206212,0.711942166,0.823628252,0.816852398,0.934152845,1.059763132,0.80903751,0.779816636,0.972000627,0.569460714,1.052424834,1.092327882,0.720470471,0.836210734,0.827316318,0.900586291,1.032110004,0.8735,0,0,0,0.2277,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6911,0,0,0,0.7511,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2254,0,0,0,0.0012,0.0588,0.1164,0,0.0027,0,0,0,0,0,0,0.0157,0.1544,0.0234,0,0.8904,0,0,0
6,9,1.03536525,0.587253554,0.690193759,0.642164851,0.603104177,0.570545161,0.536736671,0.598275185,0.553593414,0.593765106,0.544592683,0.583355746,0.480512031,0.753566961,0.497157044,0.668062062,0.545521859,0.665089931,0.430920208,0.654230735,0.781666731,0.669396438,0.345339918,0.619718909,0.544108169,0.623969904,0.576610038,0.684554826,0.596496033,0.647887517,0.565505725,0.592044319,0.585877406,0.673261221,0.712077296,0.869957429,0.611596645,0.68208007,0.663827305,0.584641536,0.527362742,0.573248113,0.570999061,0.538686794,0.59422784,0.508443776,0.613229873,0.4822559,0.793180268,0.480665925,0.712820166,0.575672617,0.660323495,0.468130754,0.691914994,0.788573473,0.699170193,0.339165135,0.638444236,0.547577314,0.628993389,0.571460268,0.69874164,0.661000226,0.666051952,0.566791126,0.604483396,0.584409865,0.638204069,0.786422431,0.974192955,0.103405968,0.523227372,0.60953356,0.529029542,1.058709655,1.099384992,0.582941218,0.694198383,0.519889147,0.77809472,0.996447521,0.244982325,0.499383479,0.593772728,0.533538656,1.057772448,1.096177323,0.581292823,0.797576098,0.48735526,0.719465813,0.962026552,1.051762981,1.313881678,1.325364468,1.316581259,0.733368062,0.806115904,1.238528996,1.044642485,1.199282119,1.160255216,0.994366029,1.211429632,0.827622515,1.387916608,0.746408922,1.4007436,1.091558575,1.174338538,0.787287491,1.321805214,1.390438248,1.327542756,0.747277331,1.126671039,1.27647583,1.036994024,1.374663607,1.367824722,1.397840725,1.293314697,1.171941622,1.134367819,1.18883506,1.031781267,1.390778116,0.812188939,1.35698456,1.336111318,1.36212192,0.766015189,0.812063415,1.22850968,1.019448501,1.217456733,1.165086771,0.975511472,1.254608573,0.897987743,1.398695164,0.769492807,1.486255137,1.118998511,1.196694403,0.850924968,1.357582478,1.397558899,1.348253265,0.796458036,1.183457822,1.24160081,1.07312784,1.366620065,1.397676886,1.459859786,1.348552469,1.175570924,1.164326683,1.186767696,0.991195221,1.406101441,0.887426551,0.730319867,0.78965694,0.971044653,0.564927219,1.040958831,1.094228026,0.712160466,0.823457568,0.816779596,0.93438481,1.059853103,0.809057658,0.779525197,0.971967872,0.569456979,1.052504193,1.092336469,0.720437076,0.836055046,0.827215499,0.900576373,1.031986028,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1713,0,0,0,0.0002,0.1088,0.2451,0,0,0,0,0,0,0,0,0.0007,0.6257,0.3308,0,0.0851,0,0,0
10,17,1.142943185,0.675805286,1.007577737,0.869230605,0.738557851,0.818159751,0.754020803,0.629214197,0.712479853,0.666451277,0.684586947,0.863705585,0.694011112,0.833723174,0.58453975,0.793028903,0.732821045,0.970041225,0.699185975,0.828359674,0.882955967,0.892427549,0.281804173,0.86528717,0.926887262,0.858622471,0.768459525,0.818303257,0.831593585,0.813949715,0.821161418,0.754934406,0.729603177,0.839669511,0.934113387,1.33133986,0.691988838,0.985162722,0.853031251,0.690946022,0.812511454,0.763548156,0.666598717,0.731975266,0.708089702,0.63063886,0.864734487,0.699356341,0.848563127,0.620895767,0.892845524,0.73286668,0.90175354,0.723447314,0.821921086,0.877044531,0.864656671,0.286208482,0.909011265,0.917174159,0.856882042,0.702373553,0.944433799,0.828053161,0.823966452,0.806317084,0.749675061,0.778201691,0.771562333,0.989446423,1.405648442,0.16763993,0.548589084,0.803946426,0.645515743,1.048692946,1.049796827,0.667020751,0.853160852,0.589913706,0.903147887,1.110650519,0.292472915,0.579436241,0.821529469,0.660046136,1.082827278,1.07876807,0.684756368,0.873091681,0.558071424,0.89768481,1.129570635,1.040662231,0.88058896,1.039581868,1.089583866,0.591432788,0.71996142,1.162711224,0.742731621,0.88592011,0.851157194,0.749638333,0.806240152,0.686517193,1.188716281,0.556890418,1.060208285,0.855099128,0.853233847,0.625735462,1.136771355,1.346619209,1.15848187,0.361731209,0.821418865,0.905300554,0.822924646,0.910948524,1.161978484,1.218254799,1.048626751,0.829985016,0.813670307,0.926191539,0.944765967,0.75039735,0.810864609,0.795042106,1.01433404,1.000442477,0.614447342,0.674233418,1.111032877,0.668782304,0.795858529,0.790555524,0.681038978,0.775516281,0.704377101,1.130059023,0.541928097,1.086005195,0.789853612,0.775970655,0.634417901,1.078047294,1.246102801,1.124153673,0.325914533,0.752726498,0.839365941,0.760343132,0.803382035,1.120012695,1.149414624,1.008470433,0.768443603,0.753901431,0.817408789,0.886157955,0.683727213,0.890556727,0.332264373,0.541893592,0.737990237,0.561235381,1.033950687,1.09691515,0.590302819,0.68633178,0.592475211,0.792824279,1.00149561,0.383352101,0.505433604,0.668670152,0.565969533,1.044330484,1.090653572,0.586216176,0.829879634,0.54879162,0.73909094,0.988482224,0,0.0001,0.5672,0,0.0023,0.1153,0,0,0,0,0.0776,0.1219,0.8907,0,0.484,0.0001,0.0019,0.0046,0.1198,0,0,0,0.1693,0.2775,0.6492,0.2878,0.0004,0,0,0,0.8196,0.209,0,0.0827,0.0109,0,0.0125,0.5281,0.0023,0.0256,0.0669,0,0.956,0.1303,0.0082,0.198,0.0075,0.9131,0,0.0354,0.0026,0.087,0.0001,0.0695,0,0,0,0.4362,0,0.0857,0.001,0.0079,0.0149,0,0.0001,0.3684,0.9307,0.2824,0.0601,0,0.0005,0.0185,0.8945,0.1443,0,0.4517,0,0.0647,0,0.9571,0.0003,0.0004,0.1028,0.0909,0.0004,0,0.0466,0.0456,0.0031,0.183,0.7873,0,0
0,20,1.047480614,1.541830046,1.481303746,1.611179957,1.008687958,0.835403491,1.690422389,1.195212031,1.589198521,1.415379046,1.012567889,1.400348254,1.339112561,1.530865823,0.982025763,1.463374148,1.401229197,1.458823672,0.876022848,1.500495539,1.72537709,1.591725873,1.125984586,1.484083563,1.453678285,1.313786994,1.670629752,1.407052343,1.751241391,1.50687768,1.577108361,1.284570317,1.499543005,1.064986717,1.370508123,0.710523443,1.552582167,1.39505924,1.612926951,0.98084591,0.843242802,1.706360937,1.188402982,1.587239274,1.413848887,0.984607423,1.443184634,1.349414392,1.548400834,0.97940551,1.543284766,1.400223822,1.45143782,0.944064053,1.514705126,1.67714468,1.601411082,1.151389001,1.50215909,1.442596733,1.337201779,1.642205862,1.395951276,1.787251139,1.521934873,1.551906087,1.294616616,1.489797418,1.054450448,1.338318418,0.713860753,0.706388628,0.770517819,0.868075087,0.599593071,1.046538909,1.08969457,0.702156723,0.769213945,0.79999087,0.853526628,1.03843216,0.765550098,0.764678103,0.855639429,0.602906072,1.047153154,1.083482082,0.703212981,0.808589548,0.792034077,0.824311775,1.027341039,1.059810772,1.119992899,1.149909104,1.064371453,0.588609977,0.664425593,1.345503232,0.798479452,1.093734601,0.966840528,0.781366418,1.073442906,0.852264826,1.238282426,0.561497377,1.209622494,0.942675938,0.815854829,0.657145667,1.122020244,1.400324173,1.227376364,0.4362,0.862112625,1.127933927,0.756373679,1.146864207,1.207674977,1.351283086,1.082251551,1.035879564,0.895314535,1.087489163,0.770152435,0.864708954,0.790735333,1.249810555,1.147000379,1.195847824,0.684727615,0.68103202,1.320345142,0.83203444,1.222599915,0.999317444,0.790247609,1.151832727,0.960965395,1.283079574,0.609099286,1.294109189,1.021944584,0.932337202,0.709025097,1.232369988,1.435510059,1.32415307,0.65030492,0.960134333,1.166887867,0.839251947,1.254109884,1.137722647,1.435568837,1.15486382,1.163380615,0.989370855,1.175983292,0.746658364,1.03127727,0.894585248,0.45914331,0.591841419,0.813020054,0.537394375,1.082300179,1.100502926,0.625140251,0.809656838,0.697917044,0.825373571,1.016651295,0.628342031,0.583189682,0.808776869,0.539922842,1.077244116,1.09352517,0.618782208,0.856879715,0.726623892,0.804391089,0.987696444,0.4511,0,0.0001,0,0,0.0131,0.0004,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0.4525,0,0,0,0.0004,0.0213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.1431,0.0009,0.0009,0.1635,0.0029,0.0486,0.1634,0.0492,0.1924,0.0031,0.2756,0.3468,0.0742,0.0015,0.2435,0.003,0.1014,0.2717,0.0205,0.0738,0.0861,0.4673,0.1227
5,6,1.053358823,0.705922749,0.700676691,0.802282227,0.768824035,0.6351233,0.948253489,0.643912571,0.818743382,0.765271076,0.518339583,0.676537004,0.941403479,0.83212839,0.598490999,0.638607247,0.769589293,0.819567043,0.507463905,0.740636376,1.022283894,0.829106216,0.507669924,0.877857146,0.649666441,0.811090941,0.676871378,0.67001005,0.844783244,0.733502548,0.850250525,0.678846908,0.787226573,0.756114422,0.56800961,0.783928977,0.662833366,0.70173828,0.787260649,0.755979898,0.667012541,0.956401377,0.641544973,0.779870399,0.76421507,0.472858289,0.687883985,0.897697467,0.842758453,0.584094463,0.69881516,0.752979152,0.79496104,0.546028257,0.735514272,0.964535243,0.846669866,0.467687725,0.861233578,0.650236869,0.820408931,0.652595203,0.716823423,0.843482227,0.734654524,0.835111048,0.676980443,0.771195164,0.744629372,0.593305245,0.80062817,0.062771298,0.470134821,0.512846993,0.604116264,1.061964121,1.085410177,0.582083139,0.751256321,0.458804243,0.714601833,1.00058555,0.157917527,0.460482013,0.510266665,0.599624094,1.068374064,1.080176812,0.580973451,0.838580356,0.428704676,0.674481121,0.962454153,1.035367127,0.587107697,0.690475974,0.642345956,0.603264097,0.570611436,0.536604702,0.598608142,0.553594576,0.593501021,0.54461808,0.583252281,0.480275971,0.753400868,0.497056953,0.668078816,0.545595598,0.665242687,0.430845708,0.654415146,0.78158352,0.669287676,0.345060423,0.619891309,0.543986716,0.62363029,0.576438481,0.68467599,0.596644955,0.647948569,0.56572167,0.591745183,0.586136962,0.673416813,0.712117107,0.87043366,0.611869869,0.681820727,0.663877942,0.584616494,0.527405359,0.573396473,0.571117491,0.538857937,0.59436796,0.50836503,0.613327751,0.482391737,0.793134615,0.480563715,0.712863158,0.575594556,0.660087284,0.468363988,0.692119765,0.788712106,0.699277381,0.339220994,0.638265002,0.547554591,0.628864384,0.571551422,0.69851156,0.661035907,0.666190187,0.56692503,0.604535515,0.584428103,0.63804509,0.786114989,0.974354829,0.103483864,0.523325688,0.609479372,0.529193054,1.05856245,1.099387986,0.582890108,0.694077364,0.520006661,0.77803726,0.996338666,0.24476038,0.499314258,0.593647842,0.53347629,1.057937253,1.096172737,0.581416454,0.797700129,0.487232032,0.719239324,0.962015316,0.0637,0,0.6239,0,0,0.0012,0,0.0031,0,0,0.0236,0,0,0,0,0.1175,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0.0671,0.0023,0.2431,0,0,0,0,0,0,0,0.0068,0.0001,0,0.0042,0,0.459,0,0,0,0.01,0,0,0.0006,0,0,0,0,0.2655,0,0,0,0,0,0,0,0,0.0115,0.0006,0,0,0.7157,0.0038,0.9472,0.0119,0,0,0.7432,0.0001,0.0046,0,0,0.2825,0.0005,0.9801,0.028,0,0.001,0.973
