pattern,0.0,1.0,3.0,4.0,5.0,7.0,10.0,11.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,22.0,23.0,24.0,25.0,26.0,27.0,29.0,33.0,34.0,35.0,37.0,38.0,39.0,40.0,42.0,45.0,48.0,56.0,63.0,65.0,67.0,68.0,77.0,AD,AD-AD,AD-MCI,AD-N,AD-SMC,APOE4_BIN,Gender,Handedness,MCI,MCI-AD,MCI-MCI,MCI-N,MCI-SMC,N,N-AD,N-MCI,N-N,N-SMC,SMC,SMC-AD,SMC-MCI,SMC-N,SMC-SMC,UW_EF_slope,UW_MEM_slope,WMH_slope,cortical_summary,cortical_summary_change,count_post,count_prior,neg-neg,neg-pos,pos-neg,pos-pos
0.0,0.631578947368,0.0,0.0,0.0,0.0526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.263157894737,0.0,0.0,0.0,0.0,0.0,0.179487179487,0.105263157895,0.0,0.0,0.0,0.789473684211,1.63157894737,1.0,0.692307692308,0.368421052632,0.421052631579,0.0,0.0,0.128205128205,0.0526315789474,0.0,0.0526315789474,0.0,0.0,0.0,0.0,0.0,0.0,-0.293806315789,-0.204318947368,0.000602222222222,1.26390480405,0.0584942042685,20.0,19.0,0.0,0.0,0.0,1.0
1.0,0.0,0.909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909091,0.0,0.0,0.4,0.181818181818,0.0,0.0,0.0,0.909090909091,1.09090909091,1.18181818182,0.56,0.454545454545,0.272727272727,0.0,0.0,0.04,0.0,0.0909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.244849090909,-0.26975,0.000257777777778,1.30893488086,0.0507166780242,14.0,11.0,0.0,0.0,0.0,1.0
3.0,0.222222222222,0.0,0.555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.555555555556,1.66666666667,1.11111111111,0.7,0.0,0.444444444444,0.444444444444,0.0,0.3,0.0,0.0,0.111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0657988888889,0.0721488888889,5.75e-05,0.885545630673,0.0301300354101,11.0,9.0,0.222222222222,0.444444444444,0.111111111111,0.222222222222
4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.66666666667,1.0,0.375,0.0,0.333333333333,0.0,0.0,0.625,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-0.146143333333,-0.01069,0.00211333333333,0.810997777493,0.0285982968111,5.0,3.0,1.0,0.0,0.0,0.0
5.0,0.030303030303,0.0,0.0,0.0,0.878787878788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0606060606061,0.0,0.0,0.0,0.0,0.0,0.181818181818,0.030303030303,0.030303030303,0.0,0.0,0.818181818182,1.48484848485,1.06060606061,0.651515151515,0.272727272727,0.484848484848,0.0,0.0,0.136363636364,0.0,0.0,0.151515151515,0.0,0.030303030303,0.0,0.0,0.0,0.030303030303,-0.0698578787879,-0.202025454545,0.000126296296296,1.46318026223,0.0514566649245,33.0,33.0,0.0,0.0,0.0,1.0
7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,1.2,0.615384615385,0.0,0.8,0.0,0.0,0.384615384615,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.005028,0.084634,0.000474,0.800347665065,0.0335897857754,8.0,5.0,0.6,0.4,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.333333333333,0.0,0.0,0.0,0.333333333333,1.33333333333,1.0,0.25,0.333333333333,0.0,0.0,0.0,0.25,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.12621,-0.11978,0.00086,0.772399891236,0.0257904194863,5.0,3.0,1.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789474,0.0,0.0,0.0,0.0,0.666666666667,1.11111111111,1.0,0.684210526316,0.111111111111,0.555555555556,0.222222222222,0.0,0.263157894737,0.0,0.0,0.111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0544777777778,0.0215833333333,-0.00014,0.709629089509,0.0177637405499,10.0,9.0,0.888888888889,0.111111111111,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,1.0,0.727272727273,0.0,0.8,0.0,0.0,0.272727272727,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.219972,-0.078356,0.000234,0.53219253822,-0.020325402775,6.0,5.0,1.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,1.33333333333,1.0,0.833333333333,0.0,0.666666666667,0.0,0.0,0.166666666667,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.0246733333333,0.0516333333333,0.000146666666667,0.982781822611,0.0528509728482,3.0,3.0,0.0,0.0,0.0,1.0
