"","X.Intercept.","diag_priorLMCI","diag_priorN","diag_priorSMC","CORTICAL_SUMMARY_prior","APOE4_BIN1","I.CORTICAL_SUMMARY_prior.2.","X1","X4","X22","X25","X9","X0","X34","X2","X19","Age.AV45","Gender1","Edu..Yrs.","CORTICAL_SUMMARY_prior.APOE4_BIN1","APOE4_BIN1.I.CORTICAL_SUMMARY_prior.2.","APOE4_BIN1.X1","APOE4_BIN1.X4","APOE4_BIN1.X22","APOE4_BIN1.X25","APOE4_BIN1.X9","APOE4_BIN1.X0","APOE4_BIN1.X34","APOE4_BIN1.X2","APOE4_BIN1.X19","estimate","stderr","zvalue","pvalues"
"26",0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0123264827725249,0.00488912992087643,-2.52120172137197,0.224531897497863
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000336713654270708,0.00228872451164883,-0.147118472562753,0.99999999915697
"28",0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136402732062028,0.00412324803046822,-3.30813793043972,0.0270211666958944
"29",0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018331021194358,0.00535841055770934,3.42098109074239,0.0188870424709286
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000812292742952264,0.0032893443309942,0.246946704636042,0.999999914877417
"31",0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000665263383401723,0.00689762497227571,-0.0964481812327693,0.999999999981004
"32",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113245057348524,0.00545388634145604,2.07641029274348,0.49906828524331
"33",0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00197905381707966,0.00650458186606732,-0.304255347665598,0.999999459126887
"34",0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299922405834812,0.00710388698826985,4.22194787628311,0.000864859289140707
"35",0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124735121320754,0.00586859651470093,2.12546766519543,0.463637778652198
"36",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119897691182542,0.00503370732500305,2.38189635275366,0.298347788251086
"37",0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00131379043367793,0.00578875748681829,-0.226955514489871,0.999999959786426
"38",0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306575039668829,0.00672395132244359,4.55944763677163,0.000173166897417198
"39",0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131387755154771,0.00542936607697283,2.41994651478773,0.277450475408272
"40",0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0133035595519321,0.00413428863084978,-3.21785940455677,0.0366397708217311
"41",0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186677348486287,0.00534654249353763,3.49155269432394,0.0145131770937732
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00114900639722297,0.00322881627993588,0.355859949159384,0.99999785365564
"43",0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319712944005608,0.00621851495554622,5.14130698874431,1.8515681829423e-05
"44",0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144525659491551,0.00471493928816916,3.06527084779645,0.0562103208771307
"45",0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0175187284514058,0.00584706527493141,-2.99615749571246,0.0694091350899808
