Rank (Derivative of Change),0.5,0.50_val,0.55,0.55_val,0.6,0.60_val,0.65,0.65_val,0.7,0.70_val,0.75,0.75_val,0.81,0.81_val,0.85,0.85_val,0.9,0.90_val,0.95,0.95_val,1.01,1.01_val,1.05,1.05_val,1.1,1.10_val,1.16,1.16_val,1.2,1.20_val,1.25,1.25_val,1.3,1.30_val,1.35,1.35_val
0,ctx-rh-lateralorbitofrontal,9.35E-07,ctx-rh-lateralorbitofrontal,4.23E-05,ctx-rh-parsopercularis,3.99E-05,ctx-rh-caudalanteriorcingulate,9.26E-05,ctx-rh-medialorbitofrontal,0.000141854,ctx-rh-medialorbitofrontal,0.000187331,ctx-rh-frontalpole,0.000266246,ctx-rh-frontalpole,0.000326562,ctx-rh-frontalpole,0.000346621,ctx-lh-frontalpole,0.000352234,ctx-lh-frontalpole,0.000341598,ctx-lh-frontalpole,0.000307142,ctx-lh-frontalpole,0.000243688,ctx-lh-frontalpole,0.000130782,ctx-rh-caudalmiddlefrontal,7.95E-05,ctx-rh-caudalmiddlefrontal,3.15E-05,ctx-rh-parsopercularis,1.55E-05,ctx-rh-parsopercularis,4.02E-06
1,ctx-lh-frontalpole,8.07E-07,ctx-lh-frontalpole,3.51E-05,ctx-lh-frontalpole,3.78E-05,ctx-rh-parsopercularis,8.23E-05,ctx-rh-parsopercularis,0.000141588,ctx-lh-precuneus,0.000182573,ctx-rh-precuneus,0.000246339,ctx-lh-frontalpole,0.00029685,ctx-lh-frontalpole,0.000340043,ctx-rh-frontalpole,0.000331799,ctx-rh-frontalpole,0.000298921,ctx-rh-frontalpole,0.000247968,ctx-rh-caudalmiddlefrontal,0.000185185,ctx-rh-caudalmiddlefrontal,0.000125293,ctx-rh-parsorbitalis,6.34E-05,ctx-rh-parsopercularis,3.01E-05,ctx-rh-caudalmiddlefrontal,1.14E-05,ctx-rh-caudalmiddlefrontal,2.59E-06
2,ctx-rh-parstriangularis,5.32E-07,ctx-rh-parstriangularis,2.33E-05,ctx-lh-rostralanteriorcingulate,2.83E-05,ctx-lh-parstriangularis,6.43E-05,ctx-lh-parstriangularis,0.00012856,ctx-lh-medialorbitofrontal,0.00018239,ctx-lh-superiorfrontal,0.000240158,ctx-rh-precuneus,0.000281289,ctx-lh-superiorparietal,0.000297096,ctx-rh-rostralmiddlefrontal,0.000291419,ctx-rh-rostralmiddlefrontal,0.00027529,ctx-rh-rostralmiddlefrontal,0.000240471,ctx-rh-rostralmiddlefrontal,0.000180103,ctx-lh-caudalmiddlefrontal,0.000105497,ctx-rh-parstriangularis,6.06E-05,ctx-rh-parsorbitalis,2.63E-05,ctx-rh-parsorbitalis,8.89E-06,ctx-rh-parsorbitalis,1.88E-06
3,ctx-rh-parsopercularis,4.11E-07,ctx-rh-parsopercularis,1.93E-05,ctx-lh-medialorbitofrontal,2.70E-05,ctx-rh-posteriorcingulate,4.97E-05,ctx-rh-caudalanteriorcingulate,0.000125779,ctx-lh-rostralmiddlefrontal,0.000169335,ctx-rh-rostralmiddlefrontal,0.000240142,ctx-rh-rostralmiddlefrontal,0.000275897,ctx-rh-rostralmiddlefrontal,0.000293103,ctx-lh-superiorparietal,0.00029074,ctx-rh-superiorparietal,0.000269343,ctx-rh-superiorparietal,0.000226964,ctx-rh-frontalpole,0.000178947,ctx-rh-parstriangularis,0.000102708,ctx-lh-caudalmiddlefrontal,6.04E-05,ctx-lh-lateralorbitofrontal,1.98E-05,ctx-rh-middletemporal,7.63E-06,ctx-rh-middletemporal,1.81E-06
4,ctx-lh-medialorbitofrontal,3.59E-07,ctx-lh-medialorbitofrontal,1.66E-05,ctx-rh-lateralorbitofrontal,2.59E-05,ctx-rh-inferiorparietal,3.84E-05,ctx-lh-rostralmiddlefrontal,9.51E-05,ctx-lh-parsopercularis,0.000161391,ctx-lh-medialorbitofrontal,0.000238137,ctx-lh-superiorparietal,0.000267157,ctx-rh-superiorparietal,0.000284646,ctx-rh-superiorparietal,0.000288297,ctx-lh-superiorparietal,0.000260303,ctx-rh-caudalmiddlefrontal,0.000213774,ctx-lh-caudalmiddlefrontal,0.000167722,ctx-rh-parsorbitalis,9.23E-05,ctx-lh-lateralorbitofrontal,5.99E-05,ctx-rh-middletemporal,1.97E-05,ctx-lh-lateralorbitofrontal,4.05E-06,ctx-rh-parstriangularis,5.93E-07
5,ctx-rh-isthmuscingulate,3.35E-07,ctx-rh-isthmuscingulate,1.27E-05,ctx-rh-parstriangularis,1.69E-05,ctx-lh-caudalanteriorcingulate,3.47E-05,ctx-lh-precuneus,8.76E-05,ctx-lh-superiorfrontal,0.000155804,ctx-lh-precuneus,0.00023808,ctx-lh-superiorfrontal,0.000260013,ctx-rh-precuneus,0.000280073,ctx-lh-rostralmiddlefrontal,0.000252342,ctx-lh-rostralmiddlefrontal,0.000240053,ctx-lh-rostralmiddlefrontal,0.0002133,ctx-lh-rostralmiddlefrontal,0.000166087,ctx-lh-lateralorbitofrontal,9.00E-05,ctx-lh-frontalpole,5.42E-05,ctx-rh-parstriangularis,1.81E-05,ctx-rh-parstriangularis,3.92E-06,ctx-lh-superiortemporal,4.97E-07
6,ctx-lh-parsopercularis,2.75E-07,ctx-lh-parsopercularis,1.18E-05,ctx-rh-superiortemporal,9.80E-06,ctx-lh-rostralanteriorcingulate,3.25E-05,ctx-lh-middletemporal,8.55E-05,ctx-lh-rostralanteriorcingulate,0.000152201,ctx-lh-frontalpole,0.000237298,ctx-lh-caudalmiddlefrontal,0.000256873,ctx-lh-superiorfrontal,0.000262802,ctx-lh-superiorfrontal,0.000252341,ctx-lh-superiorfrontal,0.000232601,ctx-lh-superiorparietal,0.000204633,ctx-rh-parstriangularis,0.000160708,ctx-lh-superiortemporal,8.94E-05,ctx-lh-superiortemporal,5.01E-05,ctx-lh-caudalmiddlefrontal,1.50E-05,ctx-lh-superiortemporal,3.17E-06,ctx-lh-lateralorbitofrontal,4.93E-07
7,ctx-lh-lateralorbitofrontal,1.75E-07,ctx-lh-lateralorbitofrontal,5.97E-06,ctx-lh-parsopercularis,4.06E-06,ctx-rh-medialorbitofrontal,2.72E-05,ctx-lh-lateralorbitofrontal,8.29E-05,ctx-lh-lateralorbitofrontal,0.000148905,ctx-lh-caudalmiddlefrontal,0.000234281,ctx-lh-precuneus,0.000255056,ctx-lh-caudalmiddlefrontal,0.000258064,ctx-rh-precuneus,0.000251464,ctx-lh-caudalmiddlefrontal,0.000229752,ctx-lh-caudalmiddlefrontal,0.000204423,ctx-rh-superiorparietal,0.000158162,ctx-rh-middletemporal,8.35E-05,ctx-rh-middletemporal,4.99E-05,ctx-lh-superiortemporal,1.44E-05,ctx-lh-caudalmiddlefrontal,1.33E-06,ctx-rh-rostralanteriorcingulate,-5.75E-08
8,ctx-lh-rostralanteriorcingulate,8.39E-08,ctx-lh-rostralanteriorcingulate,4.95E-06,ctx-lh-caudalanteriorcingulate,-9.17E-07,ctx-lh-superiortemporal,2.64E-05,ctx-lh-parsopercularis,8.25E-05,ctx-rh-isthmuscingulate,0.000147144,ctx-lh-rostralmiddlefrontal,0.000226679,ctx-rh-superiorparietal,0.000247737,ctx-lh-rostralmiddlefrontal,0.000254298,ctx-lh-posteriorcingulate,0.000249117,ctx-lh-posteriorcingulate,0.000229084,ctx-lh-superiorfrontal,0.000199977,ctx-lh-superiortemporal,0.000150808,ctx-lh-rostralmiddlefrontal,8.13E-05,ctx-rh-parsopercularis,4.61E-05,ctx-rh-rostralanteriorcingulate,2.65E-06,ctx-rh-rostralanteriorcingulate,2.35E-07,ctx-lh-caudalmiddlefrontal,-2.01E-07
9,ctx-rh-middletemporal,6.95E-08,ctx-rh-middletemporal,2.24E-06,ctx-rh-middletemporal,-8.41E-06,ctx-lh-middletemporal,2.14E-05,ctx-rh-superiorfrontal,7.23E-05,ctx-rh-middletemporal,0.000145448,ctx-rh-isthmuscingulate,0.000223534,ctx-lh-rostralmiddlefrontal,0.000245001,ctx-lh-posteriorcingulate,0.000254045,ctx-lh-caudalmiddlefrontal,0.000246895,ctx-rh-caudalmiddlefrontal,0.000226198,ctx-rh-superiorfrontal,0.000195262,ctx-lh-superiorfrontal,0.000150453,ctx-rh-frontalpole,8.04E-05,ctx-lh-rostralmiddlefrontal,2.43E-05,ctx-lh-middletemporal,-2.59E-06,ctx-rh-isthmuscingulate,-3.55E-06,ctx-rh-isthmuscingulate,-6.96E-07
