Rank (Derivative of Change),0.5,0.50_val,0.55,0.55_val,0.6,0.60_val,0.65,0.65_val,0.7,0.70_val,0.75,0.75_val,0.81,0.81_val,0.85,0.85_val,0.9,0.90_val,0.95,0.95_val,1.01,1.01_val,1.05,1.05_val,1.1,1.10_val,1.16,1.16_val,1.2,1.20_val,1.25,1.25_val,1.3,1.30_val,1.35,1.35_val
10,ctx-rh-parsorbitalis,3.81E-08,ctx-rh-superiortemporal,-9.37E-07,ctx-lh-lateralorbitofrontal,-9.29E-06,ctx-lh-inferiorparietal,1.86E-05,ctx-rh-posteriorcingulate,7.18E-05,ctx-lh-caudalmiddlefrontal,0.000144463,ctx-rh-medialorbitofrontal,0.000221178,ctx-lh-inferiorparietal,0.000236229,ctx-lh-precuneus,0.000253577,ctx-rh-superiorfrontal,0.000238944,ctx-rh-superiorfrontal,0.000224662,ctx-rh-parstriangularis,0.000193247,ctx-rh-superiorfrontal,0.000146837,ctx-rh-rostralmiddlefrontal,7.51E-05,ctx-lh-parsopercularis,2.33E-05,ctx-lh-rostralanteriorcingulate,-5.20E-06,ctx-lh-middletemporal,-4.66E-06,ctx-lh-middletemporal,-1.47E-06
11,ctx-rh-superiortemporal,-1.93E-08,ctx-rh-parsorbitalis,-2.25E-06,ctx-rh-isthmuscingulate,-1.25E-05,ctx-rh-superiortemporal,1.84E-05,ctx-lh-rostralanteriorcingulate,7.06E-05,ctx-rh-superiortemporal,0.000141732,ctx-lh-supramarginal,0.000216378,ctx-lh-posteriorcingulate,0.000234459,ctx-lh-inferiorparietal,0.00024065,ctx-lh-precuneus,0.000233237,ctx-lh-superiortemporal,0.000213904,ctx-lh-posteriorcingulate,0.000192921,ctx-lh-posteriorcingulate,0.000139193,ctx-lh-superiorfrontal,7.02E-05,ctx-rh-frontalpole,2.19E-05,ctx-rh-lateralorbitofrontal,-6.74E-06,ctx-lh-rostralanteriorcingulate,-6.25E-06,ctx-lh-rostralanteriorcingulate,-1.96E-06
12,ctx-rh-rostralanteriorcingulate,-2.57E-08,ctx-rh-rostralanteriorcingulate,-3.25E-06,ctx-rh-rostralanteriorcingulate,-2.28E-05,ctx-lh-rostralmiddlefrontal,1.82E-05,ctx-lh-caudalmiddlefrontal,6.37E-05,ctx-rh-parsopercularis,0.00014084,ctx-lh-superiorparietal,0.000209291,ctx-lh-supramarginal,0.000233383,ctx-rh-superiorfrontal,0.000240186,ctx-rh-caudalmiddlefrontal,0.000228261,ctx-rh-parstriangularis,0.000213396,ctx-lh-superiortemporal,0.000189367,ctx-rh-middletemporal,0.000138456,ctx-rh-superiorfrontal,6.57E-05,ctx-lh-middletemporal,2.05E-05,ctx-lh-caudalanteriorcingulate,-9.13E-06,ctx-lh-caudalanteriorcingulate,-7.65E-06,ctx-lh-caudalanteriorcingulate,-2.25E-06
13,ctx-lh-precuneus,-1.88E-07,ctx-lh-precuneus,-1.11E-05,ctx-lh-superiortemporal,-2.55E-05,ctx-lh-supramarginal,1.21E-05,ctx-lh-caudalanteriorcingulate,5.68E-05,ctx-lh-middletemporal,0.000140519,ctx-lh-inferiorparietal,0.000204696,ctx-lh-medialorbitofrontal,0.000229748,ctx-rh-parstriangularis,0.000228416,ctx-lh-superiortemporal,0.000226387,ctx-rh-precuneus,0.000208224,ctx-rh-middletemporal,0.000174344,ctx-rh-parsorbitalis,0.00012761,ctx-lh-parsopercularis,6.25E-05,ctx-lh-superiorfrontal,1.95E-05,ctx-lh-frontalpole,-1.01E-05,ctx-rh-lateralorbitofrontal,-9.07E-06,ctx-rh-lateralorbitofrontal,-2.90E-06
14,ctx-lh-parsorbitalis,-1.94E-07,ctx-rh-medialorbitofrontal,-1.19E-05,ctx-rh-inferiorparietal,-2.76E-05,ctx-lh-lateralorbitofrontal,9.86E-06,ctx-rh-inferiorparietal,5.60E-05,ctx-lh-isthmuscingulate,0.000137784,ctx-lh-isthmuscingulate,0.000204142,ctx-rh-parsorbitalis,0.000227305,ctx-lh-superiortemporal,0.00022838,ctx-rh-parstriangularis,0.00022464,ctx-lh-precuneus,0.000199157,ctx-lh-middletemporal,0.000154325,ctx-lh-superiorparietal,0.000123136,ctx-lh-posteriorcingulate,5.97E-05,ctx-rh-lateralorbitofrontal,1.95E-05,ctx-lh-medialorbitofrontal,-1.03E-05,ctx-lh-medialorbitofrontal,-1.12E-05,ctx-lh-posteriorcingulate,-3.40E-06
15,ctx-rh-medialorbitofrontal,-2.14E-07,ctx-lh-parsorbitalis,-1.27E-05,ctx-rh-precuneus,-3.22E-05,ctx-lh-caudalmiddlefrontal,7.00E-06,ctx-rh-supramarginal,5.55E-05,ctx-lh-caudalanteriorcingulate,0.000135475,ctx-rh-inferiorparietal,0.000202778,ctx-rh-inferiorparietal,0.000226149,ctx-rh-inferiorparietal,0.00022772,ctx-lh-inferiorparietal,0.000222775,ctx-rh-middletemporal,0.000198334,ctx-rh-inferiorparietal,0.000152824,ctx-lh-lateralorbitofrontal,0.000116496,ctx-lh-medialorbitofrontal,5.54E-05,ctx-lh-medialorbitofrontal,1.94E-05,ctx-lh-parsopercularis,-1.11E-05,ctx-rh-superiortemporal,-1.16E-05,ctx-rh-superiortemporal,-3.44E-06
16,ctx-rh-rostralmiddlefrontal,-2.37E-07,ctx-rh-rostralmiddlefrontal,-1.40E-05,ctx-lh-parstriangularis,-3.58E-05,ctx-rh-precuneus,6.37E-06,ctx-rh-rostralanteriorcingulate,5.44E-05,ctx-rh-rostralmiddlefrontal,0.000133229,ctx-rh-middletemporal,0.00020115,ctx-rh-superiorfrontal,0.000223221,ctx-rh-caudalmiddlefrontal,0.000222688,ctx-rh-inferiorparietal,0.000213077,ctx-lh-inferiorparietal,0.000193453,ctx-lh-inferiorparietal,0.000152126,ctx-lh-parsopercularis,0.000114306,ctx-lh-middletemporal,5.33E-05,ctx-lh-posteriorcingulate,1.53E-05,ctx-rh-isthmuscingulate,-1.22E-05,ctx-lh-posteriorcingulate,-1.17E-05,ctx-lh-medialorbitofrontal,-3.45E-06
17,ctx-lh-parstriangularis,-2.97E-07,ctx-lh-parstriangularis,-1.69E-05,ctx-lh-isthmuscingulate,-3.78E-05,ctx-rh-rostralanteriorcingulate,6.14E-06,ctx-rh-middletemporal,5.29E-05,ctx-rh-precuneus,0.000132578,ctx-rh-parsorbitalis,0.000197883,ctx-rh-isthmuscingulate,0.000221953,ctx-lh-supramarginal,0.000220965,ctx-rh-middletemporal,0.000212418,ctx-rh-inferiorparietal,0.000188928,ctx-rh-parsorbitalis,0.000152081,ctx-lh-middletemporal,0.000112531,ctx-rh-parsopercularis,5.29E-05,ctx-rh-superiortemporal,1.48E-05,ctx-rh-superiortemporal,-1.22E-05,ctx-lh-parsopercularis,-1.26E-05,ctx-lh-parsopercularis,-3.91E-06
18,ctx-rh-caudalmiddlefrontal,-3.39E-07,ctx-lh-isthmuscingulate,-1.93E-05,ctx-rh-medialorbitofrontal,-3.95E-05,ctx-rh-parstriangularis,5.75E-06,ctx-rh-superiortemporal,5.17E-05,ctx-lh-superiortemporal,0.000128326,ctx-lh-parsorbitalis,0.000193945,ctx-rh-medialorbitofrontal,0.00021834,ctx-rh-parsorbitalis,0.00021968,ctx-lh-middletemporal,0.000201688,ctx-lh-middletemporal,0.00018384,ctx-rh-posteriorcingulate,0.000150183,ctx-lh-medialorbitofrontal,0.000108212,ctx-rh-superiorparietal,5.05E-05,ctx-rh-superiorfrontal,1.41E-05,ctx-lh-posteriorcingulate,-1.34E-05,ctx-lh-isthmuscingulate,-1.53E-05,ctx-lh-isthmuscingulate,-4.12E-06
19,ctx-lh-isthmuscingulate,-4.05E-07,ctx-rh-caudalmiddlefrontal,-2.02E-05,ctx-lh-superiorfrontal,-4.51E-05,ctx-lh-parsopercularis,5.21E-06,ctx-lh-inferiorparietal,5.08E-05,ctx-rh-supramarginal,0.000128255,ctx-lh-superiortemporal,0.000193285,ctx-rh-parstriangularis,0.000218302,ctx-rh-middletemporal,0.000218953,ctx-rh-parsorbitalis,0.000198089,ctx-rh-posteriorcingulate,0.000178314,ctx-rh-precuneus,0.000147233,ctx-rh-superiortemporal,0.000106328,ctx-rh-superiortemporal,5.04E-05,ctx-lh-rostralanteriorcingulate,1.08E-05,ctx-lh-superiorfrontal,-1.79E-05,ctx-rh-posteriorcingulate,-1.54E-05,ctx-rh-posteriorcingulate,-4.40E-06
20,ctx-rh-frontalpole,-4.65E-07,ctx-rh-frontalpole,-2.39E-05,ctx-rh-rostralmiddlefrontal,-4.65E-05,ctx-rh-supramarginal,-5.39E-07,ctx-rh-precuneus,4.09E-05,ctx-lh-frontalpole,0.000126114,ctx-rh-lateralorbitofrontal,0.000192932,ctx-lh-isthmuscingulate,0.000217089,ctx-lh-middletemporal,0.000209507,ctx-lh-supramarginal,0.000191764,ctx-rh-parsorbitalis,0.000175563,ctx-lh-precuneus,0.000146782,ctx-rh-posteriorcingulate,0.000105557,ctx-rh-lateralorbitofrontal,4.69E-05,ctx-rh-rostralmiddlefrontal,7.89E-06,ctx-lh-rostralmiddlefrontal,-1.98E-05,ctx-lh-inferiorparietal,-1.57E-05,ctx-lh-inferiorparietal,-4.45E-06
21,ctx-rh-supramarginal,-4.71E-07,ctx-rh-supramarginal,-2.48E-05,ctx-lh-parsorbitalis,-4.85E-05,ctx-lh-parsorbitalis,-6.58E-06,ctx-lh-medialorbitofrontal,3.95E-05,ctx-rh-caudalmiddlefrontal,0.000126019,ctx-rh-superiorfrontal,0.000191715,ctx-lh-superiortemporal,0.000216261,ctx-lh-medialorbitofrontal,0.000208239,ctx-rh-posteriorcingulate,0.000191004,ctx-lh-medialorbitofrontal,0.000166065,ctx-rh-superiortemporal,0.000141476,ctx-rh-inferiorparietal,0.000103513,ctx-lh-parstriangularis,4.34E-05,ctx-rh-rostralanteriorcingulate,6.94E-06,ctx-rh-posteriorcingulate,-2.10E-05,ctx-rh-inferiorparietal,-1.60E-05,ctx-rh-inferiorparietal,-4.49E-06
22,ctx-lh-superiorfrontal,-5.32E-07,ctx-lh-superiorfrontal,-2.56E-05,ctx-lh-precuneus,-4.86E-05,ctx-rh-middletemporal,-1.06E-05,ctx-rh-caudalmiddlefrontal,3.85E-05,ctx-rh-superiorfrontal,0.000125069,ctx-rh-supramarginal,0.000191446,ctx-rh-middletemporal,0.000215437,ctx-lh-isthmuscingulate,0.000208162,ctx-lh-medialorbitofrontal,0.000186845,ctx-rh-superiortemporal,0.000165549,ctx-lh-medialorbitofrontal,0.000141019,ctx-lh-inferiorparietal,0.000100046,ctx-rh-posteriorcingulate,3.82E-05,ctx-lh-caudalanteriorcingulate,6.61E-06,ctx-lh-inferiorparietal,-2.14E-05,ctx-lh-frontalpole,-1.65E-05,ctx-lh-superiorfrontal,-4.90E-06
23,ctx-rh-precuneus,-5.37E-07,ctx-rh-precuneus,-2.57E-05,ctx-lh-inferiorparietal,-4.98E-05,ctx-lh-frontalpole,-1.19E-05,ctx-lh-superiortemporal,3.77E-05,ctx-lh-supramarginal,0.000125018,ctx-lh-posteriorcingulate,0.000191058,ctx-rh-caudalmiddlefrontal,0.000209406,ctx-rh-supramarginal,0.000198212,ctx-lh-isthmuscingulate,0.000184588,ctx-rh-supramarginal,0.000161155,ctx-lh-parsopercularis,0.000140376,ctx-lh-parstriangularis,9.64E-05,ctx-rh-inferiorparietal,3.44E-05,ctx-lh-parstriangularis,2.12E-06,ctx-rh-frontalpole,-2.17E-05,ctx-lh-superiorfrontal,-1.66E-05,ctx-lh-frontalpole,-5.24E-06
24,ctx-rh-inferiorparietal,-6.01E-07,ctx-rh-inferiorparietal,-2.88E-05,ctx-rh-parsorbitalis,-5.56E-05,ctx-rh-superiorfrontal,-1.25E-05,ctx-lh-superiorfrontal,3.52E-05,ctx-rh-inferiorparietal,0.000120414,ctx-rh-caudalmiddlefrontal,0.000189853,ctx-lh-middletemporal,0.000202919,ctx-rh-medialorbitofrontal,0.000194343,ctx-rh-supramarginal,0.00018353,ctx-lh-supramarginal,0.000155292,ctx-rh-supramarginal,0.000126381,ctx-rh-lateralorbitofrontal,8.39E-05,ctx-lh-inferiorparietal,3.31E-05,ctx-rh-posteriorcingulate,7.64E-07,ctx-rh-inferiorparietal,-2.25E-05,ctx-lh-rostralmiddlefrontal,-1.89E-05,ctx-lh-rostralmiddlefrontal,-5.64E-06
25,ctx-lh-caudalanteriorcingulate,-7.43E-07,ctx-lh-caudalanteriorcingulate,-3.36E-05,ctx-lh-middletemporal,-5.58E-05,ctx-lh-medialorbitofrontal,-1.36E-05,ctx-lh-isthmuscingulate,3.44E-05,ctx-rh-rostralanteriorcingulate,0.000117025,ctx-rh-superiortemporal,0.000189583,ctx-rh-supramarginal,0.000202607,ctx-rh-superiortemporal,0.000191993,ctx-rh-superiortemporal,0.000181304,ctx-lh-parsopercularis,0.000155074,ctx-lh-lateralorbitofrontal,0.000124544,ctx-rh-supramarginal,7.60E-05,ctx-lh-caudalanteriorcingulate,3.01E-05,ctx-lh-inferiorparietal,-1.43E-06,ctx-rh-superiorfrontal,-2.30E-05,ctx-rh-superiorfrontal,-1.95E-05,ctx-rh-superiorfrontal,-5.73E-06
26,ctx-rh-superiorfrontal,-7.73E-07,ctx-rh-superiorfrontal,-3.99E-05,ctx-rh-caudalanteriorcingulate,-5.61E-05,ctx-rh-lateralorbitofrontal,-1.83E-05,ctx-lh-supramarginal,3.06E-05,ctx-lh-inferiorparietal,0.000116956,ctx-rh-parstriangularis,0.000188075,ctx-rh-lateralorbitofrontal,0.000198731,ctx-rh-posteriorcingulate,0.000188281,ctx-lh-parsopercularis,0.000163528,ctx-lh-isthmuscingulate,0.000153332,ctx-lh-parstriangularis,0.000117047,ctx-lh-precuneus,7.45E-05,ctx-lh-rostralanteriorcingulate,2.78E-05,ctx-rh-inferiorparietal,-2.36E-06,ctx-lh-isthmuscingulate,-2.65E-05,ctx-rh-frontalpole,-2.02E-05,ctx-rh-frontalpole,-6.04E-06
27,ctx-lh-caudalmiddlefrontal,-8.45E-07,ctx-lh-caudalmiddlefrontal,-4.22E-05,ctx-lh-supramarginal,-5.65E-05,ctx-rh-superiorparietal,-2.06E-05,ctx-rh-isthmuscingulate,3.00E-05,ctx-lh-parsorbitalis,0.000112817,ctx-rh-superiorparietal,0.000186255,ctx-rh-superiortemporal,0.000195915,ctx-rh-isthmuscingulate,0.000186647,ctx-rh-medialorbitofrontal,0.00016137,ctx-rh-lateralorbitofrontal,0.000132164,ctx-lh-isthmuscingulate,0.000111866,ctx-lh-caudalanteriorcingulate,7.18E-05,ctx-rh-rostralanteriorcingulate,7.93E-06,ctx-rh-superiorparietal,-1.09E-05,ctx-lh-parstriangularis,-2.96E-05,ctx-lh-parstriangularis,-2.34E-05,ctx-lh-parstriangularis,-6.79E-06
28,ctx-lh-superiortemporal,-9.78E-07,ctx-lh-superiortemporal,-4.46E-05,ctx-rh-supramarginal,-5.70E-05,ctx-rh-parsorbitalis,-2.31E-05,ctx-lh-superiorparietal,2.84E-05,ctx-rh-lateralorbitofrontal,0.000110736,ctx-lh-middletemporal,0.000184464,ctx-lh-parsorbitalis,0.000191903,ctx-rh-lateralorbitofrontal,0.000179268,ctx-rh-lateralorbitofrontal,0.000154773,ctx-lh-lateralorbitofrontal,0.000128469,ctx-lh-supramarginal,0.000108985,ctx-rh-precuneus,6.90E-05,ctx-lh-superiorparietal,7.71E-06,ctx-lh-isthmuscingulate,-2.23E-05,ctx-rh-rostralmiddlefrontal,-3.78E-05,ctx-lh-supramarginal,-2.61E-05,ctx-lh-supramarginal,-7.09E-06
29,ctx-lh-middletemporal,-1.02E-06,ctx-lh-middletemporal,-4.82E-05,ctx-rh-frontalpole,-6.03E-05,ctx-lh-superiorfrontal,-2.43E-05,ctx-rh-parstriangularis,2.82E-05,ctx-lh-parstriangularis,0.000109662,ctx-lh-parsopercularis,0.000180023,ctx-lh-parsopercularis,0.000175963,ctx-lh-parsopercularis,0.000169761,ctx-lh-caudalanteriorcingulate,0.000140141,ctx-rh-medialorbitofrontal,0.000124688,ctx-rh-lateralorbitofrontal,0.000108952,ctx-lh-isthmuscingulate,6.14E-05,ctx-lh-isthmuscingulate,1.76E-06,ctx-rh-isthmuscingulate,-2.78E-05,ctx-lh-supramarginal,-4.32E-05,ctx-rh-rostralmiddlefrontal,-2.96E-05,ctx-rh-rostralmiddlefrontal,-8.53E-06
30,ctx-lh-posteriorcingulate,-1.10E-06,ctx-lh-posteriorcingulate,-5.30E-05,ctx-rh-caudalmiddlefrontal,-7.14E-05,ctx-rh-isthmuscingulate,-2.48E-05,ctx-rh-lateralorbitofrontal,2.49E-05,ctx-rh-frontalpole,0.000104552,ctx-lh-rostralanteriorcingulate,0.000178456,ctx-rh-posteriorcingulate,0.000162799,ctx-lh-parsorbitalis,0.000159761,ctx-rh-isthmuscingulate,0.000139932,ctx-lh-caudalanteriorcingulate,0.000124253,ctx-lh-caudalanteriorcingulate,0.00010167,ctx-lh-supramarginal,5.45E-05,ctx-rh-supramarginal,1.11E-06,ctx-lh-supramarginal,-3.75E-05,ctx-rh-superiorparietal,-4.55E-05,ctx-rh-superiorparietal,-3.19E-05,ctx-rh-superiorparietal,-8.99E-06
31,ctx-lh-supramarginal,-1.14E-06,ctx-lh-inferiorparietal,-5.36E-05,ctx-rh-posteriorcingulate,-7.35E-05,ctx-lh-precuneus,-2.51E-05,ctx-lh-parsorbitalis,2.35E-05,ctx-rh-caudalanteriorcingulate,0.000103093,ctx-lh-lateralorbitofrontal,0.000161376,ctx-lh-rostralanteriorcingulate,0.000160198,ctx-lh-caudalanteriorcingulate,0.000151903,ctx-lh-lateralorbitofrontal,0.000132522,ctx-lh-parstriangularis,0.000120969,ctx-rh-medialorbitofrontal,7.96E-05,ctx-rh-parsopercularis,5.27E-05,ctx-lh-supramarginal,-9.77E-06,ctx-rh-supramarginal,-3.85E-05,ctx-rh-supramarginal,-5.29E-05,ctx-rh-supramarginal,-3.32E-05,ctx-rh-supramarginal,-9.09E-06
32,ctx-lh-inferiorparietal,-1.17E-06,ctx-lh-supramarginal,-5.39E-05,ctx-lh-caudalmiddlefrontal,-7.76E-05,ctx-rh-rostralmiddlefrontal,-2.64E-05,ctx-rh-rostralmiddlefrontal,2.10E-05,ctx-lh-superiorparietal,9.97E-05,ctx-lh-caudalanteriorcingulate,0.000158978,ctx-lh-caudalanteriorcingulate,0.000158565,ctx-lh-lateralorbitofrontal,0.000139418,ctx-lh-parsorbitalis,0.00012265,ctx-rh-caudalanteriorcingulate,9.46E-05,ctx-rh-caudalanteriorcingulate,7.48E-05,ctx-lh-rostralanteriorcingulate,5.18E-05,ctx-lh-parsorbitalis,-1.55E-05,ctx-lh-parsorbitalis,-4.09E-05,ctx-lh-parsorbitalis,-5.49E-05,ctx-lh-parsorbitalis,-3.66E-05,ctx-lh-parsorbitalis,-1.03E-05
